B10051B_001E,B10051B_001EA,B10051B_001M,B10051B_001MA,B10051B_002E,B10051B_002EA,B10051B_002M,B10051B_002MA,B10051B_003E,B10051B_003EA,B10051B_003M,B10051B_003MA,B10051B_004E,B10051B_004EA,B10051B_004M,B10051B_004MA,B10051B_005E,B10051B_005EA,B10051B_005M,B10051B_005MA,B10051B_006E,B10051B_006EA,B10051B_006M,B10051B_006MA,B10051B_007E,B10051B_007EA,B10051B_007M,B10051B_007MA,GEO_ID,NAME,state
44181,null,3967,null,25661,null,2767,null,17612,null,2462,null,8049,null,1296,null,18520,null,2577,null,10543,null,1883,null,7977,null,1539,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
7563,null,1825,null,3953,null,1362,null,2704,null,1232,null,1249,null,591,null,3610,null,1140,null,2334,null,951,null,1276,null,720,null,0400000US04,Arizona,04
15277,null,2274,null,10133,null,1838,null,7135,null,1712,null,2998,null,798,null,5144,null,1332,null,2982,null,1110,null,2162,null,616,null,0400000US05,Arkansas,05
65044,null,4659,null,27819,null,2925,null,17063,null,2682,null,10756,null,1406,null,37225,null,3389,null,19551,null,2725,null,17674,null,2207,null,0400000US06,California,06
4729,null,1445,null,2222,null,1038,null,1641,null,995,null,581,null,329,null,2507,null,888,null,1443,null,770,null,1064,null,507,null,0400000US08,Colorado,08
11405,null,2094,null,4650,null,1175,null,2960,null,991,null,1690,null,745,null,6755,null,1582,null,3174,null,1134,null,3581,null,986,null,0400000US09,Connecticut,09
5581,null,1389,null,2738,null,846,null,2018,null,793,null,720,null,379,null,2843,null,921,null,1226,null,562,null,1617,null,779,null,0400000US10,Delaware,10
10223,null,1798,null,3351,null,1013,null,2217,null,731,null,1134,null,547,null,6872,null,1457,null,3581,null,882,null,3291,null,1037,null,0400000US11,District of Columbia,11
102033,null,5560,null,47998,null,4790,null,32119,null,3757,null,15879,null,2165,null,54035,null,4310,null,26176,null,3471,null,27859,null,2862,null,0400000US12,Florida,12
101909,null,6074,null,50790,null,4481,null,37090,null,3858,null,13700,null,1989,null,51119,null,4081,null,30066,null,3336,null,21053,null,2709,null,0400000US13,Georgia,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
69215,null,4863,null,34606,null,3721,null,22430,null,2627,null,12176,null,1908,null,34609,null,3862,null,17629,null,2621,null,16980,null,2457,null,0400000US17,Illinois,17
15710,null,2081,null,9989,null,1724,null,7914,null,1628,null,2075,null,627,null,5721,null,1241,null,3184,null,922,null,2537,null,803,null,0400000US18,Indiana,18
2113,null,891,null,1029,null,655,null,891,null,573,null,138,null,146,null,1084,null,766,null,494,null,442,null,590,null,598,null,0400000US19,Iowa,19
3592,null,812,null,1956,null,645,null,1358,null,589,null,598,null,355,null,1636,null,687,null,941,null,537,null,695,null,416,null,0400000US20,Kansas,20
8864,null,1877,null,6033,null,1601,null,4132,null,1318,null,1901,null,636,null,2831,null,853,null,1555,null,663,null,1276,null,533,null,0400000US21,Kentucky,21
57526,null,4605,null,33409,null,3423,null,23637,null,2924,null,9772,null,1565,null,24117,null,3199,null,14685,null,2557,null,9432,null,1473,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
53612,null,4259,null,22045,null,3151,null,15282,null,2609,null,6763,null,1530,null,31567,null,2966,null,16369,null,2438,null,15198,null,2232,null,0400000US24,Maryland,24
14506,null,2070,null,6517,null,1641,null,4268,null,1307,null,2249,null,980,null,7989,null,1611,null,3668,null,1032,null,4321,null,1197,null,0400000US25,Massachusetts,25
42047,null,3440,null,17007,null,2330,null,10854,null,1974,null,6153,null,1224,null,25040,null,2788,null,14361,null,2499,null,10679,null,2041,null,0400000US26,Michigan,26
5523,null,1342,null,2515,null,918,null,2307,null,896,null,208,null,207,null,3008,null,1137,null,2460,null,993,null,548,null,364,null,0400000US27,Minnesota,27
46617,null,3869,null,27066,null,2827,null,19868,null,2489,null,7198,null,1301,null,19551,null,2887,null,11642,null,2237,null,7909,null,1603,null,0400000US28,Mississippi,28
22317,null,2807,null,10569,null,1938,null,7399,null,1613,null,3170,null,893,null,11748,null,1979,null,7498,null,1499,null,4250,null,1216,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
1909,null,789,null,1596,null,787,null,1086,null,663,null,510,null,327,null,313,null,265,null,124,null,166,null,189,null,207,null,0400000US31,Nebraska,31
6346,null,1528,null,3504,null,1149,null,2138,null,879,null,1366,null,770,null,2842,null,1030,null,990,null,499,null,1852,null,907,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
37029,null,3681,null,15952,null,2455,null,9556,null,1661,null,6396,null,1721,null,21077,null,2730,null,8731,null,1748,null,12346,null,2077,null,0400000US34,New Jersey,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US35,New Mexico,35
