B24010C_001E,B24010C_001EA,B24010C_001M,B24010C_001MA,B24010C_002E,B24010C_002EA,B24010C_002M,B24010C_002MA,B24010C_003E,B24010C_003EA,B24010C_003M,B24010C_003MA,B24010C_004E,B24010C_004EA,B24010C_004M,B24010C_004MA,B24010C_005E,B24010C_005EA,B24010C_005M,B24010C_005MA,B24010C_006E,B24010C_006EA,B24010C_006M,B24010C_006MA,B24010C_007E,B24010C_007EA,B24010C_007M,B24010C_007MA,B24010C_008E,B24010C_008EA,B24010C_008M,B24010C_008MA,B24010C_009E,B24010C_009EA,B24010C_009M,B24010C_009MA,B24010C_010E,B24010C_010EA,B24010C_010M,B24010C_010MA,B24010C_011E,B24010C_011EA,B24010C_011M,B24010C_011MA,B24010C_012E,B24010C_012EA,B24010C_012M,B24010C_012MA,B24010C_013E,B24010C_013EA,B24010C_013M,B24010C_013MA,B24010C_014E,B24010C_014EA,B24010C_014M,B24010C_014MA,B24010C_015E,B24010C_015EA,B24010C_015M,B24010C_015MA,B24010C_016E,B24010C_016EA,B24010C_016M,B24010C_016MA,B24010C_017E,B24010C_017EA,B24010C_017M,B24010C_017MA,B24010C_018E,B24010C_018EA,B24010C_018M,B24010C_018MA,B24010C_019E,B24010C_019EA,B24010C_019M,B24010C_019MA,B24010C_020E,B24010C_020EA,B24010C_020M,B24010C_020MA,B24010C_021E,B24010C_021EA,B24010C_021M,B24010C_021MA,B24010C_022E,B24010C_022EA,B24010C_022M,B24010C_022MA,B24010C_023E,B24010C_023EA,B24010C_023M,B24010C_023MA,B24010C_024E,B24010C_024EA,B24010C_024M,B24010C_024MA,B24010C_025E,B24010C_025EA,B24010C_025M,B24010C_025MA,B24010C_026E,B24010C_026EA,B24010C_026M,B24010C_026MA,B24010C_027E,B24010C_027EA,B24010C_027M,B24010C_027MA,B24010C_028E,B24010C_028EA,B24010C_028M,B24010C_028MA,B24010C_029E,B24010C_029EA,B24010C_029M,B24010C_029MA,B24010C_030E,B24010C_030EA,B24010C_030M,B24010C_030MA,B24010C_031E,B24010C_031EA,B24010C_031M,B24010C_031MA,B24010C_032E,B24010C_032EA,B24010C_032M,B24010C_032MA,B24010C_033E,B24010C_033EA,B24010C_033M,B24010C_033MA,B24010C_034E,B24010C_034EA,B24010C_034M,B24010C_034MA,B24010C_035E,B24010C_035EA,B24010C_035M,B24010C_035MA,B24010C_036E,B24010C_036EA,B24010C_036M,B24010C_036MA,B24010C_037E,B24010C_037EA,B24010C_037M,B24010C_037MA,B24010C_038E,B24010C_038EA,B24010C_038M,B24010C_038MA,B24010C_039E,B24010C_039EA,B24010C_039M,B24010C_039MA,B24010C_040E,B24010C_040EA,B24010C_040M,B24010C_040MA,B24010C_041E,B24010C_041EA,B24010C_041M,B24010C_041MA,B24010C_042E,B24010C_042EA,B24010C_042M,B24010C_042MA,B24010C_043E,B24010C_043EA,B24010C_043M,B24010C_043MA,B24010C_044E,B24010C_044EA,B24010C_044M,B24010C_044MA,B24010C_045E,B24010C_045EA,B24010C_045M,B24010C_045MA,B24010C_046E,B24010C_046EA,B24010C_046M,B24010C_046MA,B24010C_047E,B24010C_047EA,B24010C_047M,B24010C_047MA,B24010C_048E,B24010C_048EA,B24010C_048M,B24010C_048MA,B24010C_049E,B24010C_049EA,B24010C_049M,B24010C_049MA,B24010C_050E,B24010C_050EA,B24010C_050M,B24010C_050MA,B24010C_051E,B24010C_051EA,B24010C_051M,B24010C_051MA,B24010C_052E,B24010C_052EA,B24010C_052M,B24010C_052MA,B24010C_053E,B24010C_053EA,B24010C_053M,B24010C_053MA,B24010C_054E,B24010C_054EA,B24010C_054M,B24010C_054MA,B24010C_055E,B24010C_055EA,B24010C_055M,B24010C_055MA,B24010C_056E,B24010C_056EA,B24010C_056M,B24010C_056MA,B24010C_057E,B24010C_057EA,B24010C_057M,B24010C_057MA,B24010C_058E,B24010C_058EA,B24010C_058M,B24010C_058MA,B24010C_059E,B24010C_059EA,B24010C_059M,B24010C_059MA,B24010C_060E,B24010C_060EA,B24010C_060M,B24010C_060MA,B24010C_061E,B24010C_061EA,B24010C_061M,B24010C_061MA,B24010C_062E,B24010C_062EA,B24010C_062M,B24010C_062MA,B24010C_063E,B24010C_063EA,B24010C_063M,B24010C_063MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
33148,null,2252,null,14188,null,1584,null,2693,null,787,null,1103,null,476,null,758,null,278,null,0,null,244,null,345,null,407,null,1590,null,643,null,297,null,275,null,39,null,77,null,33,null,40,null,195,null,141,null,11,null,18,null,576,null,431,null,156,null,144,null,283,null,314,null,2377,null,604,null,68,null,60,null,655,null,304,null,384,null,271,null,747,null,327,null,523,null,311,null,2180,null,722,null,990,null,557,null,1190,null,384,null,279,null,142,null,4055,null,843,null,3041,null,718,null,1014,null,432,null,2604,null,625,null,861,null,279,null,1743,null,558,null,18960,null,1464,null,7448,null,1012,null,2607,null,746,null,1993,null,655,null,0,null,244,null,614,null,343,null,4841,null,826,null,168,null,165,null,26,null,43,null,75,null,76,null,557,null,293,null,214,null,177,null,2624,null,655,null,465,null,322,null,712,null,437,null,4798,null,906,null,869,null,416,null,156,null,144,null,1059,null,364,null,1339,null,617,null,1375,null,559,null,6192,null,1050,null,1658,null,492,null,4534,null,877,null,180,null,212,null,83,null,88,null,83,null,88,null,0,null,244,null,259,null,205,null,42,null,50,null,217,null,195,null,0400000US02,Alaska,02
88213,null,4952,null,40321,null,2783,null,7878,null,1543,null,3283,null,1022,null,2658,null,848,null,42,null,51,null,583,null,677,null,4595,null,1264,null,179,null,210,null,1026,null,821,null,288,null,295,null,1041,null,591,null,0,null,305,null,663,null,426,null,890,null,602,null,508,null,369,null,10194,null,1803,null,323,null,349,null,2181,null,820,null,3207,null,1092,null,3034,null,982,null,1449,null,968,null,4216,null,1160,null,1977,null,845,null,2239,null,911,null,335,null,246,null,9455,null,1909,null,7064,null,1742,null,2391,null,847,null,8243,null,1520,null,4033,null,1081,null,4210,null,1099,null,47892,null,3615,null,10868,null,1688,null,3016,null,998,null,1728,null,777,null,0,null,305,null,1288,null,619,null,7852,null,1503,null,323,null,335,null,68,null,114,null,36,null,65,null,1692,null,592,null,339,null,404,null,3469,null,918,null,298,null,269,null,1627,null,678,null,16105,null,1936,null,3385,null,814,null,1165,null,527,null,3909,null,1004,null,3444,null,1180,null,4202,null,1044,null,15860,null,2607,null,5076,null,1433,null,10784,null,2020,null,0,null,305,null,750,null,506,null,265,null,210,null,485,null,461,null,4309,null,1447,null,2141,null,836,null,2168,null,997,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
120064,null,6526,null,62833,null,4322,null,13989,null,1692,null,6190,null,1020,null,5031,null,1055,null,51,null,91,null,1108,null,506,null,7799,null,1429,null,620,null,415,null,1829,null,590,null,472,null,325,null,305,null,289,null,367,null,339,null,1346,null,584,null,1427,null,649,null,1433,null,725,null,14029,null,1843,null,0,null,294,null,4343,null,1083,null,3275,null,1077,null,4263,null,916,null,2148,null,769,null,10024,null,1716,null,5897,null,1450,null,4127,null,962,null,1938,null,1096,null,11624,null,1892,null,7891,null,1679,null,3733,null,1008,null,11229,null,1993,null,4541,null,1350,null,6688,null,1350,null,57231,null,4101,null,18530,null,2341,null,7507,null,1462,null,4285,null,1030,null,103,null,123,null,3119,null,1025,null,11023,null,1950,null,206,null,189,null,269,null,258,null,454,null,271,null,1579,null,653,null,1196,null,729,null,4367,null,1151,null,491,null,289,null,2461,null,836,null,15459,null,2121,null,2614,null,921,null,1260,null,619,null,3216,null,1039,null,3671,null,1007,null,4698,null,1008,null,18624,null,2145,null,5553,null,1078,null,13071,null,1959,null,825,null,485,null,313,null,220,null,165,null,174,null,148,null,133,null,3480,null,1086,null,2144,null,816,null,1336,null,575,null,0400000US06,California,06
21128,null,2700,null,10744,null,1520,null,2067,null,695,null,1063,null,451,null,817,null,417,null,0,null,279,null,246,null,200,null,1004,null,481,null,170,null,137,null,185,null,185,null,48,null,79,null,224,null,363,null,0,null,279,null,156,null,135,null,184,null,172,null,37,null,66,null,2117,null,878,null,0,null,279,null,692,null,558,null,804,null,408,null,498,null,412,null,123,null,131,null,1707,null,791,null,858,null,579,null,849,null,485,null,398,null,373,null,3355,null,1036,null,2217,null,828,null,1138,null,640,null,1100,null,513,null,680,null,373,null,420,null,370,null,10384,null,1918,null,3758,null,1176,null,1226,null,678,null,846,null,612,null,0,null,279,null,380,null,311,null,2532,null,845,null,122,null,187,null,0,null,279,null,403,null,353,null,476,null,362,null,0,null,279,null,610,null,333,null,43,null,75,null,878,null,480,null,2354,null,896,null,561,null,386,null,535,null,420,null,417,null,485,null,501,null,321,null,340,null,319,null,3025,null,754,null,961,null,494,null,2064,null,608,null,0,null,279,null,73,null,88,null,38,null,61,null,35,null,59,null,1174,null,656,null,345,null,322,null,829,null,572,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
24139,null,3507,null,14666,null,2665,null,2561,null,812,null,1407,null,588,null,1014,null,457,null,0,null,305,null,393,null,410,null,1154,null,575,null,341,null,328,null,254,null,236,null,51,null,82,null,0,null,305,null,0,null,305,null,73,null,133,null,148,null,248,null,287,null,221,null,2106,null,702,null,0,null,305,null,323,null,260,null,612,null,438,null,972,null,591,null,199,null,205,null,2424,null,726,null,1276,null,586,null,1148,null,571,null,244,null,263,null,5061,null,1722,null,3873,null,1681,null,1188,null,1167,null,2270,null,1110,null,590,null,557,null,1680,null,888,null,9473,null,1649,null,2699,null,768,null,837,null,355,null,442,null,341,null,0,null,305,null,395,null,240,null,1862,null,655,null,68,null,116,null,55,null,91,null,0,null,305,null,0,null,305,null,250,null,199,null,384,null,262,null,133,null,145,null,972,null,483,null,2729,null,1026,null,569,null,417,null,151,null,186,null,714,null,408,null,458,null,381,null,837,null,572,null,3132,null,876,null,1066,null,504,null,2066,null,721,null,105,null,151,null,83,null,138,null,83,null,138,null,0,null,305,null,725,null,491,null,436,null,445,null,289,null,221,null,0400000US12,Florida,12
