C15010D_001E,C15010D_001EA,C15010D_001M,C15010D_001MA,C15010D_002E,C15010D_002EA,C15010D_002M,C15010D_002MA,C15010D_003E,C15010D_003EA,C15010D_003M,C15010D_003MA,C15010D_004E,C15010D_004EA,C15010D_004M,C15010D_004MA,C15010D_005E,C15010D_005EA,C15010D_005M,C15010D_005MA,C15010D_006E,C15010D_006EA,C15010D_006M,C15010D_006MA,GEO_ID,NAME,state
16765,null,1724,null,9866,null,1672,null,1279,null,568,null,3049,null,726,null,617,null,444,null,1954,null,627,null,0400000US01,Alabama,01
5689,null,1170,null,1813,null,692,null,1060,null,477,null,1015,null,394,null,805,null,449,null,996,null,442,null,0400000US02,Alaska,02
59921,null,4066,null,32389,null,2910,null,6990,null,1473,null,10762,null,1613,null,2997,null,1011,null,6783,null,1373,null,0400000US04,Arizona,04
7043,null,1572,null,4396,null,1122,null,975,null,598,null,414,null,302,null,396,null,264,null,862,null,429,null,0400000US05,Arkansas,05
1557784,null,16834,null,742250,null,11359,null,164809,null,6622,null,332026,null,9716,null,79502,null,4285,null,239197,null,7401,null,0400000US06,California,06
41541,null,2880,null,22641,null,2398,null,2615,null,782,null,7553,null,1375,null,2103,null,631,null,6629,null,1486,null,0400000US08,Colorado,08
50263,null,2655,null,30616,null,2593,null,3540,null,1064,null,8081,null,1249,null,1249,null,542,null,6777,null,1121,null,0400000US09,Connecticut,09
12562,null,1027,null,7391,null,1029,null,1443,null,598,null,1987,null,583,null,524,null,259,null,1217,null,582,null,0400000US10,Delaware,10
10522,null,864,null,5999,null,876,null,1052,null,473,null,1032,null,506,null,216,null,199,null,2223,null,680,null,0400000US11,District of Columbia,11
140487,null,5424,null,64264,null,3823,null,23576,null,2765,null,28229,null,2680,null,6138,null,1326,null,18280,null,2884,null,0400000US12,Florida,12
95584,null,4965,null,51280,null,3547,null,10060,null,1601,null,19371,null,2151,null,4332,null,1002,null,10541,null,1612,null,0400000US13,Georgia,13
113009,null,4946,null,35540,null,3078,null,9760,null,1502,null,29276,null,2804,null,18809,null,1923,null,19624,null,2262,null,0400000US15,Hawaii,15
4628,null,996,null,2208,null,683,null,291,null,259,null,1255,null,482,null,352,null,267,null,522,null,322,null,0400000US16,Idaho,16
230347,null,5903,null,113928,null,4394,null,28173,null,2684,null,43359,null,3562,null,11335,null,1449,null,33552,null,3186,null,0400000US17,Illinois,17
30156,null,2517,null,17065,null,1731,null,3494,null,780,null,3550,null,899,null,2165,null,787,null,3882,null,961,null,0400000US18,Indiana,18
13760,null,1584,null,7666,null,1384,null,944,null,444,null,2235,null,749,null,1232,null,571,null,1683,null,657,null,0400000US19,Iowa,19
17929,null,1844,null,9720,null,1445,null,1533,null,541,null,3504,null,978,null,1004,null,412,null,2168,null,741,null,0400000US20,Kansas,20
15077,null,1762,null,8585,null,1522,null,1683,null,773,null,2221,null,836,null,799,null,407,null,1789,null,662,null,0400000US21,Kentucky,21
15590,null,2484,null,7899,null,1740,null,2094,null,617,null,2043,null,768,null,1610,null,691,null,1944,null,833,null,0400000US22,Louisiana,22
2631,null,832,null,1238,null,532,null,421,null,268,null,261,null,168,null,320,null,291,null,391,null,333,null,0400000US23,Maine,23
118506,null,4839,null,66445,null,3761,null,11299,null,1425,null,17865,null,1665,null,5872,null,1598,null,17025,null,1947,null,0400000US24,Maryland,24
117745,null,5816,null,73231,null,4889,null,8635,null,1534,null,16847,null,2454,null,3222,null,818,null,15810,null,2033,null,0400000US25,Massachusetts,25
93856,null,3786,null,54540,null,3001,null,11563,null,1886,null,11550,null,1574,null,4220,null,1079,null,11983,null,1845,null,0400000US26,Michigan,26
46955,null,3268,null,26376,null,2880,null,4094,null,1041,null,7434,null,1403,null,2584,null,883,null,6467,null,1028,null,0400000US27,Minnesota,27
6525,null,1521,null,3604,null,1015,null,434,null,352,null,836,null,445,null,397,null,489,null,1254,null,742,null,0400000US28,Mississippi,28
33615,null,1884,null,18917,null,1742,null,4222,null,1077,null,4622,null,1084,null,1989,null,830,null,3865,null,1023,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
9297,null,1133,null,5510,null,900,null,350,null,288,null,1459,null,582,null,400,null,261,null,1578,null,676,null,0400000US31,Nebraska,31
47524,null,3463,null,14632,null,1954,null,9651,null,1584,null,13006,null,1829,null,2623,null,670,null,7612,null,1689,null,0400000US32,Nevada,32
8839,null,1192,null,5272,null,906,null,362,null,227,null,1094,null,589,null,594,null,444,null,1517,null,732,null,0400000US33,New Hampshire,33
312629,null,5602,null,161926,null,5879,null,35431,null,2598,null,62020,null,3373,null,11709,null,1749,null,41543,null,3722,null,0400000US34,New Jersey,34
8066,null,1357,null,4165,null,909,null,1311,null,475,null,1078,null,578,null,779,null,488,null,733,null,402,null,0400000US35,New Mexico,35
423334,null,9740,null,182334,null,7353,null,49861,null,3908,null,84078,null,5129,null,20515,null,2648,null,86546,null,5702,null,0400000US36,New York,36
56881,null,3752,null,33698,null,3016,null,6618,null,1504,null,7168,null,1528,null,1912,null,589,null,7485,null,1196,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
71112,null,3302,null,41297,null,2749,null,6759,null,1465,null,9757,null,1409,null,3787,null,1072,null,9512,null,1546,null,0400000US39,Ohio,39
15391,null,1751,null,8715,null,1427,null,1333,null,576,null,3239,null,857,null,728,null,354,null,1376,null,476,null,0400000US40,Oklahoma,40
42454,null,2877,null,21852,null,2280,null,3044,null,889,null,7477,null,1305,null,2436,null,671,null,7645,null,1290,null,0400000US41,Oregon,41
