C19101F_001E,C19101F_001EA,C19101F_001M,C19101F_001MA,C19101F_002E,C19101F_002EA,C19101F_002M,C19101F_002MA,C19101F_003E,C19101F_003EA,C19101F_003M,C19101F_003MA,C19101F_004E,C19101F_004EA,C19101F_004M,C19101F_004MA,C19101F_005E,C19101F_005EA,C19101F_005M,C19101F_005MA,C19101F_006E,C19101F_006EA,C19101F_006M,C19101F_006MA,C19101F_007E,C19101F_007EA,C19101F_007M,C19101F_007MA,C19101F_008E,C19101F_008EA,C19101F_008M,C19101F_008MA,C19101F_009E,C19101F_009EA,C19101F_009M,C19101F_009MA,C19101F_010E,C19101F_010EA,C19101F_010M,C19101F_010MA,C19101F_011E,C19101F_011EA,C19101F_011M,C19101F_011MA,GEO_ID,NAME,state
7958,null,1270,null,823,null,460,null,332,null,344,null,1467,null,683,null,1394,null,731,null,1427,null,558,null,1073,null,619,null,1029,null,646,null,338,null,234,null,0,null,273,null,75,null,123,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
85482,null,4633,null,6539,null,1391,null,5001,null,1335,null,10774,null,1945,null,12123,null,2128,null,15191,null,2322,null,18345,null,2504,null,8358,null,1407,null,6561,null,1540,null,1421,null,570,null,1169,null,610,null,0400000US04,Arizona,04
14453,null,1639,null,1348,null,691,null,662,null,438,null,3584,null,980,null,3234,null,1173,null,2371,null,749,null,2162,null,753,null,826,null,464,null,55,null,90,null,211,null,194,null,0,null,273,null,0400000US05,Arkansas,05
1026944,null,15931,null,69688,null,4508,null,54843,null,3859,null,141631,null,7531,null,136176,null,6075,null,175434,null,7243,null,206344,null,7498,null,118094,null,6304,null,91680,null,4567,null,23917,null,2814,null,9137,null,1463,null,0400000US06,California,06
50111,null,3350,null,3454,null,937,null,3246,null,1122,null,8047,null,1639,null,5242,null,1153,null,9080,null,1743,null,9818,null,1669,null,5847,null,1250,null,3724,null,855,null,1452,null,631,null,201,null,169,null,0400000US08,Colorado,08
41138,null,3210,null,5286,null,1373,null,4441,null,911,null,5772,null,1313,null,5820,null,1491,null,5435,null,1107,null,5897,null,1352,null,3567,null,998,null,3086,null,848,null,798,null,505,null,1036,null,638,null,0400000US09,Connecticut,09
2850,null,804,null,154,null,117,null,155,null,223,null,356,null,337,null,476,null,240,null,727,null,381,null,343,null,221,null,310,null,293,null,273,null,312,null,0,null,263,null,56,null,92,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
107335,null,5617,null,7028,null,1474,null,6554,null,1684,null,17186,null,2718,null,16934,null,2350,null,19201,null,2448,null,20999,null,2682,null,10534,null,1715,null,6114,null,1402,null,1385,null,630,null,1400,null,722,null,0400000US12,Florida,12
