C15010B_001E,C15010B_001EA,C15010B_001M,C15010B_001MA,C15010B_002E,C15010B_002EA,C15010B_002M,C15010B_002MA,C15010B_003E,C15010B_003EA,C15010B_003M,C15010B_003MA,C15010B_004E,C15010B_004EA,C15010B_004M,C15010B_004MA,C15010B_005E,C15010B_005EA,C15010B_005M,C15010B_005MA,C15010B_006E,C15010B_006EA,C15010B_006M,C15010B_006MA,GEO_ID,NAME,state
105444,null,4742,null,29216,null,3208,null,11369,null,1805,null,25287,null,2437,null,20877,null,2270,null,18695,null,2130,null,0400000US01,Alabama,01
2505,null,705,null,521,null,357,null,224,null,317,null,342,null,337,null,567,null,438,null,851,null,488,null,0400000US02,Alaska,02
32450,null,3240,null,10828,null,2117,null,3511,null,1069,null,7894,null,1892,null,3168,null,838,null,7049,null,1615,null,0400000US04,Arizona,04
31080,null,3188,null,6696,null,1053,null,3429,null,1077,null,6146,null,1396,null,8295,null,1431,null,6514,null,1691,null,0400000US05,Arkansas,05
301267,null,9668,null,103867,null,5808,null,23891,null,3036,null,65337,null,5075,null,25858,null,2891,null,82314,null,5468,null,0400000US06,California,06
25035,null,2749,null,7453,null,1404,null,1641,null,650,null,8239,null,1476,null,1698,null,536,null,6004,null,1178,null,0400000US08,Colorado,08
35220,null,3622,null,12543,null,1996,null,3035,null,780,null,6640,null,1505,null,4481,null,1202,null,8521,null,1689,null,0400000US09,Connecticut,09
19981,null,2279,null,6403,null,1248,null,1851,null,886,null,3667,null,957,null,3183,null,884,null,4877,null,1361,null,0400000US10,Delaware,10
45315,null,3516,null,19411,null,2922,null,2718,null,876,null,7403,null,1399,null,5654,null,1186,null,10129,null,1669,null,0400000US11,District of Columbia,11
268647,null,10001,null,72821,null,4792,null,31778,null,3063,null,67645,null,5330,null,44760,null,4040,null,51643,null,4036,null,0400000US12,Florida,12
332972,null,10001,null,101775,null,6613,null,30649,null,2823,null,84368,null,4937,null,49924,null,3342,null,66256,null,4524,null,0400000US13,Georgia,13
5231,null,1701,null,1753,null,1107,null,373,null,429,null,1770,null,951,null,772,null,797,null,563,null,436,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
205729,null,8135,null,63706,null,4823,null,17693,null,2602,null,42606,null,3629,null,31669,null,2837,null,50055,null,3825,null,0400000US17,Illinois,17
46245,null,3880,null,13795,null,2007,null,4922,null,1176,null,11512,null,2227,null,6180,null,1331,null,9836,null,1859,null,0400000US18,Indiana,18
7109,null,1615,null,2205,null,810,null,501,null,346,null,1626,null,649,null,1158,null,721,null,1619,null,707,null,0400000US19,Iowa,19
17866,null,2137,null,5642,null,1168,null,1949,null,717,null,4671,null,1283,null,1981,null,626,null,3623,null,1020,null,0400000US20,Kansas,20
27372,null,3072,null,6446,null,1407,null,2517,null,994,null,4836,null,1260,null,4597,null,1358,null,8976,null,1744,null,0400000US21,Kentucky,21
106858,null,6878,null,25754,null,3204,null,10149,null,1757,null,22693,null,3205,null,24920,null,2408,null,23342,null,2867,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
261104,null,6223,null,96482,null,5137,null,23036,null,2660,null,60755,null,4477,null,26233,null,2505,null,54598,null,3709,null,0400000US24,Maryland,24
52205,null,3920,null,19046,null,2354,null,6919,null,1429,null,10650,null,1602,null,3751,null,984,null,11839,null,1982,null,0400000US25,Massachusetts,25
124392,null,6535,null,32383,null,2913,null,10640,null,1599,null,31895,null,3931,null,19845,null,2347,null,29629,null,3151,null,0400000US26,Michigan,26
23621,null,2079,null,8673,null,1504,null,1848,null,696,null,5612,null,1202,null,1499,null,451,null,5989,null,1383,null,0400000US27,Minnesota,27
76481,null,4801,null,16907,null,2564,null,7419,null,1568,null,13698,null,1950,null,21284,null,2123,null,17173,null,2332,null,0400000US28,Mississippi,28
60625,null,4339,null,15327,null,2240,null,4150,null,1040,null,17104,null,2300,null,11211,null,1602,null,12833,null,2267,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
6999,null,1447,null,1964,null,567,null,219,null,228,null,1589,null,596,null,1058,null,460,null,2169,null,751,null,0400000US31,Nebraska,31
21077,null,2716,null,6446,null,1665,null,1691,null,666,null,4279,null,1031,null,3994,null,1596,null,4667,null,921,null,0400000US32,Nevada,32
1810,null,677,null,839,null,474,null,70,null,112,null,248,null,241,null,144,null,162,null,509,null,420,null,0400000US33,New Hampshire,33
151919,null,6067,null,51452,null,4040,null,15369,null,1774,null,32800,null,3346,null,17177,null,1907,null,35121,null,3123,null,0400000US34,New Jersey,34
5483,null,1136,null,2066,null,861,null,608,null,385,null,948,null,535,null,485,null,450,null,1376,null,703,null,0400000US35,New Mexico,35
402618,null,11882,null,125872,null,6208,null,48208,null,4453,null,85887,null,4993,null,43563,null,3634,null,99088,null,5921,null,0400000US36,New York,36
210237,null,6509,null,66228,null,4211,null,17270,null,2111,null,47786,null,3857,null,33156,null,2800,null,45797,null,4069,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
120044,null,4827,null,34457,null,3354,null,9029,null,1727,null,29901,null,3201,null,19575,null,2271,null,27082,null,2805,null,0400000US39,Ohio,39
25893,null,2717,null,6994,null,1469,null,3840,null,927,null,4852,null,1091,null,4061,null,923,null,6146,null,1371,null,0400000US40,Oklahoma,40
9010,null,1532,null,3578,null,1033,null,1158,null,795,null,1310,null,684,null,708,null,388,null,2256,null,786,null,0400000US41,Oregon,41
115039,null,6298,null,33962,null,3116,null,10707,null,1828,null,21813,null,2939,null,18586,null,2029,null,29971,null,3474,null,0400000US42,Pennsylvania,42
6757,null,1441,null,2582,null,877,null,650,null,359,null,1596,null,722,null,618,null,505,null,1311,null,611,null,0400000US44,Rhode Island,44
103373,null,5183,null,26838,null,2792,null,7302,null,1566,null,23065,null,2592,null,22212,null,2303,null,23956,null,2796,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
99988,null,5629,null,28889,null,2957,null,7153,null,1366,null,25046,null,2593,null,18477,null,2206,null,20423,null,2426,null,0400000US47,Tennessee,47
308164,null,10562,null,92838,null,5520,null,31609,null,2855,null,76070,null,4627,null,44672,null,3831,null,62975,null,4613,null,0400000US48,Texas,48
2530,null,825,null,1443,null,661,null,113,null,143,null,565,null,382,null,0,null,265,null,409,null,288,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
173265,null,7774,null,52542,null,4249,null,13997,null,1991,null,45470,null,3956,null,23469,null,2512,null,37787,null,3657,null,0400000US51,Virginia,51
27930,null,2690,null,11663,null,2012,null,2364,null,845,null,5051,null,1330,null,2446,null,737,null,6406,null,1193,null,0400000US53,Washington,53
4509,null,1204,null,1185,null,645,null,470,null,274,null,1143,null,605,null,868,null,457,null,843,null,472,null,0400000US54,West Virginia,54
22866,null,2257,null,7311,null,1593,null,1488,null,575,null,4790,null,1120,null,3219,null,905,null,6058,null,1466,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
35930,null,2727,null,8689,null,1460,null,3864,null,1151,null,12352,null,1765,null,6502,null,1236,null,4523,null,1081,null,0400000US72,Puerto Rico,72
