C19037C_001E,C19037C_001EA,C19037C_001M,C19037C_001MA,C19037C_002E,C19037C_002EA,C19037C_002M,C19037C_002MA,C19037C_003E,C19037C_003EA,C19037C_003M,C19037C_003MA,C19037C_004E,C19037C_004EA,C19037C_004M,C19037C_004MA,C19037C_005E,C19037C_005EA,C19037C_005M,C19037C_005MA,C19037C_006E,C19037C_006EA,C19037C_006M,C19037C_006MA,C19037C_007E,C19037C_007EA,C19037C_007M,C19037C_007MA,C19037C_008E,C19037C_008EA,C19037C_008M,C19037C_008MA,C19037C_009E,C19037C_009EA,C19037C_009M,C19037C_009MA,C19037C_010E,C19037C_010EA,C19037C_010M,C19037C_010MA,C19037C_011E,C19037C_011EA,C19037C_011M,C19037C_011MA,C19037C_012E,C19037C_012EA,C19037C_012M,C19037C_012MA,C19037C_013E,C19037C_013EA,C19037C_013M,C19037C_013MA,C19037C_014E,C19037C_014EA,C19037C_014M,C19037C_014MA,C19037C_015E,C19037C_015EA,C19037C_015M,C19037C_015MA,C19037C_016E,C19037C_016EA,C19037C_016M,C19037C_016MA,C19037C_017E,C19037C_017EA,C19037C_017M,C19037C_017MA,C19037C_018E,C19037C_018EA,C19037C_018M,C19037C_018MA,C19037C_019E,C19037C_019EA,C19037C_019M,C19037C_019MA,C19037C_020E,C19037C_020EA,C19037C_020M,C19037C_020MA,C19037C_021E,C19037C_021EA,C19037C_021M,C19037C_021MA,C19037C_022E,C19037C_022EA,C19037C_022M,C19037C_022MA,C19037C_023E,C19037C_023EA,C19037C_023M,C19037C_023MA,C19037C_024E,C19037C_024EA,C19037C_024M,C19037C_024MA,C19037C_025E,C19037C_025EA,C19037C_025M,C19037C_025MA,C19037C_026E,C19037C_026EA,C19037C_026M,C19037C_026MA,C19037C_027E,C19037C_027EA,C19037C_027M,C19037C_027MA,C19037C_028E,C19037C_028EA,C19037C_028M,C19037C_028MA,C19037C_029E,C19037C_029EA,C19037C_029M,C19037C_029MA,C19037C_030E,C19037C_030EA,C19037C_030M,C19037C_030MA,C19037C_031E,C19037C_031EA,C19037C_031M,C19037C_031MA,C19037C_032E,C19037C_032EA,C19037C_032M,C19037C_032MA,C19037C_033E,C19037C_033EA,C19037C_033M,C19037C_033MA,C19037C_034E,C19037C_034EA,C19037C_034M,C19037C_034MA,C19037C_035E,C19037C_035EA,C19037C_035M,C19037C_035MA,C19037C_036E,C19037C_036EA,C19037C_036M,C19037C_036MA,C19037C_037E,C19037C_037EA,C19037C_037M,C19037C_037MA,C19037C_038E,C19037C_038EA,C19037C_038M,C19037C_038MA,C19037C_039E,C19037C_039EA,C19037C_039M,C19037C_039MA,C19037C_040E,C19037C_040EA,C19037C_040M,C19037C_040MA,C19037C_041E,C19037C_041EA,C19037C_041M,C19037C_041MA,C19037C_042E,C19037C_042EA,C19037C_042M,C19037C_042MA,C19037C_043E,C19037C_043EA,C19037C_043M,C19037C_043MA,C19037C_044E,C19037C_044EA,C19037C_044M,C19037C_044MA,C19037C_045E,C19037C_045EA,C19037C_045M,C19037C_045MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
25003,null,1713,null,1226,null,434,null,151,null,141,null,91,null,104,null,187,null,188,null,347,null,336,null,30,null,38,null,388,null,341,null,19,null,35,null,13,null,21,null,0,null,244,null,0,null,244,null,9452,null,1199,null,909,null,439,null,404,null,198,null,976,null,427,null,1046,null,389,null,1804,null,570,null,1571,null,430,null,1223,null,555,null,1385,null,527,null,79,null,102,null,55,null,105,null,10397,null,922,null,947,null,317,null,581,null,251,null,1010,null,320,null,1087,null,348,null,1777,null,556,null,1849,null,484,null,1152,null,383,null,1130,null,369,null,489,null,281,null,375,null,229,null,3928,null,546,null,100,null,90,null,448,null,238,null,772,null,235,null,650,null,216,null,742,null,268,null,828,null,312,null,129,null,117,null,187,null,164,null,24,null,28,null,48,null,62,null,0400000US02,Alaska,02
71837,null,3399,null,3700,null,1068,null,1101,null,468,null,183,null,148,null,952,null,611,null,570,null,496,null,75,null,84,null,489,null,522,null,246,null,276,null,84,null,109,null,0,null,305,null,0,null,305,null,24867,null,2180,null,3994,null,1257,null,1416,null,666,null,3543,null,1006,null,3589,null,727,null,4563,null,1207,null,3171,null,1102,null,2660,null,803,null,1260,null,558,null,466,null,493,null,205,null,212,null,31402,null,2119,null,6275,null,1037,null,2267,null,737,null,4161,null,888,null,3431,null,1113,null,4124,null,1013,null,5636,null,1194,null,2629,null,749,null,2295,null,767,null,146,null,146,null,438,null,494,null,11868,null,1147,null,3092,null,762,null,1668,null,558,null,1994,null,611,null,1216,null,416,null,1779,null,555,null,1307,null,409,null,365,null,198,null,369,null,197,null,0,null,305,null,78,null,123,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
95823,null,4583,null,5747,null,1475,null,836,null,484,null,292,null,290,null,1458,null,783,null,976,null,748,null,907,null,484,null,543,null,510,null,116,null,184,null,539,null,427,null,66,null,121,null,14,null,29,null,35191,null,3115,null,3088,null,969,null,2763,null,917,null,4473,null,1242,null,4389,null,1013,null,4809,null,1254,null,5279,null,1341,null,3647,null,868,null,5338,null,1353,null,905,null,547,null,500,null,308,null,42329,null,2976,null,3608,null,964,null,3306,null,875,null,4966,null,1133,null,3882,null,964,null,5264,null,1046,null,8057,null,1431,null,4286,null,792,null,5075,null,1219,null,2462,null,838,null,1423,null,581,null,12556,null,1639,null,1104,null,608,null,1649,null,645,null,3668,null,901,null,1612,null,610,null,792,null,329,null,1659,null,561,null,838,null,443,null,804,null,358,null,15,null,27,null,415,null,298,null,0400000US06,California,06
18600,null,1996,null,487,null,290,null,45,null,75,null,76,null,122,null,68,null,125,null,114,null,155,null,70,null,93,null,114,null,176,null,0,null,279,null,0,null,279,null,0,null,279,null,0,null,279,null,8368,null,1536,null,868,null,438,null,1019,null,653,null,449,null,360,null,958,null,447,null,1488,null,763,null,1646,null,677,null,1251,null,660,null,565,null,343,null,124,null,199,null,0,null,279,null,7404,null,1264,null,544,null,341,null,322,null,260,null,949,null,543,null,1014,null,538,null,1219,null,644,null,1470,null,704,null,848,null,428,null,825,null,482,null,99,null,112,null,114,null,145,null,2341,null,779,null,494,null,308,null,799,null,562,null,115,null,110,null,169,null,162,null,102,null,148,null,304,null,253,null,205,null,204,null,64,null,105,null,0,null,279,null,89,null,146,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
19972,null,2371,null,1119,null,674,null,221,null,334,null,227,null,315,null,277,null,295,null,0,null,305,null,47,null,86,null,180,null,284,null,167,null,239,null,0,null,305,null,0,null,305,null,0,null,305,null,8341,null,1750,null,530,null,352,null,602,null,427,null,951,null,551,null,1549,null,669,null,2052,null,761,null,1013,null,481,null,989,null,716,null,502,null,364,null,153,null,146,null,0,null,305,null,7537,null,1255,null,810,null,462,null,762,null,489,null,835,null,551,null,503,null,327,null,1644,null,694,null,1193,null,554,null,791,null,435,null,483,null,308,null,382,null,286,null,134,null,127,null,2975,null,843,null,380,null,276,null,536,null,401,null,432,null,345,null,573,null,350,null,439,null,395,null,307,null,251,null,113,null,187,null,127,null,146,null,68,null,83,null,0,null,305,null,0400000US12,Florida,12
