B22005E_001E,B22005E_001EA,B22005E_001M,B22005E_001MA,B22005E_002E,B22005E_002EA,B22005E_002M,B22005E_002MA,B22005E_003E,B22005E_003EA,B22005E_003M,B22005E_003MA,GEO_ID,NAME,state
934,null,555,null,466,null,444,null,468,null,328,null,0400000US01,Alabama,01
840,null,247,null,27,null,45,null,813,null,249,null,0400000US02,Alaska,02
2510,null,794,null,0,null,305,null,2510,null,794,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
37585,null,2668,null,2858,null,896,null,34727,null,2555,null,0400000US06,California,06
1624,null,472,null,293,null,253,null,1331,null,443,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
2001,null,831,null,366,null,312,null,1635,null,762,null,0400000US12,Florida,12
1926,null,846,null,308,null,241,null,1618,null,813,null,0400000US13,Georgia,13
33789,null,2010,null,7246,null,1161,null,26543,null,1995,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
799,null,399,null,162,null,155,null,637,null,392,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
null,null,null,null,null,null,null,null,null,null,null,null,0400000US24,Maryland,24
null,null,null,null,null,null,null,null,null,null,null,null,0400000US25,Massachusetts,25
542,null,344,null,92,null,111,null,450,null,327,null,0400000US26,Michigan,26
1151,null,640,null,318,null,355,null,833,null,514,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
1035,null,359,null,155,null,99,null,880,null,342,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
null,null,null,null,null,null,null,null,null,null,null,null,0400000US32,Nevada,32
null,null,null,null,null,null,null,null,null,null,null,null,0400000US33,New Hampshire,33
null,null,null,null,null,null,null,null,null,null,null,null,0400000US34,New Jersey,34
732,null,326,null,108,null,152,null,624,null,310,null,0400000US35,New Mexico,35
1686,null,632,null,240,null,259,null,1446,null,562,null,0400000US36,New York,36
null,null,null,null,null,null,null,null,null,null,null,null,0400000US37,North Carolina,37
null,null,null,null,null,null,null,null,null,null,null,null,0400000US38,North Dakota,38
1395,null,679,null,637,null,666,null,758,null,492,null,0400000US39,Ohio,39
780,null,427,null,197,null,148,null,583,null,399,null,0400000US40,Oklahoma,40
3687,null,783,null,1213,null,624,null,2474,null,715,null,0400000US41,Oregon,41
802,null,444,null,157,null,186,null,645,null,408,null,0400000US42,Pennsylvania,42
null,null,null,null,null,null,null,null,null,null,null,null,0400000US44,Rhode Island,44
null,null,null,null,null,null,null,null,null,null,null,null,0400000US45,South Carolina,45
null,null,null,null,null,null,null,null,null,null,null,null,0400000US46,South Dakota,46
null,null,null,null,null,null,null,null,null,null,null,null,0400000US47,Tennessee,47
4715,null,1022,null,436,null,294,null,4279,null,1059,null,0400000US48,Texas,48
4968,null,904,null,373,null,274,null,4595,null,898,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
null,null,null,null,null,null,null,null,null,null,null,null,0400000US51,Virginia,51
8640,null,1032,null,2066,null,617,null,6574,null,923,null,0400000US53,Washington,53
null,null,null,null,null,null,null,null,null,null,null,null,0400000US54,West Virginia,54
null,null,null,null,null,null,null,null,null,null,null,null,0400000US55,Wisconsin,55
null,null,null,null,null,null,null,null,null,null,null,null,0400000US56,Wyoming,56
null,null,null,null,null,null,null,null,null,null,null,null,0400000US72,Puerto Rico,72
