C19037B_001E,C19037B_001EA,C19037B_001M,C19037B_001MA,C19037B_002E,C19037B_002EA,C19037B_002M,C19037B_002MA,C19037B_003E,C19037B_003EA,C19037B_003M,C19037B_003MA,C19037B_004E,C19037B_004EA,C19037B_004M,C19037B_004MA,C19037B_005E,C19037B_005EA,C19037B_005M,C19037B_005MA,C19037B_006E,C19037B_006EA,C19037B_006M,C19037B_006MA,C19037B_007E,C19037B_007EA,C19037B_007M,C19037B_007MA,C19037B_008E,C19037B_008EA,C19037B_008M,C19037B_008MA,C19037B_009E,C19037B_009EA,C19037B_009M,C19037B_009MA,C19037B_010E,C19037B_010EA,C19037B_010M,C19037B_010MA,C19037B_011E,C19037B_011EA,C19037B_011M,C19037B_011MA,C19037B_012E,C19037B_012EA,C19037B_012M,C19037B_012MA,C19037B_013E,C19037B_013EA,C19037B_013M,C19037B_013MA,C19037B_014E,C19037B_014EA,C19037B_014M,C19037B_014MA,C19037B_015E,C19037B_015EA,C19037B_015M,C19037B_015MA,C19037B_016E,C19037B_016EA,C19037B_016M,C19037B_016MA,C19037B_017E,C19037B_017EA,C19037B_017M,C19037B_017MA,C19037B_018E,C19037B_018EA,C19037B_018M,C19037B_018MA,C19037B_019E,C19037B_019EA,C19037B_019M,C19037B_019MA,C19037B_020E,C19037B_020EA,C19037B_020M,C19037B_020MA,C19037B_021E,C19037B_021EA,C19037B_021M,C19037B_021MA,C19037B_022E,C19037B_022EA,C19037B_022M,C19037B_022MA,C19037B_023E,C19037B_023EA,C19037B_023M,C19037B_023MA,C19037B_024E,C19037B_024EA,C19037B_024M,C19037B_024MA,C19037B_025E,C19037B_025EA,C19037B_025M,C19037B_025MA,C19037B_026E,C19037B_026EA,C19037B_026M,C19037B_026MA,C19037B_027E,C19037B_027EA,C19037B_027M,C19037B_027MA,C19037B_028E,C19037B_028EA,C19037B_028M,C19037B_028MA,C19037B_029E,C19037B_029EA,C19037B_029M,C19037B_029MA,C19037B_030E,C19037B_030EA,C19037B_030M,C19037B_030MA,C19037B_031E,C19037B_031EA,C19037B_031M,C19037B_031MA,C19037B_032E,C19037B_032EA,C19037B_032M,C19037B_032MA,C19037B_033E,C19037B_033EA,C19037B_033M,C19037B_033MA,C19037B_034E,C19037B_034EA,C19037B_034M,C19037B_034MA,C19037B_035E,C19037B_035EA,C19037B_035M,C19037B_035MA,C19037B_036E,C19037B_036EA,C19037B_036M,C19037B_036MA,C19037B_037E,C19037B_037EA,C19037B_037M,C19037B_037MA,C19037B_038E,C19037B_038EA,C19037B_038M,C19037B_038MA,C19037B_039E,C19037B_039EA,C19037B_039M,C19037B_039MA,C19037B_040E,C19037B_040EA,C19037B_040M,C19037B_040MA,C19037B_041E,C19037B_041EA,C19037B_041M,C19037B_041MA,C19037B_042E,C19037B_042EA,C19037B_042M,C19037B_042MA,C19037B_043E,C19037B_043EA,C19037B_043M,C19037B_043MA,C19037B_044E,C19037B_044EA,C19037B_044M,C19037B_044MA,C19037B_045E,C19037B_045EA,C19037B_045M,C19037B_045MA,GEO_ID,NAME,state
472146,null,6413,null,30942,null,2772,null,10675,null,1828,null,5444,null,1357,null,7691,null,1846,null,2650,null,1320,null,3037,null,1041,null,875,null,599,null,289,null,305,null,281,null,320,null,0,null,273,null,0,null,273,null,183055,null,5132,null,29701,null,3019,null,16234,null,2120,null,33941,null,3554,null,26598,null,3173,null,29337,null,3321,null,25255,null,2960,null,12538,null,1772,null,8138,null,1515,null,683,null,320,null,630,null,423,null,178584,null,3689,null,28659,null,2847,null,14679,null,1736,null,28425,null,2464,null,23468,null,2094,null,26712,null,2273,null,27534,null,2342,null,14984,null,1914,null,9943,null,1506,null,2223,null,797,null,1957,null,735,null,79565,null,2940,null,19196,null,2063,null,13713,null,1654,null,16855,null,1639,null,9506,null,1268,null,9152,null,1232,null,5993,null,1093,null,3111,null,800,null,1520,null,570,null,284,null,201,null,235,null,200,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
81789,null,3598,null,6317,null,1357,null,1877,null,734,null,968,null,658,null,745,null,595,null,1036,null,662,null,820,null,508,null,551,null,434,null,0,null,305,null,320,null,331,null,0,null,305,null,0,null,305,null,38869,null,3068,null,4741,null,1365,null,1152,null,601,null,3729,null,1144,null,6160,null,1410,null,7192,null,1670,null,7008,null,1534,null,4782,null,1335,null,2992,null,964,null,653,null,412,null,460,null,541,null,26768,null,1621,null,3351,null,1011,null,1948,null,780,null,2214,null,760,null,2629,null,775,null,3913,null,1160,null,4710,null,944,null,3001,null,778,null,3461,null,946,null,385,null,246,null,1156,null,638,null,9835,null,934,null,1149,null,501,null,1278,null,446,null,1307,null,535,null,1048,null,369,null,1858,null,673,null,1420,null,360,null,978,null,432,null,673,null,292,null,95,null,155,null,29,null,51,null,0400000US04,Arizona,04
175441,null,4291,null,14246,null,2053,null,6147,null,1519,null,1692,null,864,null,2882,null,1103,null,2598,null,1099,null,630,null,551,null,297,null,380,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,73446,null,3619,null,14931,null,2468,null,7231,null,1661,null,14999,null,2380,null,10914,null,1811,null,10188,null,1993,null,9269,null,1600,null,3352,null,960,null,2138,null,783,null,268,null,323,null,156,null,197,null,62425,null,3099,null,10794,null,1870,null,6082,null,1485,null,10229,null,1550,null,7239,null,1090,null,10163,null,1379,null,10587,null,1755,null,3447,null,954,null,3194,null,891,null,461,null,276,null,229,null,229,null,25324,null,1632,null,6417,null,1150,null,5663,null,1129,null,4942,null,848,null,2354,null,665,null,3005,null,801,null,1915,null,625,null,593,null,361,null,240,null,197,null,0,null,273,null,195,null,308,null,0400000US05,Arkansas,05
799396,null,11389,null,36439,null,3264,null,7363,null,1395,null,4798,null,1411,null,7696,null,1718,null,5665,null,1472,null,4325,null,1195,null,4662,null,1200,null,1342,null,723,null,178,null,158,null,198,null,309,null,212,null,259,null,307423,null,7173,null,34885,null,3766,null,21119,null,2692,null,34477,null,3085,null,35403,null,3950,null,49059,null,4089,null,58679,null,4089,null,31830,null,2686,null,29791,null,2961,null,7320,null,1813,null,4860,null,1341,null,320769,null,6348,null,30541,null,3131,null,25063,null,2653,null,29117,null,2529,null,29967,null,3493,null,44074,null,3254,null,50786,null,3271,null,41713,null,3766,null,42608,null,3091,null,15291,null,2230,null,11609,null,1594,null,134765,null,3369,null,11355,null,1597,null,19384,null,1915,null,21228,null,1998,null,14258,null,1654,null,18775,null,2061,null,21735,null,2123,null,12608,null,1620,null,10205,null,1394,null,2979,null,790,null,2238,null,682,null,0400000US06,California,06
69511,null,2658,null,4867,null,1167,null,1378,null,746,null,596,null,461,null,1151,null,701,null,539,null,329,null,254,null,299,null,369,null,339,null,501,null,545,null,0,null,279,null,79,null,121,null,0,null,279,null,31709,null,2100,null,5223,null,1352,null,2078,null,933,null,4417,null,1239,null,4827,null,1390,null,3524,null,1048,null,5663,null,1247,null,3075,null,1015,null,2336,null,920,null,276,null,392,null,290,null,281,null,23729,null,1799,null,2938,null,846,null,1209,null,515,null,2800,null,894,null,3332,null,961,null,3807,null,883,null,3820,null,1006,null,3054,null,761,null,2005,null,729,null,474,null,315,null,290,null,234,null,9206,null,801,null,1988,null,637,null,1315,null,525,null,1306,null,473,null,1208,null,499,null,1194,null,381,null,865,null,388,null,553,null,291,null,384,null,231,null,365,null,243,null,28,null,47,null,0400000US08,Colorado,08
121659,null,3380,null,5209,null,1402,null,1171,null,597,null,627,null,486,null,1316,null,675,null,680,null,446,null,512,null,422,null,47,null,77,null,434,null,454,null,240,null,315,null,0,null,277,null,182,null,266,null,51697,null,2752,null,6756,null,1435,null,2645,null,836,null,5485,null,1688,null,6590,null,1445,null,7665,null,1680,null,9923,null,1695,null,7159,null,1509,null,4136,null,970,null,884,null,575,null,454,null,265,null,46924,null,1956,null,6424,null,1494,null,2360,null,713,null,4545,null,1252,null,4698,null,1151,null,6400,null,1352,null,7943,null,1437,null,6345,null,1139,null,5605,null,1072,null,1664,null,714,null,940,null,429,null,17829,null,1130,null,3110,null,842,null,1710,null,672,null,3190,null,892,null,1595,null,617,null,1986,null,624,null,2705,null,754,null,1899,null,645,null,1082,null,456,null,287,null,233,null,265,null,271,null,0400000US09,Connecticut,09
63473,null,2224,null,1514,null,639,null,238,null,265,null,211,null,226,null,331,null,322,null,480,null,344,null,187,null,310,null,0,null,263,null,26,null,45,null,41,null,67,null,0,null,263,null,0,null,263,null,27054,null,1784,null,1579,null,828,null,1468,null,827,null,4928,null,1480,null,2976,null,862,null,4147,null,1176,null,6506,null,1778,null,2203,null,810,null,2465,null,846,null,695,null,361,null,87,null,145,null,25166,null,1490,null,2362,null,717,null,1690,null,746,null,2330,null,900,null,2895,null,882,null,2755,null,817,null,5634,null,1109,null,3642,null,989,null,2643,null,789,null,1084,null,470,null,131,null,218,null,9739,null,914,null,1445,null,525,null,1283,null,488,null,2121,null,686,null,862,null,412,null,1508,null,588,null,1360,null,530,null,435,null,251,null,435,null,256,null,46,null,79,null,244,null,240,null,0400000US10,Delaware,10
123326,null,2860,null,3525,null,1001,null,1496,null,719,null,206,null,215,null,392,null,272,null,598,null,364,null,614,null,393,null,0,null,296,null,34,null,58,null,0,null,296,null,0,null,296,null,185,null,298,null,39375,null,2224,null,6571,null,1478,null,2409,null,851,null,3945,null,1101,null,4500,null,1097,null,6705,null,1456,null,6774,null,1423,null,3132,null,966,null,3621,null,1012,null,1009,null,472,null,709,null,443,null,51844,null,2061,null,9186,null,1539,null,3218,null,762,null,5088,null,1167,null,5725,null,1132,null,5911,null,1023,null,8612,null,1339,null,5180,null,940,null,5193,null,1185,null,1959,null,649,null,1772,null,712,null,28582,null,1513,null,5972,null,1170,null,3491,null,932,null,4069,null,724,null,2239,null,638,null,3721,null,764,null,3772,null,898,null,2304,null,667,null,1479,null,442,null,1049,null,517,null,486,null,278,null,0400000US11,District of Columbia,11
937767,null,11642,null,60242,null,4650,null,19717,null,2757,null,8200,null,1936,null,14743,null,2919,null,7286,null,1855,null,6129,null,1592,null,2800,null,905,null,679,null,462,null,601,null,647,null,0,null,305,null,87,null,144,null,387009,null,8707,null,47473,null,4452,null,28268,null,3598,null,59157,null,4566,null,58958,null,5038,null,74907,null,6240,null,65168,null,4764,null,32066,null,2862,null,16612,null,2175,null,2605,null,770,null,1795,null,714,null,346556,null,6983,null,41079,null,3499,null,25035,null,2682,null,50261,null,3765,null,45582,null,3867,null,59539,null,3578,null,60166,null,3929,null,31636,null,2744,null,24193,null,2197,null,6295,null,1445,null,2770,null,884,null,143960,null,4096,null,28786,null,2618,null,19896,null,2331,null,27964,null,2510,null,16413,null,1772,null,17480,null,1988,null,18673,null,1769,null,6785,null,1258,null,4589,null,897,null,1971,null,603,null,1403,null,615,null,0400000US12,Florida,12
