B19101F_001E,B19101F_001EA,B19101F_001M,B19101F_001MA,B19101F_002E,B19101F_002EA,B19101F_002M,B19101F_002MA,B19101F_003E,B19101F_003EA,B19101F_003M,B19101F_003MA,B19101F_004E,B19101F_004EA,B19101F_004M,B19101F_004MA,B19101F_005E,B19101F_005EA,B19101F_005M,B19101F_005MA,B19101F_006E,B19101F_006EA,B19101F_006M,B19101F_006MA,B19101F_007E,B19101F_007EA,B19101F_007M,B19101F_007MA,B19101F_008E,B19101F_008EA,B19101F_008M,B19101F_008MA,B19101F_009E,B19101F_009EA,B19101F_009M,B19101F_009MA,B19101F_010E,B19101F_010EA,B19101F_010M,B19101F_010MA,B19101F_011E,B19101F_011EA,B19101F_011M,B19101F_011MA,B19101F_012E,B19101F_012EA,B19101F_012M,B19101F_012MA,B19101F_013E,B19101F_013EA,B19101F_013M,B19101F_013MA,B19101F_014E,B19101F_014EA,B19101F_014M,B19101F_014MA,B19101F_015E,B19101F_015EA,B19101F_015M,B19101F_015MA,B19101F_016E,B19101F_016EA,B19101F_016M,B19101F_016MA,B19101F_017E,B19101F_017EA,B19101F_017M,B19101F_017MA,GEO_ID,NAME,state
7958,null,1270,null,823,null,460,null,332,null,344,null,1003,null,575,null,464,null,378,null,507,null,399,null,887,null,553,null,714,null,385,null,713,null,433,null,0,null,273,null,603,null,420,null,470,null,407,null,1029,null,646,null,290,null,216,null,48,null,87,null,0,null,273,null,75,null,123,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
85482,null,4633,null,6539,null,1391,null,5001,null,1335,null,4167,null,1133,null,6607,null,1549,null,7264,null,1611,null,4859,null,1258,null,5540,null,1453,null,4564,null,1070,null,5087,null,1366,null,8485,null,1402,null,9860,null,1816,null,8358,null,1407,null,4255,null,1021,null,2306,null,940,null,1421,null,570,null,1169,null,610,null,0400000US04,Arizona,04
14453,null,1639,null,1348,null,691,null,662,null,438,null,1997,null,830,null,1587,null,528,null,1212,null,749,null,2022,null,763,null,959,null,469,null,812,null,548,null,600,null,420,null,1080,null,533,null,1082,null,564,null,826,null,464,null,0,null,273,null,55,null,90,null,211,null,194,null,0,null,273,null,0400000US05,Arkansas,05
1026944,null,15931,null,69688,null,4508,null,54843,null,3859,null,73768,null,5098,null,67863,null,4986,null,68532,null,5342,null,67644,null,4470,null,64930,null,4538,null,56271,null,4314,null,54233,null,4322,null,92577,null,5609,null,113767,null,5147,null,118094,null,6304,null,61236,null,3943,null,30444,null,2766,null,23917,null,2814,null,9137,null,1463,null,0400000US06,California,06
50111,null,3350,null,3454,null,937,null,3246,null,1122,null,3245,null,994,null,4802,null,1350,null,3039,null,847,null,2203,null,835,null,3152,null,887,null,4341,null,1315,null,1587,null,616,null,5097,null,1216,null,4721,null,1180,null,5847,null,1250,null,2516,null,720,null,1208,null,558,null,1452,null,631,null,201,null,169,null,0400000US08,Colorado,08
41138,null,3210,null,5286,null,1373,null,4441,null,911,null,2852,null,946,null,2920,null,943,null,3232,null,1100,null,2588,null,811,null,2250,null,781,null,1194,null,569,null,1991,null,781,null,3077,null,880,null,2820,null,993,null,3567,null,998,null,2209,null,794,null,877,null,507,null,798,null,505,null,1036,null,638,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
107335,null,5617,null,7028,null,1474,null,6554,null,1684,null,8492,null,1996,null,8694,null,1697,null,8447,null,1541,null,8487,null,1973,null,7363,null,1553,null,6005,null,1483,null,5833,null,1354,null,10627,null,2040,null,10372,null,1677,null,10534,null,1715,null,4164,null,1090,null,1950,null,636,null,1385,null,630,null,1400,null,722,null,0400000US12,Florida,12
