B06004E_001E,B06004E_001EA,B06004E_001M,B06004E_001MA,B06004E_002E,B06004E_002EA,B06004E_002M,B06004E_002MA,B06004E_003E,B06004E_003EA,B06004E_003M,B06004E_003MA,B06004E_004E,B06004E_004EA,B06004E_004M,B06004E_004MA,B06004E_005E,B06004E_005EA,B06004E_005M,B06004E_005MA,GEO_ID,NAME,state
2171,null,1340,null,133,null,221,null,1252,null,945,null,308,null,293,null,478,null,458,null,0400000US01,Alabama,01
5351,null,962,null,1244,null,492,null,1411,null,574,null,1947,null,959,null,749,null,384,null,0400000US02,Alaska,02
11340,null,2213,null,2134,null,1157,null,5428,null,1898,null,2775,null,1442,null,1003,null,617,null,0400000US04,Arizona,04
2329,null,530,null,296,null,296,null,794,null,535,null,59,null,100,null,1180,null,350,null,0400000US05,Arkansas,05
137544,null,4945,null,54370,null,4143,null,23080,null,2611,null,23054,null,3370,null,37040,null,4569,null,0400000US06,California,06
5737,null,1381,null,1233,null,676,null,2795,null,882,null,1539,null,802,null,170,null,189,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
8906,null,2648,null,2753,null,1267,null,2201,null,951,null,1583,null,884,null,2369,null,1035,null,0400000US12,Florida,12
6244,null,2446,null,349,null,252,null,3085,null,1197,null,2672,null,1818,null,138,null,166,null,0400000US13,Georgia,13
114085,null,4235,null,84637,null,4892,null,5330,null,1538,null,7552,null,1840,null,16566,null,3749,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
1934,null,842,null,627,null,409,null,553,null,379,null,266,null,205,null,488,null,454,null,0400000US17,Illinois,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US18,Indiana,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US19,Iowa,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US20,Kansas,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US21,Kentucky,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
2475,null,997,null,636,null,578,null,776,null,542,null,522,null,338,null,541,null,434,null,0400000US24,Maryland,24
2499,null,1357,null,422,null,371,null,797,null,523,null,0,null,283,null,1280,null,792,null,0400000US25,Massachusetts,25
2693,null,1118,null,526,null,485,null,1413,null,592,null,602,null,415,null,152,null,124,null,0400000US26,Michigan,26
3003,null,1397,null,946,null,571,null,619,null,460,null,225,null,314,null,1213,null,924,null,0400000US27,Minnesota,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US28,Mississippi,28
3809,null,931,null,609,null,408,null,782,null,405,null,1569,null,627,null,849,null,716,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US31,Nebraska,31
