B19037G_001E,B19037G_001EA,B19037G_001M,B19037G_001MA,B19037G_002E,B19037G_002EA,B19037G_002M,B19037G_002MA,B19037G_003E,B19037G_003EA,B19037G_003M,B19037G_003MA,B19037G_004E,B19037G_004EA,B19037G_004M,B19037G_004MA,B19037G_005E,B19037G_005EA,B19037G_005M,B19037G_005MA,B19037G_006E,B19037G_006EA,B19037G_006M,B19037G_006MA,B19037G_007E,B19037G_007EA,B19037G_007M,B19037G_007MA,B19037G_008E,B19037G_008EA,B19037G_008M,B19037G_008MA,B19037G_009E,B19037G_009EA,B19037G_009M,B19037G_009MA,B19037G_010E,B19037G_010EA,B19037G_010M,B19037G_010MA,B19037G_011E,B19037G_011EA,B19037G_011M,B19037G_011MA,B19037G_012E,B19037G_012EA,B19037G_012M,B19037G_012MA,B19037G_013E,B19037G_013EA,B19037G_013M,B19037G_013MA,B19037G_014E,B19037G_014EA,B19037G_014M,B19037G_014MA,B19037G_015E,B19037G_015EA,B19037G_015M,B19037G_015MA,B19037G_016E,B19037G_016EA,B19037G_016M,B19037G_016MA,B19037G_017E,B19037G_017EA,B19037G_017M,B19037G_017MA,B19037G_018E,B19037G_018EA,B19037G_018M,B19037G_018MA,B19037G_019E,B19037G_019EA,B19037G_019M,B19037G_019MA,B19037G_020E,B19037G_020EA,B19037G_020M,B19037G_020MA,B19037G_021E,B19037G_021EA,B19037G_021M,B19037G_021MA,B19037G_022E,B19037G_022EA,B19037G_022M,B19037G_022MA,B19037G_023E,B19037G_023EA,B19037G_023M,B19037G_023MA,B19037G_024E,B19037G_024EA,B19037G_024M,B19037G_024MA,B19037G_025E,B19037G_025EA,B19037G_025M,B19037G_025MA,B19037G_026E,B19037G_026EA,B19037G_026M,B19037G_026MA,B19037G_027E,B19037G_027EA,B19037G_027M,B19037G_027MA,B19037G_028E,B19037G_028EA,B19037G_028M,B19037G_028MA,B19037G_029E,B19037G_029EA,B19037G_029M,B19037G_029MA,B19037G_030E,B19037G_030EA,B19037G_030M,B19037G_030MA,B19037G_031E,B19037G_031EA,B19037G_031M,B19037G_031MA,B19037G_032E,B19037G_032EA,B19037G_032M,B19037G_032MA,B19037G_033E,B19037G_033EA,B19037G_033M,B19037G_033MA,B19037G_034E,B19037G_034EA,B19037G_034M,B19037G_034MA,B19037G_035E,B19037G_035EA,B19037G_035M,B19037G_035MA,B19037G_036E,B19037G_036EA,B19037G_036M,B19037G_036MA,B19037G_037E,B19037G_037EA,B19037G_037M,B19037G_037MA,B19037G_038E,B19037G_038EA,B19037G_038M,B19037G_038MA,B19037G_039E,B19037G_039EA,B19037G_039M,B19037G_039MA,B19037G_040E,B19037G_040EA,B19037G_040M,B19037G_040MA,B19037G_041E,B19037G_041EA,B19037G_041M,B19037G_041MA,B19037G_042E,B19037G_042EA,B19037G_042M,B19037G_042MA,B19037G_043E,B19037G_043EA,B19037G_043M,B19037G_043MA,B19037G_044E,B19037G_044EA,B19037G_044M,B19037G_044MA,B19037G_045E,B19037G_045EA,B19037G_045M,B19037G_045MA,B19037G_046E,B19037G_046EA,B19037G_046M,B19037G_046MA,B19037G_047E,B19037G_047EA,B19037G_047M,B19037G_047MA,B19037G_048E,B19037G_048EA,B19037G_048M,B19037G_048MA,B19037G_049E,B19037G_049EA,B19037G_049M,B19037G_049MA,B19037G_050E,B19037G_050EA,B19037G_050M,B19037G_050MA,B19037G_051E,B19037G_051EA,B19037G_051M,B19037G_051MA,B19037G_052E,B19037G_052EA,B19037G_052M,B19037G_052MA,B19037G_053E,B19037G_053EA,B19037G_053M,B19037G_053MA,B19037G_054E,B19037G_054EA,B19037G_054M,B19037G_054MA,B19037G_055E,B19037G_055EA,B19037G_055M,B19037G_055MA,B19037G_056E,B19037G_056EA,B19037G_056M,B19037G_056MA,B19037G_057E,B19037G_057EA,B19037G_057M,B19037G_057MA,B19037G_058E,B19037G_058EA,B19037G_058M,B19037G_058MA,B19037G_059E,B19037G_059EA,B19037G_059M,B19037G_059MA,B19037G_060E,B19037G_060EA,B19037G_060M,B19037G_060MA,B19037G_061E,B19037G_061EA,B19037G_061M,B19037G_061MA,B19037G_062E,B19037G_062EA,B19037G_062M,B19037G_062MA,B19037G_063E,B19037G_063EA,B19037G_063M,B19037G_063MA,B19037G_064E,B19037G_064EA,B19037G_064M,B19037G_064MA,B19037G_065E,B19037G_065EA,B19037G_065M,B19037G_065MA,B19037G_066E,B19037G_066EA,B19037G_066M,B19037G_066MA,B19037G_067E,B19037G_067EA,B19037G_067M,B19037G_067MA,B19037G_068E,B19037G_068EA,B19037G_068M,B19037G_068MA,B19037G_069E,B19037G_069EA,B19037G_069M,B19037G_069MA,GEO_ID,NAME,state
17707,null,1875,null,1124,null,493,null,367,null,296,null,147,null,159,null,97,null,106,null,205,null,211,null,176,null,214,null,0,null,273,null,0,null,273,null,48,null,49,null,0,null,273,null,29,null,49,null,55,null,97,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,0,null,273,null,6402,null,1452,null,1067,null,606,null,672,null,444,null,227,null,181,null,1007,null,601,null,357,null,276,null,163,null,168,null,446,null,372,null,166,null,160,null,532,null,432,null,173,null,131,null,580,null,449,null,457,null,247,null,380,null,248,null,136,null,121,null,39,null,69,null,0,null,273,null,6522,null,929,null,986,null,340,null,329,null,200,null,309,null,227,null,390,null,202,null,284,null,227,null,346,null,220,null,543,null,304,null,227,null,163,null,334,null,217,null,626,null,363,null,434,null,264,null,721,null,326,null,258,null,182,null,342,null,285,null,144,null,131,null,249,null,223,null,3659,null,745,null,491,null,274,null,301,null,253,null,536,null,330,null,249,null,213,null,370,null,353,null,302,null,251,null,236,null,143,null,73,null,90,null,24,null,47,null,210,null,164,null,177,null,202,null,409,null,282,null,0,null,273,null,45,null,80,null,128,null,127,null,108,null,131,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
33070,null,3060,null,1883,null,663,null,529,null,405,null,223,null,278,null,86,null,114,null,242,null,164,null,100,null,123,null,66,null,116,null,30,null,50,null,77,null,98,null,120,null,149,null,213,null,213,null,104,null,122,null,0,null,305,null,40,null,65,null,0,null,305,null,53,null,95,null,0,null,305,null,13159,null,1631,null,1312,null,584,null,422,null,262,null,420,null,271,null,780,null,408,null,738,null,422,null,750,null,482,null,706,null,416,null,319,null,232,null,657,null,374,null,1503,null,640,null,2205,null,767,null,1301,null,485,null,1022,null,597,null,172,null,174,null,625,null,518,null,227,null,201,null,13770,null,2011,null,1729,null,808,null,828,null,522,null,668,null,359,null,594,null,422,null,538,null,335,null,962,null,688,null,788,null,472,null,720,null,441,null,902,null,468,null,661,null,333,null,1838,null,664,null,1586,null,685,null,589,null,302,null,683,null,375,null,266,null,217,null,418,null,356,null,4258,null,926,null,465,null,283,null,283,null,206,null,238,null,208,null,401,null,311,null,404,null,242,null,299,null,232,null,212,null,188,null,172,null,171,null,131,null,144,null,409,null,397,null,730,null,491,null,209,null,192,null,0,null,305,null,0,null,305,null,232,null,318,null,73,null,121,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
301207,null,7951,null,19183,null,2134,null,2313,null,693,null,1592,null,782,null,1339,null,738,null,2212,null,827,null,1045,null,481,null,976,null,438,null,1019,null,554,null,1739,null,782,null,1047,null,471,null,1527,null,661,null,1654,null,639,null,837,null,453,null,993,null,481,null,285,null,261,null,605,null,477,null,0,null,294,null,135080,null,6422,null,5025,null,960,null,6318,null,1430,null,6236,null,1311,null,5808,null,1371,null,4798,null,1182,null,5016,null,1320,null,6655,null,1288,null,6770,null,1552,null,5072,null,949,null,11976,null,1877,null,16670,null,2165,null,19935,null,2144,null,12056,null,1993,null,8297,null,1432,null,8466,null,1466,null,5982,null,1508,null,106981,null,4526,null,7232,null,1418,null,4927,null,1064,null,4521,null,1086,null,4140,null,926,null,3489,null,887,null,4795,null,1015,null,5421,null,1413,null,4112,null,1040,null,6136,null,1248,null,8549,null,1362,null,11926,null,1724,null,14737,null,1557,null,9837,null,1537,null,6406,null,1113,null,5529,null,1116,null,5224,null,1142,null,39963,null,2754,null,2777,null,721,null,5548,null,1007,null,3319,null,755,null,2233,null,670,null,2285,null,599,null,2717,null,684,null,2349,null,684,null,2053,null,617,null,1915,null,651,null,2881,null,767,null,2759,null,787,null,3896,null,1058,null,2313,null,668,null,759,null,328,null,840,null,384,null,1319,null,514,null,0400000US06,California,06
37763,null,2981,null,3658,null,970,null,951,null,503,null,257,null,165,null,281,null,289,null,308,null,242,null,610,null,546,null,184,null,159,null,104,null,126,null,123,null,198,null,227,null,187,null,81,null,103,null,301,null,301,null,84,null,82,null,77,null,90,null,0,null,279,null,0,null,279,null,70,null,86,null,17614,null,2070,null,1584,null,545,null,283,null,199,null,1165,null,624,null,786,null,536,null,1005,null,599,null,1103,null,608,null,1110,null,705,null,719,null,456,null,890,null,545,null,1461,null,742,null,2106,null,777,null,2845,null,827,null,775,null,494,null,590,null,397,null,712,null,386,null,480,null,368,null,12623,null,1618,null,1318,null,544,null,384,null,257,null,487,null,267,null,1096,null,643,null,721,null,413,null,662,null,372,null,336,null,254,null,424,null,232,null,482,null,384,null,1658,null,649,null,1202,null,532,null,1391,null,555,null,840,null,304,null,537,null,350,null,636,null,399,null,449,null,333,null,3868,null,886,null,575,null,395,null,1021,null,554,null,237,null,204,null,197,null,170,null,635,null,392,null,225,null,245,null,323,null,315,null,34,null,70,null,146,null,123,null,169,null,132,null,174,null,213,null,107,null,127,null,0,null,279,null,0,null,279,null,0,null,279,null,25,null,41,null,0400000US08,Colorado,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
88716,null,4433,null,3810,null,1070,null,827,null,522,null,377,null,348,null,277,null,253,null,670,null,361,null,68,null,86,null,367,null,252,null,110,null,150,null,107,null,128,null,332,null,292,null,151,null,162,null,383,null,365,null,109,null,132,null,0,null,305,null,0,null,305,null,0,null,305,null,32,null,58,null,38576,null,3312,null,3365,null,1046,null,1553,null,683,null,2223,null,936,null,2071,null,892,null,1895,null,901,null,2534,null,1159,null,2852,null,814,null,2241,null,710,null,2482,null,823,null,3173,null,1077,null,4345,null,1025,null,3956,null,992,null,3320,null,1079,null,986,null,511,null,1017,null,517,null,563,null,380,null,32025,null,2521,null,1864,null,740,null,2209,null,773,null,1923,null,621,null,2369,null,832,null,2299,null,832,null,1623,null,613,null,2035,null,719,null,1179,null,496,null,1901,null,651,null,2420,null,743,null,3536,null,861,null,3864,null,1090,null,2137,null,705,null,1161,null,468,null,1086,null,420,null,419,null,291,null,14305,null,1997,null,1682,null,721,null,1530,null,596,null,1596,null,653,null,1425,null,618,null,657,null,331,null,1500,null,595,null,262,null,255,null,711,null,431,null,609,null,368,null,1216,null,558,null,1425,null,570,null,1098,null,426,null,277,null,192,null,150,null,176,null,123,null,121,null,44,null,73,null,0400000US12,Florida,12
