B05003G_001E,B05003G_001EA,B05003G_001M,B05003G_001MA,B05003G_002E,B05003G_002EA,B05003G_002M,B05003G_002MA,B05003G_003E,B05003G_003EA,B05003G_003M,B05003G_003MA,B05003G_004E,B05003G_004EA,B05003G_004M,B05003G_004MA,B05003G_005E,B05003G_005EA,B05003G_005M,B05003G_005MA,B05003G_006E,B05003G_006EA,B05003G_006M,B05003G_006MA,B05003G_007E,B05003G_007EA,B05003G_007M,B05003G_007MA,B05003G_008E,B05003G_008EA,B05003G_008M,B05003G_008MA,B05003G_009E,B05003G_009EA,B05003G_009M,B05003G_009MA,B05003G_010E,B05003G_010EA,B05003G_010M,B05003G_010MA,B05003G_011E,B05003G_011EA,B05003G_011M,B05003G_011MA,B05003G_012E,B05003G_012EA,B05003G_012M,B05003G_012MA,B05003G_013E,B05003G_013EA,B05003G_013M,B05003G_013MA,B05003G_014E,B05003G_014EA,B05003G_014M,B05003G_014MA,B05003G_015E,B05003G_015EA,B05003G_015M,B05003G_015MA,B05003G_016E,B05003G_016EA,B05003G_016M,B05003G_016MA,B05003G_017E,B05003G_017EA,B05003G_017M,B05003G_017MA,B05003G_018E,B05003G_018EA,B05003G_018M,B05003G_018MA,B05003G_019E,B05003G_019EA,B05003G_019M,B05003G_019MA,B05003G_020E,B05003G_020EA,B05003G_020M,B05003G_020MA,B05003G_021E,B05003G_021EA,B05003G_021M,B05003G_021MA,B05003G_022E,B05003G_022EA,B05003G_022M,B05003G_022MA,B05003G_023E,B05003G_023EA,B05003G_023M,B05003G_023MA,GEO_ID,NAME,state
64085,null,5544,null,32583,null,3514,null,14493,null,2390,null,14493,null,2390,null,0,null,273,null,0,null,273,null,0,null,273,null,18090,null,2184,null,17423,null,2110,null,667,null,408,null,449,null,309,null,218,null,231,null,31502,null,3150,null,13537,null,1981,null,13537,null,1981,null,0,null,273,null,0,null,273,null,0,null,273,null,17965,null,2120,null,16863,null,1910,null,1102,null,515,null,902,null,446,null,200,null,169,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
183364,null,10417,null,89262,null,5715,null,48459,null,4211,null,47928,null,4240,null,531,null,306,null,226,null,277,null,305,null,267,null,40803,null,3622,null,37225,null,3492,null,3578,null,1185,null,1270,null,517,null,2308,null,1041,null,94102,null,6737,null,46137,null,4041,null,45730,null,4053,null,407,null,343,null,183,null,250,null,224,null,231,null,47965,null,4425,null,41775,null,3958,null,6190,null,1522,null,2459,null,699,null,3731,null,1288,null,0400000US04,Arizona,04
57052,null,4396,null,29754,null,2529,null,14133,null,1892,null,13998,null,1894,null,135,null,225,null,0,null,273,null,135,null,225,null,15621,null,1823,null,14453,null,1765,null,1168,null,688,null,289,null,240,null,879,null,654,null,27298,null,3022,null,10952,null,1835,null,10952,null,1835,null,0,null,273,null,0,null,273,null,0,null,273,null,16346,null,2076,null,15413,null,2010,null,933,null,531,null,398,null,334,null,535,null,383,null,0400000US05,Arkansas,05
1406584,null,28150,null,705381,null,17376,null,338669,null,11472,null,335260,null,11559,null,3409,null,899,null,934,null,425,null,2475,null,828,null,366712,null,11130,null,303517,null,9798,null,63195,null,4139,null,34604,null,3131,null,28591,null,2783,null,701203,null,14700,null,316311,null,9233,null,312187,null,9142,null,4124,null,1146,null,1320,null,475,null,2804,null,952,null,384892,null,10722,null,318005,null,9513,null,66887,null,4453,null,36212,null,2789,null,30675,null,3165,null,0400000US06,California,06
162136,null,8765,null,79896,null,5078,null,40300,null,3479,null,39763,null,3497,null,537,null,377,null,259,null,308,null,278,null,238,null,39596,null,3215,null,37634,null,3090,null,1962,null,597,null,652,null,368,null,1310,null,519,null,82240,null,5283,null,41238,null,3932,null,41001,null,3895,null,237,null,245,null,135,null,214,null,102,null,131,null,41002,null,3297,null,37837,null,3104,null,3165,null,968,null,1715,null,681,null,1450,null,534,null,0400000US08,Colorado,08
78523,null,5538,null,39323,null,3570,null,23056,null,2727,null,22517,null,2850,null,539,null,461,null,383,null,406,null,156,null,227,null,16267,null,1954,null,14239,null,1749,null,2028,null,805,null,885,null,411,null,1143,null,628,null,39200,null,3234,null,19255,null,2090,null,19255,null,2090,null,0,null,277,null,0,null,277,null,0,null,277,null,19945,null,2144,null,18248,null,1963,null,1697,null,711,null,937,null,508,null,760,null,401,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
11049,null,1940,null,5145,null,1125,null,2375,null,908,null,2375,null,908,null,0,null,296,null,0,null,296,null,0,null,296,null,2770,null,839,null,2536,null,812,null,234,null,201,null,0,null,296,null,234,null,201,null,5904,null,1386,null,1681,null,754,null,1681,null,754,null,0,null,296,null,0,null,296,null,0,null,296,null,4223,null,1060,null,3596,null,1004,null,627,null,326,null,366,null,258,null,261,null,216,null,0400000US11,District of Columbia,11
357839,null,15399,null,175401,null,9509,null,81761,null,6369,null,79830,null,6226,null,1931,null,731,null,660,null,390,null,1271,null,724,null,93640,null,5522,null,68205,null,4432,null,25435,null,3242,null,12715,null,1937,null,12720,null,2524,null,182438,null,9035,null,77853,null,6311,null,76776,null,6240,null,1077,null,514,null,269,null,229,null,808,null,420,null,104585,null,5628,null,73468,null,4061,null,31117,null,3509,null,19947,null,2475,null,11170,null,1960,null,0400000US12,Florida,12
