B13002B_001E,B13002B_001EA,B13002B_001M,B13002B_001MA,B13002B_002E,B13002B_002EA,B13002B_002M,B13002B_002MA,B13002B_003E,B13002B_003EA,B13002B_003M,B13002B_003MA,B13002B_004E,B13002B_004EA,B13002B_004M,B13002B_004MA,B13002B_005E,B13002B_005EA,B13002B_005M,B13002B_005MA,B13002B_006E,B13002B_006EA,B13002B_006M,B13002B_006MA,B13002B_007E,B13002B_007EA,B13002B_007M,B13002B_007MA,GEO_ID,NAME,state
341663,null,2829,null,25520,null,2799,null,6601,null,1483,null,18919,null,2487,null,316143,null,3357,null,93990,null,4755,null,222153,null,5139,null,0400000US01,Alabama,01
6900,null,643,null,493,null,398,null,244,null,306,null,249,null,271,null,6407,null,767,null,2177,null,718,null,4230,null,864,null,0400000US02,Alaska,02
64265,null,2747,null,4332,null,1160,null,2152,null,884,null,2180,null,933,null,59933,null,3038,null,17248,null,2155,null,42685,null,3162,null,0400000US04,Arizona,04
123549,null,2941,null,8048,null,1677,null,2076,null,897,null,5972,null,1454,null,115501,null,3386,null,34700,null,2759,null,80801,null,3454,null,0400000US05,Arkansas,05
607148,null,5395,null,33242,null,3192,null,11388,null,1949,null,21854,null,2480,null,573906,null,6052,null,150779,null,5946,null,423127,null,8137,null,0400000US06,California,06
50536,null,1929,null,3304,null,1097,null,1289,null,599,null,2015,null,847,null,47232,null,2143,null,11371,null,1453,null,35861,null,2274,null,0400000US08,Colorado,08
95594,null,2685,null,4149,null,1192,null,1442,null,566,null,2707,null,968,null,91445,null,2754,null,27774,null,2365,null,63671,null,3110,null,0400000US09,Connecticut,09
53211,null,1402,null,3862,null,1112,null,1577,null,722,null,2285,null,857,null,49349,null,1656,null,12669,null,1869,null,36680,null,2346,null,0400000US10,Delaware,10
86328,null,1109,null,3615,null,1182,null,531,null,287,null,3084,null,1161,null,82713,null,1509,null,13043,null,1871,null,69670,null,2104,null,0400000US11,District of Columbia,11
807716,null,6038,null,54054,null,4538,null,16775,null,2410,null,37279,null,3604,null,753662,null,6785,null,235926,null,6593,null,517736,null,8702,null,0400000US12,Florida,12
866262,null,6094,null,54494,null,4435,null,18075,null,2596,null,36419,null,4012,null,811768,null,7154,null,245088,null,6759,null,566680,null,9632,null,0400000US13,Georgia,13
7068,null,1444,null,713,null,592,null,713,null,592,null,0,null,275,null,6355,null,1456,null,4166,null,1316,null,2189,null,1027,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
522735,null,4123,null,31516,null,3323,null,7622,null,1723,null,23894,null,2772,null,491219,null,5091,null,109964,null,5394,null,381255,null,7055,null,0400000US17,Illinois,17
157672,null,3440,null,8604,null,1842,null,1360,null,586,null,7244,null,1674,null,149068,null,3541,null,35225,null,3027,null,113843,null,4280,null,0400000US18,Indiana,18
20851,null,1851,null,1201,null,563,null,215,null,170,null,986,null,542,null,19650,null,1879,null,4840,null,1099,null,14810,null,1692,null,0400000US19,Iowa,19
41533,null,1865,null,3000,null,901,null,716,null,363,null,2284,null,853,null,38533,null,1862,null,11308,null,1574,null,27225,null,2101,null,0400000US20,Kansas,20
87942,null,3050,null,5830,null,1493,null,1688,null,750,null,4142,null,1324,null,82112,null,3349,null,23094,null,2134,null,59018,null,3353,null,0400000US21,Kentucky,21
397731,null,3158,null,26865,null,2667,null,7886,null,1737,null,18979,null,2234,null,370866,null,4035,null,102257,null,4696,null,268609,null,5199,null,0400000US22,Louisiana,22
3756,null,807,null,289,null,302,null,173,null,208,null,116,null,191,null,3467,null,817,null,1129,null,475,null,2338,null,667,null,0400000US23,Maine,23
477185,null,3597,null,29392,null,3522,null,11345,null,2407,null,18047,null,2454,null,447793,null,5079,null,133392,null,5914,null,314401,null,7376,null,0400000US24,Maryland,24
118846,null,3115,null,7519,null,1621,null,3655,null,1236,null,3864,null,1056,null,111327,null,3390,null,32956,null,2970,null,78371,null,3528,null,0400000US25,Massachusetts,25
382538,null,3235,null,23381,null,2795,null,4792,null,1249,null,18589,null,2594,null,359157,null,3996,null,78116,null,4585,null,281041,null,5442,null,0400000US26,Michigan,26
61963,null,1817,null,5924,null,1254,null,2931,null,906,null,2993,null,859,null,56039,null,1928,null,15232,null,1778,null,40807,null,1634,null,0400000US27,Minnesota,27
302848,null,2963,null,19698,null,2468,null,2937,null,937,null,16761,null,2353,null,283150,null,3756,null,81131,null,3611,null,202019,null,4982,null,0400000US28,Mississippi,28
186565,null,2758,null,11252,null,2020,null,2466,null,933,null,8786,null,1674,null,175313,null,3059,null,44687,null,3116,null,130626,null,4649,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
20698,null,1294,null,2691,null,965,null,721,null,505,null,1970,null,905,null,18007,null,1463,null,5120,null,959,null,12887,null,1415,null,0400000US31,Nebraska,31
52658,null,1365,null,3059,null,957,null,1303,null,730,null,1756,null,760,null,49599,null,1600,null,16420,null,1783,null,33179,null,2090,null,0400000US32,Nevada,32
4946,null,872,null,197,null,247,null,197,null,247,null,0,null,255,null,4749,null,913,null,1928,null,581,null,2821,null,809,null,0400000US33,New Hampshire,33
331375,null,4620,null,20694,null,2905,null,8035,null,1754,null,12659,null,2155,null,310681,null,4809,null,85290,null,4332,null,225391,null,5404,null,0400000US34,New Jersey,34
10503,null,1418,null,241,null,239,null,50,null,96,null,191,null,223,null,10262,null,1380,null,2582,null,925,null,7680,null,1453,null,0400000US35,New Mexico,35
861233,null,6766,null,40958,null,3974,null,13565,null,2231,null,27393,null,3180,null,820275,null,7716,null,212869,null,6274,null,607406,null,7839,null,0400000US36,New York,36
549846,null,4913,null,35744,null,3419,null,12202,null,2423,null,23542,null,2634,null,514102,null,6083,null,163225,null,5497,null,350877,null,7269,null,0400000US37,North Carolina,37
1862,null,586,null,311,null,235,null,97,null,125,null,214,null,231,null,1551,null,623,null,530,null,339,null,1021,null,581,null,0400000US38,North Dakota,38
