C19101B_001E,C19101B_001EA,C19101B_001M,C19101B_001MA,C19101B_002E,C19101B_002EA,C19101B_002M,C19101B_002MA,C19101B_003E,C19101B_003EA,C19101B_003M,C19101B_003MA,C19101B_004E,C19101B_004EA,C19101B_004M,C19101B_004MA,C19101B_005E,C19101B_005EA,C19101B_005M,C19101B_005MA,C19101B_006E,C19101B_006EA,C19101B_006M,C19101B_006MA,C19101B_007E,C19101B_007EA,C19101B_007M,C19101B_007MA,C19101B_008E,C19101B_008EA,C19101B_008M,C19101B_008MA,C19101B_009E,C19101B_009EA,C19101B_009M,C19101B_009MA,C19101B_010E,C19101B_010EA,C19101B_010M,C19101B_010MA,C19101B_011E,C19101B_011EA,C19101B_011M,C19101B_011MA,GEO_ID,NAME,state
303564,null,6657,null,41471,null,3160,null,25504,null,2599,null,54354,null,4198,null,41920,null,3072,null,46002,null,3414,null,44441,null,3439,null,27152,null,2625,null,18198,null,2091,null,2473,null,744,null,2049,null,676,null,0400000US01,Alabama,01
6319,null,990,null,0,null,244,null,262,null,361,null,792,null,518,null,720,null,460,null,953,null,504,null,955,null,548,null,1328,null,541,null,929,null,494,null,222,null,273,null,158,null,143,null,0400000US02,Alaska,02
51106,null,3071,null,5860,null,1604,null,1857,null,726,null,4988,null,1284,null,6212,null,1373,null,7820,null,1938,null,10123,null,1466,null,6802,null,1522,null,5263,null,1118,null,781,null,377,null,1400,null,793,null,0400000US04,Arizona,04
112872,null,4166,null,19428,null,2685,null,12352,null,2045,null,21367,null,2477,null,14153,null,1939,null,16575,null,2204,null,16161,null,2002,null,6691,null,1441,null,4922,null,1099,null,729,null,390,null,494,null,445,null,0400000US05,Arkansas,05
494147,null,7778,null,42740,null,3602,null,28458,null,3119,null,51955,null,3625,null,52683,null,4263,null,65014,null,4130,null,87499,null,4487,null,63239,null,4572,null,65673,null,3157,null,21871,null,2845,null,15015,null,2030,null,0400000US06,California,06
40464,null,2284,null,5978,null,1378,null,1817,null,777,null,4946,null,1297,null,4217,null,1203,null,5165,null,978,null,7321,null,1368,null,5542,null,1212,null,3767,null,989,null,1194,null,606,null,517,null,368,null,0400000US08,Colorado,08
80803,null,3043,null,7855,null,1544,null,4272,null,1224,null,9168,null,1889,null,8848,null,1700,null,10891,null,1576,null,14257,null,2256,null,12284,null,1899,null,9753,null,1451,null,2117,null,651,null,1358,null,491,null,0400000US09,Connecticut,09
43111,null,2282,null,2051,null,853,null,1676,null,892,null,6702,null,1702,null,5408,null,1328,null,5827,null,1416,null,9346,null,1814,null,4914,null,1295,null,5154,null,1067,null,1571,null,613,null,462,null,343,null,0400000US10,Delaware,10
62885,null,3024,null,8879,null,1857,null,3986,null,942,null,6508,null,1396,null,6015,null,1240,null,9040,null,1506,null,10459,null,1625,null,6508,null,1097,null,6632,null,1343,null,3009,null,889,null,1849,null,687,null,0400000US11,District of Columbia,11
630299,null,10191,null,69217,null,4167,null,43074,null,4540,null,99053,null,5544,null,88804,null,5174,null,104347,null,5917,null,112139,null,5444,null,58211,null,3523,null,40783,null,2832,null,9214,null,1735,null,5457,null,1242,null,0400000US12,Florida,12
664389,null,11275,null,70107,null,4692,null,45823,null,4337,null,92688,null,5125,null,85667,null,4722,null,109457,null,5179,null,123160,null,5596,null,68291,null,4313,null,48074,null,3196,null,13727,null,1723,null,7395,null,1279,null,0400000US13,Georgia,13
6672,null,1384,null,100,null,105,null,135,null,231,null,480,null,418,null,978,null,884,null,1053,null,750,null,890,null,593,null,1080,null,657,null,900,null,759,null,960,null,901,null,96,null,163,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
408331,null,7700,null,53409,null,4023,null,29823,null,2864,null,55515,null,3658,null,46849,null,3355,null,54811,null,3591,null,66716,null,4286,null,43694,null,3457,null,37500,null,3086,null,13509,null,1799,null,6505,null,1437,null,0400000US17,Illinois,17
130417,null,4516,null,17391,null,2548,null,10792,null,1652,null,22698,null,2643,null,16734,null,1895,null,17403,null,1888,null,21594,null,2428,null,12253,null,1723,null,8671,null,1556,null,1773,null,639,null,1108,null,445,null,0400000US18,Indiana,18
16127,null,1641,null,3134,null,949,null,1512,null,758,null,2496,null,851,null,2855,null,1036,null,1511,null,513,null,1946,null,714,null,1144,null,516,null,952,null,435,null,304,null,251,null,273,null,260,null,0400000US19,Iowa,19
34895,null,2639,null,4710,null,1248,null,2176,null,822,null,5263,null,1206,null,3395,null,899,null,6436,null,1394,null,5212,null,1080,null,3411,null,1034,null,3188,null,825,null,624,null,415,null,480,null,321,null,0400000US20,Kansas,20
78061,null,2902,null,12811,null,1926,null,7037,null,1353,null,11027,null,1808,null,10112,null,1539,null,11212,null,1766,null,13613,null,1744,null,5952,null,1030,null,5121,null,1164,null,510,null,309,null,666,null,356,null,0400000US21,Kentucky,21
327496,null,6235,null,41723,null,3754,null,27597,null,3035,null,60618,null,4612,null,45546,null,3691,null,51156,null,3941,null,48515,null,3483,null,27639,null,2480,null,18452,null,2093,null,3734,null,882,null,2516,null,801,null,0400000US22,Louisiana,22
3006,null,785,null,628,null,388,null,116,null,191,null,742,null,602,null,469,null,383,null,330,null,262,null,321,null,320,null,293,null,254,null,54,null,89,null,0,null,230,null,53,null,88,null,0400000US23,Maine,23
