C20005B_001E,C20005B_001EA,C20005B_001M,C20005B_001MA,C20005B_002E,C20005B_002EA,C20005B_002M,C20005B_002MA,C20005B_003E,C20005B_003EA,C20005B_003M,C20005B_003MA,C20005B_004E,C20005B_004EA,C20005B_004M,C20005B_004MA,C20005B_005E,C20005B_005EA,C20005B_005M,C20005B_005MA,C20005B_006E,C20005B_006EA,C20005B_006M,C20005B_006MA,C20005B_007E,C20005B_007EA,C20005B_007M,C20005B_007MA,C20005B_008E,C20005B_008EA,C20005B_008M,C20005B_008MA,C20005B_009E,C20005B_009EA,C20005B_009M,C20005B_009MA,C20005B_010E,C20005B_010EA,C20005B_010M,C20005B_010MA,C20005B_011E,C20005B_011EA,C20005B_011M,C20005B_011MA,C20005B_012E,C20005B_012EA,C20005B_012M,C20005B_012MA,C20005B_013E,C20005B_013EA,C20005B_013M,C20005B_013MA,C20005B_014E,C20005B_014EA,C20005B_014M,C20005B_014MA,C20005B_015E,C20005B_015EA,C20005B_015M,C20005B_015MA,C20005B_016E,C20005B_016EA,C20005B_016M,C20005B_016MA,C20005B_017E,C20005B_017EA,C20005B_017M,C20005B_017MA,C20005B_018E,C20005B_018EA,C20005B_018M,C20005B_018MA,C20005B_019E,C20005B_019EA,C20005B_019M,C20005B_019MA,C20005B_020E,C20005B_020EA,C20005B_020M,C20005B_020MA,C20005B_021E,C20005B_021EA,C20005B_021M,C20005B_021MA,C20005B_022E,C20005B_022EA,C20005B_022M,C20005B_022MA,C20005B_023E,C20005B_023EA,C20005B_023M,C20005B_023MA,C20005B_024E,C20005B_024EA,C20005B_024M,C20005B_024MA,C20005B_025E,C20005B_025EA,C20005B_025M,C20005B_025MA,C20005B_026E,C20005B_026EA,C20005B_026M,C20005B_026MA,C20005B_027E,C20005B_027EA,C20005B_027M,C20005B_027MA,C20005B_028E,C20005B_028EA,C20005B_028M,C20005B_028MA,C20005B_029E,C20005B_029EA,C20005B_029M,C20005B_029MA,C20005B_030E,C20005B_030EA,C20005B_030M,C20005B_030MA,C20005B_031E,C20005B_031EA,C20005B_031M,C20005B_031MA,C20005B_032E,C20005B_032EA,C20005B_032M,C20005B_032MA,C20005B_033E,C20005B_033EA,C20005B_033M,C20005B_033MA,C20005B_034E,C20005B_034EA,C20005B_034M,C20005B_034MA,C20005B_035E,C20005B_035EA,C20005B_035M,C20005B_035MA,C20005B_036E,C20005B_036EA,C20005B_036M,C20005B_036MA,C20005B_037E,C20005B_037EA,C20005B_037M,C20005B_037MA,C20005B_038E,C20005B_038EA,C20005B_038M,C20005B_038MA,C20005B_039E,C20005B_039EA,C20005B_039M,C20005B_039MA,GEO_ID,NAME,state
929359,null,4073,null,421046,null,3034,null,156536,null,5860,null,0,null,273,null,156536,null,5860,null,4352,null,1249,null,29768,null,3051,null,38621,null,3811,null,52404,null,3652,null,20800,null,2448,null,10591,null,1727,null,264510,null,6336,null,164641,null,5999,null,99869,null,4694,null,59748,null,4055,null,21505,null,2372,null,6889,null,1317,null,8339,null,1713,null,2752,null,882,null,636,null,327,null,508313,null,3015,null,173702,null,5330,null,43,null,86,null,173659,null,5335,null,7726,null,1446,null,47702,null,4281,null,49922,null,3760,null,44306,null,3100,null,18087,null,2399,null,5916,null,1118,null,334611,null,5757,null,205494,null,6716,null,129117,null,5609,null,78179,null,4147,null,33485,null,3002,null,8868,null,1611,null,6356,null,1406,null,1685,null,590,null,544,null,302,null,0400000US01,Alabama,01
19805,null,967,null,10899,null,860,null,5154,null,1205,null,0,null,244,null,5154,null,1205,null,275,null,297,null,639,null,484,null,1047,null,689,null,1231,null,467,null,1189,null,611,null,773,null,447,null,5745,null,1136,null,2418,null,964,null,3327,null,897,null,1277,null,544,null,1211,null,583,null,196,null,185,null,418,null,343,null,17,null,31,null,208,null,274,null,8906,null,599,null,3466,null,853,null,0,null,244,null,3466,null,853,null,132,null,182,null,666,null,397,null,765,null,484,null,1468,null,672,null,435,null,271,null,0,null,244,null,5440,null,930,null,2308,null,778,null,3132,null,770,null,1795,null,780,null,200,null,220,null,864,null,479,null,70,null,126,null,203,null,293,null,0,null,244,null,0400000US02,Alaska,02
181385,null,4044,null,96369,null,2428,null,40164,null,3246,null,0,null,305,null,40164,null,3246,null,1666,null,862,null,3908,null,1153,null,8393,null,1883,null,13163,null,2002,null,7005,null,1603,null,6029,null,1471,null,56205,null,3274,null,34000,null,3053,null,22205,null,2415,null,9686,null,1732,null,6702,null,1210,null,2241,null,951,null,2490,null,971,null,685,null,452,null,401,null,371,null,85016,null,2603,null,33374,null,2746,null,0,null,305,null,33374,null,2746,null,1516,null,867,null,3836,null,1085,null,8003,null,1679,null,12462,null,2018,null,5254,null,1264,null,2303,null,725,null,51642,null,3201,null,32015,null,3024,null,19627,null,2094,null,10990,null,1651,null,4395,null,1062,null,1429,null,657,null,2164,null,804,null,512,null,326,null,137,null,143,null,0400000US04,Arizona,04
330755,null,3647,null,152163,null,2759,null,51013,null,3567,null,0,null,273,null,51013,null,3567,null,813,null,443,null,11321,null,1680,null,12341,null,1798,null,15986,null,2710,null,7632,null,1442,null,2920,null,933,null,101150,null,3991,null,59421,null,3374,null,41729,null,3529,null,25017,null,3040,null,9783,null,2014,null,3637,null,955,null,2419,null,813,null,684,null,529,null,189,null,223,null,178592,null,2568,null,62467,null,3968,null,0,null,273,null,62467,null,3968,null,3024,null,898,null,17697,null,2617,null,16518,null,2218,null,18825,null,2314,null,5119,null,1192,null,1284,null,530,null,116125,null,3980,null,68854,null,3386,null,47271,null,2964,null,30608,null,2656,null,10959,null,1831,null,3453,null,983,null,1688,null,685,null,471,null,351,null,92,null,165,null,0400000US05,Arkansas,05
1749336,null,9157,null,853463,null,5846,null,308911,null,7223,null,13,null,21,null,308898,null,7224,null,5967,null,1365,null,27529,null,3359,null,43920,null,3638,null,100447,null,5664,null,68084,null,4813,null,62951,null,4559,null,544552,null,8379,null,346430,null,7905,null,198122,null,7519,null,95927,null,5420,null,43063,null,4193,null,22709,null,2924,null,21543,null,2546,null,8041,null,1677,null,6839,null,1241,null,895873,null,6254,null,312153,null,7184,null,0,null,294,null,312153,null,7184,null,8285,null,1426,null,32511,null,2889,null,52796,null,4003,null,105458,null,5328,null,67811,null,4450,null,45292,null,3758,null,583720,null,8684,null,361337,null,8202,null,222383,null,7473,null,109025,null,4898,null,48999,null,3665,null,28001,null,3224,null,19436,null,2193,null,10277,null,1599,null,6645,null,1124,null,0400000US06,California,06
146596,null,3440,null,76868,null,2569,null,34275,null,2428,null,0,null,279,null,34275,null,2428,null,745,null,579,null,5024,null,1529,null,8672,null,1886,null,10694,null,1765,null,5465,null,1269,null,3675,null,904,null,42593,null,2995,null,22931,null,2463,null,19662,null,2234,null,11513,null,1743,null,3554,null,922,null,1774,null,806,null,1876,null,847,null,551,null,411,null,394,null,322,null,69728,null,2015,null,25490,null,2395,null,0,null,279,null,25490,null,2395,null,751,null,464,null,5064,null,1336,null,6188,null,1173,null,7695,null,1405,null,4044,null,1273,null,1748,null,743,null,44238,null,2899,null,26175,null,2274,null,18063,null,1917,null,9373,null,1539,null,4419,null,1297,null,2445,null,905,null,1310,null,707,null,477,null,367,null,39,null,68,null,0400000US08,Colorado,08
257250,null,3413,null,122047,null,2055,null,49380,null,2898,null,0,null,277,null,49380,null,2898,null,1151,null,654,null,4296,null,1154,null,7280,null,1743,null,17223,null,2219,null,12928,null,1907,null,6502,null,1246,null,72667,null,3243,null,35900,null,2680,null,36767,null,3282,null,18352,null,2187,null,8409,null,1804,null,4252,null,947,null,3814,null,1268,null,812,null,507,null,1128,null,588,null,135203,null,2481,null,56853,null,3401,null,0,null,277,null,56853,null,3401,null,1345,null,556,null,6721,null,1407,null,12902,null,2001,null,21740,null,2606,null,9210,null,1586,null,4935,null,1264,null,78350,null,3481,null,38514,null,2477,null,39836,null,3007,null,21511,null,2380,null,8799,null,1571,null,5454,null,1426,null,2514,null,835,null,1273,null,627,null,285,null,303,null,0400000US09,Connecticut,09
139974,null,1954,null,64458,null,1272,null,27376,null,2309,null,0,null,263,null,27376,null,2309,null,355,null,237,null,4248,null,1340,null,5955,null,1283,null,7193,null,1498,null,5975,null,1437,null,3650,null,927,null,37082,null,2590,null,20927,null,1922,null,16155,null,1980,null,9093,null,1900,null,2961,null,916,null,2199,null,837,null,1152,null,671,null,490,null,464,null,260,null,345,null,75516,null,1284,null,30327,null,1758,null,0,null,263,null,30327,null,1758,null,1003,null,709,null,3838,null,1298,null,8713,null,1784,null,8414,null,1460,null,5878,null,1330,null,2481,null,929,null,45189,null,2228,null,24894,null,2166,null,20295,null,2280,null,9777,null,1586,null,5940,null,1391,null,2120,null,785,null,1629,null,746,null,678,null,418,null,151,null,154,null,0400000US10,Delaware,10
257169,null,2001,null,111886,null,1346,null,41002,null,2716,null,0,null,296,null,41002,null,2716,null,524,null,358,null,4443,null,1042,null,6034,null,1467,null,14773,null,1731,null,7873,null,1537,null,7355,null,1380,null,70884,null,2845,null,43955,null,3106,null,26929,null,2924,null,14873,null,1992,null,4228,null,995,null,3275,null,1108,null,2615,null,1044,null,1298,null,782,null,640,null,643,null,145283,null,1245,null,51861,null,3252,null,0,null,296,null,51861,null,3252,null,1271,null,587,null,4776,null,1194,null,7879,null,1520,null,17667,null,2292,null,11283,null,1615,null,8985,null,1552,null,93422,null,3332,null,60491,null,3532,null,32931,null,3389,null,18114,null,2398,null,7221,null,1420,null,3309,null,942,null,2356,null,866,null,1278,null,633,null,653,null,391,null,0400000US11,District of Columbia,11
2165580,null,11214,null,1024753,null,7419,null,380760,null,9522,null,120,null,193,null,380640,null,9525,null,12956,null,2192,null,71412,null,5495,null,99547,null,6682,null,123612,null,5627,null,46644,null,4626,null,26469,null,3155,null,643993,null,10165,null,400527,null,10779,null,243466,null,8790,null,125751,null,6008,null,65713,null,4888,null,26649,null,2832,null,16697,null,2515,null,5613,null,1513,null,3043,null,963,null,1140827,null,6769,null,445296,null,9274,null,0,null,305,null,445296,null,9274,null,13728,null,2427,null,107666,null,6347,null,129410,null,6664,null,132880,null,6648,null,43600,null,3323,null,18012,null,2679,null,695531,null,9792,null,417875,null,9346,null,277656,null,8996,null,142635,null,6165,null,82105,null,4564,null,24735,null,2897,null,20624,null,2904,null,5858,null,1209,null,1699,null,785,null,0400000US12,Florida,12
