B12002D_001E,B12002D_001EA,B12002D_001M,B12002D_001MA,B12002D_002E,B12002D_002EA,B12002D_002M,B12002D_002MA,B12002D_003E,B12002D_003EA,B12002D_003M,B12002D_003MA,B12002D_004E,B12002D_004EA,B12002D_004M,B12002D_004MA,B12002D_005E,B12002D_005EA,B12002D_005M,B12002D_005MA,B12002D_006E,B12002D_006EA,B12002D_006M,B12002D_006MA,B12002D_007E,B12002D_007EA,B12002D_007M,B12002D_007MA,B12002D_008E,B12002D_008EA,B12002D_008M,B12002D_008MA,B12002D_009E,B12002D_009EA,B12002D_009M,B12002D_009MA,B12002D_010E,B12002D_010EA,B12002D_010M,B12002D_010MA,B12002D_011E,B12002D_011EA,B12002D_011M,B12002D_011MA,B12002D_012E,B12002D_012EA,B12002D_012M,B12002D_012MA,B12002D_013E,B12002D_013EA,B12002D_013M,B12002D_013MA,GEO_ID,NAME,state
40288,null,1806,null,18956,null,1263,null,7515,null,1381,null,10411,null,1211,null,155,null,176,null,121,null,140,null,754,null,475,null,21332,null,1527,null,5020,null,1289,null,13526,null,1259,null,113,null,179,null,1280,null,570,null,1393,null,749,null,0400000US01,Alabama,01
27484,null,1281,null,12498,null,872,null,3156,null,740,null,7848,null,953,null,350,null,303,null,169,null,191,null,975,null,417,null,14986,null,829,null,3434,null,868,null,8530,null,895,null,155,null,155,null,1510,null,652,null,1357,null,488,null,0400000US02,Alaska,02
135359,null,2665,null,63524,null,2306,null,22751,null,2422,null,37184,null,2159,null,697,null,590,null,502,null,319,null,2390,null,757,null,71835,null,1636,null,14601,null,1567,null,46194,null,2271,null,1159,null,695,null,3844,null,931,null,6037,null,1326,null,0400000US04,Arizona,04
25131,null,1957,null,11962,null,1131,null,4718,null,1088,null,6178,null,980,null,279,null,272,null,183,null,202,null,604,null,437,null,13169,null,1318,null,2945,null,943,null,8263,null,1219,null,337,null,293,null,450,null,339,null,1174,null,720,null,0400000US05,Arkansas,05
3827067,null,10354,null,1805863,null,6423,null,623233,null,7534,null,1055504,null,8968,null,21110,null,2920,null,31095,null,3027,null,74921,null,4400,null,2021204,null,6637,null,551517,null,8769,null,1131202,null,10749,null,32246,null,2897,null,175300,null,4991,null,130939,null,5953,null,0400000US06,California,06
104092,null,2876,null,46751,null,2060,null,16939,null,1504,null,26120,null,1261,null,461,null,332,null,726,null,553,null,2505,null,995,null,57341,null,1944,null,15384,null,1942,null,33353,null,1691,null,894,null,693,null,4105,null,887,null,3605,null,976,null,0400000US08,Colorado,08
97240,null,1370,null,47370,null,946,null,13657,null,1452,null,31320,null,1650,null,212,null,208,null,292,null,253,null,1889,null,828,null,49870,null,1097,null,11893,null,1215,null,32088,null,1591,null,329,null,215,null,3115,null,855,null,2445,null,652,null,0400000US09,Connecticut,09
21115,null,638,null,10546,null,540,null,2985,null,660,null,7469,null,628,null,0,null,263,null,23,null,42,null,69,null,111,null,10569,null,409,null,1487,null,479,null,7972,null,639,null,202,null,310,null,371,null,249,null,537,null,324,null,0400000US10,Delaware,10
15776,null,678,null,6735,null,406,null,3983,null,676,null,2201,null,642,null,209,null,252,null,0,null,296,null,342,null,289,null,9041,null,502,null,4362,null,728,null,3242,null,589,null,229,null,210,null,547,null,269,null,661,null,482,null,0400000US11,District of Columbia,11
357608,null,4298,null,163898,null,3179,null,52597,null,3637,null,99295,null,3207,null,1644,null,710,null,2431,null,836,null,7931,null,1765,null,193710,null,3056,null,39969,null,2844,null,119788,null,3872,null,3746,null,1199,null,14939,null,1951,null,15268,null,2347,null,0400000US12,Florida,12
