GEO_ID,B21001D_001E,B21001D_001M,B21001D_002E,B21001D_002M,B21001D_003E,B21001D_003M,B21001D_004E,B21001D_004M,B21001D_005E,B21001D_005M,B21001D_006E,B21001D_006M,B21001D_007E,B21001D_007M,B21001D_008E,B21001D_008M,B21001D_009E,B21001D_009M,B21001D_010E,B21001D_010M,B21001D_011E,B21001D_011M,B21001D_012E,B21001D_012M,B21001D_013E,B21001D_013M,B21001D_014E,B21001D_014M,B21001D_015E,B21001D_015M,B21001D_016E,B21001D_016M,B21001D_017E,B21001D_017M,B21001D_018E,B21001D_018M,B21001D_019E,B21001D_019M,B21001D_020E,B21001D_020M,B21001D_021E,B21001D_021M,B21001D_022E,B21001D_022M,B21001D_023E,B21001D_023M,B21001D_024E,B21001D_024M,B21001D_025E,B21001D_025M,B21001D_026E,B21001D_026M,B21001D_027E,B21001D_027M,B21001D_028E,B21001D_028M,B21001D_029E,B21001D_029M,B21001D_030E,B21001D_030M,B21001D_031E,B21001D_031M,B21001D_032E,B21001D_032M,B21001D_033E,B21001D_033M,NAME,B21001D_001EA,B21001D_001MA,B21001D_002EA,B21001D_002MA,B21001D_003EA,B21001D_003MA,B21001D_004EA,B21001D_004MA,B21001D_005EA,B21001D_005MA,B21001D_006EA,B21001D_006MA,B21001D_007EA,B21001D_007MA,B21001D_008EA,B21001D_008MA,B21001D_009EA,B21001D_009MA,B21001D_010EA,B21001D_010MA,B21001D_011MA,B21001D_011EA,B21001D_012MA,B21001D_012EA,B21001D_013EA,B21001D_013MA,B21001D_014EA,B21001D_014MA,B21001D_015EA,B21001D_015MA,B21001D_016EA,B21001D_016MA,B21001D_017MA,B21001D_017EA,B21001D_018MA,B21001D_018EA,B21001D_019EA,B21001D_019MA,B21001D_020EA,B21001D_020MA,B21001D_021EA,B21001D_021MA,B21001D_022MA,B21001D_022EA,B21001D_023MA,B21001D_023EA,B21001D_024EA,B21001D_024MA,B21001D_025EA,B21001D_025MA,B21001D_026EA,B21001D_026MA,B21001D_027MA,B21001D_027EA,B21001D_028MA,B21001D_028EA,B21001D_029MA,B21001D_029EA,B21001D_030EA,B21001D_030MA,B21001D_031EA,B21001D_031MA,B21001D_032MA,B21001D_032EA,B21001D_033MA,B21001D_033EA,state
0400000US01,29315,1737,13736,1200,5415,922,100,119,5315,918,6406,827,581,370,5825,786,1141,518,0,270,1141,518,513,284,0,270,513,284,261,230,201,220,60,93,15579,993,5367,849,0,270,5367,849,6478,965,0,270,6478,965,2513,543,70,124,2443,522,884,456,0,270,884,456,337,217,0,270,337,217,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20924,1190,9330,795,3188,758,34,56,3154,756,4413,587,930,471,3483,629,747,421,242,223,505,356,703,449,80,93,623,446,279,261,64,111,215,230,11594,795,3204,755,0,233,3204,755,5624,594,0,233,5624,594,1431,188,48,82,1383,168,848,353,0,233,848,353,487,226,0,233,487,226,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,98650,1695,44655,1157,18449,981,124,146,18325,981,18213,723,1623,493,16590,816,3952,124,666,345,3286,366,3099,483,580,337,2519,482,942,405,304,195,638,359,53995,1179,18944,907,37,60,18907,907,23140,807,327,294,22813,765,6513,375,201,287,6312,453,3784,438,55,90,3729,467,1614,305,0,291,1614,305,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3391413,8547,1592256,5870,542860,4733,13083,2558,529777,5097,651729,3269,32240,3105,619489,4657,197424,1328,20563,1731,176861,2025,116962,1368,19584,1800,97378,2079,83281,1157,20751,2060,62530,2040,1799157,5137,564995,3465,2419,717,562576,3433,736329,3434,2832,672,733497,3618,230286,1568,759,386,229527,1619,148396,1416,479,241,147917,1434,119151,1150,624,336,118527,1165,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,90683,1837,40929,1289,16159,1044,553,391,15606,1064,17229,881,976,523,16253,970,4291,752,879,358,3412,804,2342,578,502,412,1840,598,908,377,260,242,648,311,49754,1639,17863,1485,596,848,17267,1368,21045,1204,327,221,20718,1233,5316,833,0,274,5316,833,2782,551,32,65,2750,540,2748,697,53,99,2695,687,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83124,1195,41492,668,16011,698,54,70,15957,692,18459,719,348,255,18111,807,4103,489,168,161,3935,495,2091,529,210,222,1881,522,828,335,293,218,535,279,41632,803,15611,819,48,84,15563,819,18367,662,13,22,18354,661,4754,518,0,274,4754,518,1804,466,0,274,1804,466,1096,425,0,274,1096,425,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,284442,4213,128010,2624,45121,2380,1237,640,43884,2372,55581,2022,2762,709,52819,1977,15825,816,2479,656,13346,875,8221,966,1215,500,7006,934,3262,869,499,300,2763,855,156432,2736,52330,2312,615,422,51715,2248,67236,1980,326,250,66910,1977,20548,1069,110,124,20438,1058,10525,1074,55,94,10470,1072,5793,911,0,301,5793,911,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
