GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001EA,B19101F_001MA,B19101F_002MA,B19101F_002EA,B19101F_003EA,B19101F_003MA,B19101F_004EA,B19101F_004MA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,B19101F_007MA,B19101F_007EA,B19101F_008MA,B19101F_008EA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011MA,B19101F_011EA,B19101F_012MA,B19101F_012EA,B19101F_013MA,B19101F_013EA,B19101F_014EA,B19101F_014MA,B19101F_015EA,B19101F_015MA,B19101F_016MA,B19101F_016EA,B19101F_017MA,B19101F_017EA,state
0400000US01,7219,1328,266,197,903,575,494,363,1105,514,509,350,668,461,440,328,469,391,315,217,699,484,654,513,265,237,248,332,146,228,38,60,0,270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,149908,5793,13072,2165,10320,1847,11475,2100,12655,2299,12536,1910,12685,2130,9728,1642,7413,1575,9023,1896,14279,2162,16388,2113,10566,1545,5238,1148,2248,738,1467,588,815,420,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13074,2012,894,571,952,541,1516,631,1805,919,953,636,778,459,805,492,1524,715,404,237,859,491,525,329,753,447,990,908,61,106,152,246,103,202,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1225440,19423,79094,5742,75205,4869,85493,4779,99980,5996,88199,5387,89746,4973,77173,4864,74897,4454,61316,5195,111197,5098,131690,6945,129098,6010,59374,4449,30400,3446,19459,2423,13119,1749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72843,4209,5591,1126,4139,1272,4701,983,5994,1247,5172,1210,5203,1410,6174,1602,3329,979,4462,1572,8458,1635,7010,1412,7109,1321,3005,799,1256,454,668,436,572,350,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35900,2881,5295,1383,2985,950,2120,714,2730,962,1292,590,3335,1067,2535,903,1649,650,897,465,2892,987,4680,1333,3029,1116,1457,719,434,334,263,220,307,273,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3511,882,440,461,159,163,155,159,152,149,332,232,612,485,48,64,249,207,217,189,299,246,331,260,237,203,126,147,0,262,154,265,0,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6458,1049,196,197,491,451,335,339,135,166,1107,620,86,151,841,554,610,569,426,386,340,237,281,313,890,586,176,288,349,306,156,180,39,65,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,165639,7104,11603,1796,10041,2030,12902,2541,15093,3017,14890,2212,13521,2291,9889,1865,12906,1951,8512,1898,13978,2145,15011,1702,13086,2050,7612,1386,2568,750,2881,827,1146,583,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,68695,3927,4785,1335,4928,1712,7307,1510,5953,1321,6959,1323,5189,1455,6102,1470,4201,1628,3835,1222,5991,1609,4886,1335,5080,1406,1928,832,1099,559,310,288,142,168,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4182,1153,102,168,8,15,150,157,150,154,165,155,359,275,200,195,459,372,350,207,246,218,357,254,1048,640,496,426,46,76,0,264,46,74,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10995,1339,921,496,1354,540,1071,575,696,457,887,438,1445,529,863,413,596,304,643,434,393,213,1292,594,558,355,276,193,0,256,0,256,0,256,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,198905,6267,16171,2692,9858,2190,13050,2045,17380,2521,15300,2432,15295,2686,11818,1827,15324,2828,9926,1760,18461,2477,22943,3128,18218,2904,8249,1453,4172,1355,2139,786,601,386,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,32457,2790,3670,1152,2090,908,1548,622,2872,843,3094,1112,3120,929,1853,643,2125,861,2419,949,2870,1000,3048,890,2336,838,583,328,380,283,146,185,303,437,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10488,1555,964,555,203,157,2014,895,1171,476,1096,710,408,248,918,438,265,199,293,236,1049,529,716,397,709,522,653,373,29,50,0,221,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
