GEO_ID,B13004B_001E,B13004B_001M,B13004B_002E,B13004B_002M,B13004B_003E,B13004B_003M,B13004B_004E,B13004B_004M,B13004B_005E,B13004B_005M,B13004B_006E,B13004B_006M,B13004B_007E,B13004B_007M,NAME,B13004B_001MA,B13004B_001EA,B13004B_002EA,B13004B_002MA,B13004B_003EA,B13004B_003MA,B13004B_004EA,B13004B_004MA,B13004B_005MA,B13004B_005EA,B13004B_006EA,B13004B_006MA,B13004B_007EA,B13004B_007MA,state
0400000US01,329035,2659,20615,2851,6485,1552,14130,2445,308420,3819,104820,5128,203600,5528,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5817,721,526,336,199,206,327,290,5291,838,2577,677,2714,793,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,47749,2112,4522,1378,2379,920,2143,1029,43227,2054,16064,1948,27163,2237,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,120363,2589,8035,1778,2407,921,5628,1406,112328,3240,36971,3055,75357,4031,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,595360,5459,32247,3362,14147,2194,18100,3059,563113,6079,173788,7106,389325,8294,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,46583,1907,4839,1612,2980,1514,1859,961,41744,2369,15777,2264,25967,2622,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90772,1958,4927,1290,1692,623,3235,1174,85845,2554,24928,2135,60917,2959,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,47590,742,2867,934,1360,799,1507,559,44723,1158,15721,1829,29002,1956,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,73996,1012,4822,1013,1425,449,3397,987,69174,1432,16137,1777,53037,2259,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,741211,6115,47385,4185,16989,2545,30396,3501,693826,7374,240456,7589,453370,8584,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,776482,5151,50574,4122,15626,2233,34948,4046,725908,5823,255678,7136,470230,8001,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6288,378,666,595,637,598,29,53,5622,765,3716,1037,1906,875,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,512382,3764,34870,3975,9880,1889,24990,3604,477512,5247,137526,6182,339986,7446,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,145373,2355,8025,1777,1622,700,6403,1576,137348,2874,43378,3493,93970,4113,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,17431,1381,1013,606,414,345,599,488,16418,1435,4897,1067,11521,1605,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,41450,1642,2246,942,1006,557,1240,679,39204,1898,14798,2132,24406,2568,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,83028,2590,4973,1197,1073,588,3900,1073,78055,2536,25866,2058,52189,2943,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,409080,3631,27683,3329,7378,1587,20305,3115,381397,4918,120152,6974,261245,6642,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2119,709,209,280,209,280,0,229,1910,870,808,484,1102,702,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,461535,3468,26700,3713,12046,2390,14654,2585,434835,5272,152136,5931,282699,7368,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,103210,4987,7888,1729,4173,1132,3715,1272,95322,4916,33246,2663,62076,4545,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,389684,4404,23325,2881,7882,1833,15443,2442,366359,5108,101517,5046,264842,6185,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,58148,1905,4144,1106,1958,788,2186,872,54004,2027,17597,2127,36407,2496,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,297806,2780,18409,2778,4568,1343,13841,2397,279397,3959,90697,4615,188700,5442,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,184556,2580,11669,2365,4824,1499,6845,1573,172887,3436,50135,3524,122752,4482,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,19794,1109,1903,710,564,340,1339,663,17891,1308,5337,1189,12554,1466,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,47641,1429,2625,823,1078,604,1547,664,45016,1678,12419,1703,32597,2255,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3032,586,223,233,223,233,0,253,2809,619,1562,604,1247,510,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,321463,3675,16562,2531,6269,1242,10293,2100,304901,4052,96245,4675,208656,4997,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,8272,1424,87,156,0,282,87,156,8185,1407,3418,872,4767,1370,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,822455,5972,40423,4037,15692,2752,24731,2952,782032,6912,249152,8403,532880,10675,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,504176,4656,29228,3253,9569,1618,19659,2958,474948,5196,180465,6259,294483,7338,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
