GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001EA,B08105F_001MA,B08105F_002MA,B08105F_002EA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005EA,B08105F_005MA,B08105F_006EA,B08105F_006MA,B08105F_007MA,B08105F_007EA,state
0400000US01,15655,2480,8092,1597,5692,1708,0,270,319,269,1002,657,550,387,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,275957,10774,185743,8307,69502,6289,8361,2321,5076,1473,3380,912,3895,912,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,29311,3096,16827,2596,10399,2212,0,260,1329,764,644,378,112,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2413715,39651,1630643,28907,448281,17098,163698,10574,67436,5899,56083,5570,47574,4501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,136047,8377,96028,6150,26726,3337,5355,1969,4414,1363,1119,462,2405,740,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,67719,5734,44666,4297,11577,2272,4996,1677,3752,2073,1688,719,1040,676,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7122,1686,4428,1299,1675,663,61,110,644,481,277,282,37,61,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15839,2061,3715,1124,1283,789,9369,1742,677,478,153,255,642,462,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,332660,14079,235202,11889,64095,5959,10688,2861,7048,2157,10535,2586,5092,1231,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,163572,9415,98128,6969,43025,6473,10226,2669,4786,1445,5310,1567,2097,1201,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9190,2242,6461,1761,1205,689,203,162,531,404,354,308,436,407,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22704,2544,14396,1874,5826,1647,122,168,511,346,1291,748,558,472,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
