GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001MA,B19001B_001EA,B19001B_002EA,B19001B_002MA,B19001B_003EA,B19001B_003MA,B19001B_004MA,B19001B_004EA,B19001B_005MA,B19001B_005EA,B19001B_006EA,B19001B_006MA,B19001B_007EA,B19001B_007MA,B19001B_008EA,B19001B_008MA,B19001B_009MA,B19001B_009EA,B19001B_010MA,B19001B_010EA,B19001B_011MA,B19001B_011EA,B19001B_012MA,B19001B_012EA,B19001B_013EA,B19001B_013MA,B19001B_014EA,B19001B_014MA,B19001B_015EA,B19001B_015MA,B19001B_016MA,B19001B_016EA,B19001B_017MA,B19001B_017EA,state
0400000US01,447615,5128,101160,5608,52650,4339,44513,3583,36383,2846,31509,3248,27332,2832,22899,2841,21746,2647,17209,2393,28158,3041,26558,2768,21943,2727,7873,1341,4323,1113,2301,803,1058,522,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7511,718,1033,707,661,427,462,397,615,544,282,324,650,534,74,97,549,423,443,430,1151,762,460,487,536,282,468,262,84,137,0,233,43,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,73619,3045,10652,1860,4752,1138,6146,1362,4410,1077,7363,2278,4440,1410,4767,1533,4267,1154,1860,765,5801,1448,6619,1521,5597,1350,3094,1079,1858,898,1118,533,875,528,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,161781,3454,40286,2614,20654,2440,17442,2247,12274,2168,11148,1685,10885,1738,8637,1561,7825,1572,4987,1245,8341,1487,9018,1597,5597,945,2440,702,1031,704,592,425,624,540,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,791864,9592,107690,6266,59025,4307,47455,4271,55770,5468,44600,4897,45637,3660,40601,3826,37997,3347,35265,4181,59021,4945,72471,4481,81214,4952,46926,4134,23279,2915,21682,3500,13231,2294,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,68796,2311,9217,1646,4190,1111,4965,1514,6646,1607,5627,1658,3524,1214,3278,965,4249,1788,2873,1029,6881,1852,6920,1488,5078,1316,3343,975,793,489,637,375,575,436,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,112156,4014,16057,2522,8364,1834,7263,1759,6274,1330,6770,1480,7428,1612,5612,1189,3796,1342,5667,1549,10009,1706,12761,2086,11176,1530,5459,1395,2530,778,1420,555,1570,688,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,58654,2231,5619,1135,4464,1124,4444,1127,3155,898,4545,1199,3783,1073,2951,919,3430,1082,2346,910,4400,1297,5896,1136,7454,1518,3097,893,1557,528,1095,586,418,264,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,131970,2522,25425,2501,9810,1689,8500,1583,8214,1528,8658,1590,8684,1610,7685,1421,7051,1664,5333,1353,11992,1874,8141,1193,10853,1726,4398,1229,2202,589,2951,691,2073,638,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,928296,8641,143583,8063,78236,4343,75055,5127,81632,5057,74833,5397,70259,5834,60867,5460,47626,4550,45721,4997,69743,5595,70779,4588,60519,4853,26503,2999,10443,1615,8886,1952,3611,947,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
