GEO_ID,B17010F_001E,B17010F_001M,B17010F_002E,B17010F_002M,B17010F_003E,B17010F_003M,B17010F_004E,B17010F_004M,B17010F_005E,B17010F_005M,B17010F_006E,B17010F_006M,B17010F_007E,B17010F_007M,B17010F_008E,B17010F_008M,B17010F_009E,B17010F_009M,B17010F_010E,B17010F_010M,B17010F_011E,B17010F_011M,B17010F_012E,B17010F_012M,B17010F_013E,B17010F_013M,B17010F_014E,B17010F_014M,B17010F_015E,B17010F_015M,B17010F_016E,B17010F_016M,B17010F_017E,B17010F_017M,B17010F_018E,B17010F_018M,B17010F_019E,B17010F_019M,B17010F_020E,B17010F_020M,B17010F_021E,B17010F_021M,B17010F_022E,B17010F_022M,B17010F_023E,B17010F_023M,B17010F_024E,B17010F_024M,B17010F_025E,B17010F_025M,B17010F_026E,B17010F_026M,B17010F_027E,B17010F_027M,B17010F_028E,B17010F_028M,B17010F_029E,B17010F_029M,B17010F_030E,B17010F_030M,B17010F_031E,B17010F_031M,B17010F_032E,B17010F_032M,B17010F_033E,B17010F_033M,B17010F_034E,B17010F_034M,B17010F_035E,B17010F_035M,B17010F_036E,B17010F_036M,B17010F_037E,B17010F_037M,B17010F_038E,B17010F_038M,B17010F_039E,B17010F_039M,B17010F_040E,B17010F_040M,B17010F_041E,B17010F_041M,NAME,B17010F_001EA,B17010F_001MA,B17010F_002MA,B17010F_002EA,B17010F_003MA,B17010F_003EA,B17010F_004MA,B17010F_004EA,B17010F_005EA,B17010F_005MA,B17010F_006EA,B17010F_006MA,B17010F_007EA,B17010F_007MA,B17010F_008EA,B17010F_008MA,B17010F_009EA,B17010F_009MA,B17010F_010MA,B17010F_010EA,B17010F_011EA,B17010F_011MA,B17010F_012EA,B17010F_012MA,B17010F_013EA,B17010F_013MA,B17010F_014EA,B17010F_014MA,B17010F_015MA,B17010F_015EA,B17010F_016MA,B17010F_016EA,B17010F_017MA,B17010F_017EA,B17010F_018MA,B17010F_018EA,B17010F_019EA,B17010F_019MA,B17010F_020EA,B17010F_020MA,B17010F_021MA,B17010F_021EA,B17010F_022MA,B17010F_022EA,B17010F_023MA,B17010F_023EA,B17010F_024EA,B17010F_024MA,B17010F_025EA,B17010F_025MA,B17010F_026MA,B17010F_026EA,B17010F_027MA,B17010F_027EA,B17010F_028MA,B17010F_028EA,B17010F_029EA,B17010F_029MA,B17010F_030EA,B17010F_030MA,B17010F_031MA,B17010F_031EA,B17010F_032MA,B17010F_032EA,B17010F_033MA,B17010F_033EA,B17010F_034EA,B17010F_034MA,B17010F_035EA,B17010F_035MA,B17010F_036MA,B17010F_036EA,B17010F_037MA,B17010F_037EA,B17010F_038MA,B17010F_038EA,B17010F_039EA,B17010F_039MA,B17010F_040EA,B17010F_040MA,B17010F_041MA,B17010F_041EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,149908,5793,29993,3267,12681,2095,11410,2003,1902,842,4524,1145,4984,1499,1271,581,17312,2386,2847,974,2462,913,845,538,796,563,821,440,385,358,14465,2113,13487,2144,2862,1045,3871,1137,6754,1394,978,592,119915,5231,82131,4891,58368,4640,10936,2014,18369,2521,29063,2851,23763,2645,37784,4005,14046,2515,9505,1954,2481,1135,3120,1023,3904,1088,4541,1169,23738,3046,17233,2239,2188,855,2567,1067,12478,2027,6505,1516,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13074,2012,3306,1093,2536,1070,2161,942,658,572,793,677,710,483,375,376,770,383,176,198,176,198,123,169,0,260,53,101,0,260,594,309,594,309,127,139,61,54,406,288,0,260,9768,1998,5773,1375,4959,1300,803,479,1339,594,2817,1111,814,348,3995,1249,2227,864,1316,676,251,259,582,532,483,346,911,527,1768,1004,1707,997,80,108,604,613,1023,764,61,102,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1225440,19423,223727,8492,102576,5755,88557,5263,11036,1768,38812,3735,38709,3326,14019,2365,121151,6504,28116,3052,24463,2932,5695,1409,8821,1927,9947,2029,3653,1143,93035,5297,86201,5073,11790,1998,31333,3852,43078,3639,6834,1381,1001713,18315,682684,13756,494058,12270,76040,5214,145555,6652,272463,8589,188626,8480,319029,10694,139045,8547,88378,6648,19802,3074,23006,3764,45570,4096,50667,5294,179984,7371,121308,6269,17550,2827,22016,2544,81742,5315,58676,4377,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,72843,4209,12467,2009,5458,1286,4403,1218,469,413,2658,968,1276,567,1055,544,7009,1571,1009,634,815,543,109,114,349,396,357,310,194,254,6000,1463,5379,1381,820,475,1720,829,2839,961,621,476,60376,3936,42982,3210,27734,2617,5065,1412,8176,1687,14493,1903,15248,1667,17394,2496,7917,1860,4332,1528,1266,629,1010,1232,2056,840,3585,1166,9477,1739,6342,1647,737,460,1711,1040,3894,1133,3135,859,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35900,2881,9277,1682,1910,818,1511,765,592,520,412,373,507,357,399,403,7367,1486,904,590,745,567,424,492,203,261,118,120,159,253,6463,1414,5000,1145,687,415,1241,587,3072,873,1463,1004,26623,2579,16364,1829,10794,1683,1258,604,2314,867,7222,1381,5570,1264,10259,1967,3606,1133,2190,968,724,530,409,346,1057,683,1416,709,6653,1479,5127,1361,400,291,1504,719,3223,1024,1526,596,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,165639,7104,28468,3133,11279,2219,8798,2028,1437,1082,3871,1537,3490,868,2481,1289,17189,2607,3811,1303,3430,1243,1319,671,1151,760,960,581,381,256,13378,2272,11895,2091,2339,865,3677,1497,5879,1372,1483,877,137171,6479,89666,5436,60899,4647,11574,1938,15879,2674,33446,3034,28767,2448,47505,4709,18609,2907,10170,2143,2674,1046,1539,745,5957,1631,8439,1844,28896,3199,20677,2783,2150,748,3219,1115,15308,2428,8219,1754,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
