GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002EA,B19101B_002MA,B19101B_003MA,B19101B_003EA,B19101B_004MA,B19101B_004EA,B19101B_005EA,B19101B_005MA,B19101B_006EA,B19101B_006MA,B19101B_007MA,B19101B_007EA,B19101B_008EA,B19101B_008MA,B19101B_009MA,B19101B_009EA,B19101B_010MA,B19101B_010EA,B19101B_011EA,B19101B_011MA,B19101B_012MA,B19101B_012EA,B19101B_013EA,B19101B_013MA,B19101B_014MA,B19101B_014EA,B19101B_015MA,B19101B_015EA,B19101B_016EA,B19101B_016MA,B19101B_017EA,B19101B_017MA,state
0400000US01,296219,6467,49498,4434,30159,3374,29807,2742,23841,2436,20732,2512,19038,2297,17127,2320,15418,2215,13622,2180,20272,2497,22294,2532,20134,2812,6934,1228,4154,1117,2301,803,888,543,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,45858,2833,5602,1359,2419,816,3688,1133,2315,869,3102,1388,2989,996,2498,998,3375,1108,1408,795,4474,1232,3590,936,4597,1222,2559,891,1472,768,1048,518,722,496,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,105451,3553,19905,2275,10023,1541,12779,2011,8050,1295,7659,1172,8013,1697,6037,1243,6089,1551,3521,923,6565,1408,7527,1443,5226,925,2013,645,963,692,457,371,624,540,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,496190,8292,49585,4737,27177,2817,30208,4012,31971,3835,27812,3587,24961,2698,26186,2727,21523,2334,22687,3674,37303,3958,49578,3760,64933,4411,37753,3752,18590,2669,16927,2710,8996,1549,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41464,2152,4550,1320,2192,829,1677,687,2875,1079,4257,1613,2853,1255,1923,735,1536,743,1606,638,5325,1719,4120,1233,4214,1203,3008,945,509,359,443,299,376,276,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,75654,3667,8343,2024,3712,1409,4699,1504,3760,1120,4161,1328,5120,1428,4061,970,3065,1189,3198,960,6376,1464,10141,1912,9407,1433,5216,1387,1842,669,1255,520,1298,580,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40587,2246,2822,866,2710,946,2757,1125,1753,664,2693,877,2518,872,2715,882,2342,905,1285,582,3467,1073,4716,909,5727,1205,2162,736,1449,542,1095,586,376,230,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67733,2998,10484,1768,3961,1040,4362,1090,4708,1092,4730,1292,5146,1181,2752,859,3993,1055,2513,826,5630,1131,4397,935,6472,1294,2881,950,1780,484,2342,696,1582,532,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,621244,8800,72757,5211,43930,3638,50596,4538,52740,4182,49258,4051,47112,4444,38176,4330,35565,3991,33188,3404,51333,5290,55510,3928,48967,4209,22278,2797,9716,1622,7193,1761,2925,892,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,625629,7879,80113,6034,45207,3964,47479,4165,41580,3636,42231,3864,40186,3768,35744,3768,30767,3517,29847,3528,48609,4795,62378,4793,64223,4618,29492,3063,12550,2537,10282,1883,4941,1461,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,422388,7561,61478,3585,30359,3095,29992,3954,28197,3487,23872,2991,28943,3715,19902,2705,21941,2607,19458,2673,31518,3328,36603,3357,43340,3844,24275,3254,12260,2370,7337,1607,2913,909,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,126971,4272,17967,2344,10321,2075,9418,1846,9449,1276,9908,1944,7308,1361,8037,1961,6619,1405,6956,1643,9896,1818,10074,1642,11894,2033,3961,1010,3184,1324,1432,541,547,502,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15089,1418,2744,946,771,524,1895,785,1455,588,713,462,821,437,737,380,860,516,538,342,1299,645,1573,674,1285,620,91,110,140,164,167,162,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,38144,1843,4749,1059,2407,794,2943,854,3060,975,3025,1119,2808,731,2427,847,2322,769,1587,596,2888,866,3246,971,3640,995,1079,506,1121,540,757,425,85,101,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,74468,2972,9145,1606,6578,1698,7816,1702,5264,1087,5841,1303,5421,1088,4929,1217,5105,1204,3075,1038,6272,1199,6800,1205,4548,884,1893,533,629,277,540,360,612,442,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,342106,5779,56480,4599,40112,3539,36943,3915,26254,3238,25704,3221,22383,2637,18875,2302,15447,2490,13706,1894,23258,2988,21497,2630,23949,3148,8929,2251,3936,1219,2647,890,1986,766,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
