GEO_ID,B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,NAME,B25032G_001MA,B25032G_001EA,B25032G_002EA,B25032G_002MA,B25032G_003EA,B25032G_003MA,B25032G_004MA,B25032G_004EA,B25032G_005EA,B25032G_005MA,B25032G_006MA,B25032G_006EA,B25032G_007MA,B25032G_007EA,B25032G_008EA,B25032G_008MA,B25032G_009MA,B25032G_009EA,B25032G_010EA,B25032G_010MA,B25032G_011MA,B25032G_011EA,state
0400000US01,16382,1899,9295,1122,629,323,670,422,367,289,584,415,724,430,217,308,134,169,3762,1014,0,270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10526,1503,4544,849,857,490,807,502,1350,567,691,377,644,335,362,211,399,258,774,443,98,123,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,29438,2422,17028,1861,1380,545,463,425,1543,763,764,413,1925,863,1416,637,2095,699,2812,843,12,19,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,11161,1526,8102,1335,417,260,0,260,188,167,303,244,428,370,70,74,51,99,1602,583,0,260,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,239780,7835,129113,5434,17472,1984,7067,1414,17749,2191,17149,2268,14716,2020,10839,1824,16544,2438,8525,1415,606,392,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,28032,2589,15354,1858,2459,963,833,507,1186,556,2052,744,1932,663,1787,718,512,314,1917,649,0,274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13854,1893,4869,947,633,422,1456,691,3007,943,961,582,1053,728,550,366,1325,727,0,274,0,274,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,79048,4612,40422,3079,5137,1179,2174,836,3522,1011,3776,921,5767,1501,4072,1133,5911,1698,8234,1702,33,54,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31369,3374,18035,2406,2172,1003,1000,606,960,545,2025,817,1718,851,737,598,1288,527,3434,1015,0,297,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
