GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002MA,B16003_002EA,B16003_003MA,B16003_003EA,B16003_004EA,B16003_004MA,B16003_005EA,B16003_005MA,B16003_006EA,B16003_006MA,B16003_007MA,B16003_007EA,B16003_008MA,B16003_008EA,B16003_009EA,B16003_009MA,B16003_010EA,B16003_010MA,B16003_011EA,B16003_011MA,B16003_012MA,B16003_012EA,state
0400000US01,48434,4747,9363,1674,1026,502,6472,1319,345,485,1423,722,97,125,39071,3952,29483,3477,2424,1187,6115,1316,1049,606,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13049,2559,3347,1450,1035,806,522,623,123,142,1478,1117,189,117,9702,1933,807,496,919,641,5923,1499,2053,762,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,411707,19365,105641,8996,4347,2356,95423,8840,1688,1030,2461,868,1722,824,306066,12629,269744,12802,11215,2143,14261,2782,10846,2396,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40586,5657,9487,1940,274,271,7882,1640,0,260,995,460,336,509,31099,4246,24887,3830,1495,747,4315,1473,402,528,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3897217,66776,936729,24453,35140,3508,743728,23752,31726,4695,121508,8065,4627,1397,2960488,49283,2016767,41283,202398,12480,713094,21812,28229,4842,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217546,14872,51202,5433,2983,1311,43465,5056,1842,948,2412,855,500,491,166344,11246,135267,10517,10365,2495,17206,3156,3506,1420,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,149200,12749,24312,4001,3090,1458,15045,2610,3475,1047,2651,919,51,85,124888,10421,62641,7310,45500,5183,14263,2772,2484,1288,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16764,3245,2915,1143,0,286,2511,1006,302,394,0,286,102,166,13849,2478,8997,2004,2353,1110,1290,586,1209,573,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1201548,28477,192835,9917,11101,1965,143970,8718,29887,5648,6101,1399,1776,1530,1008713,23556,801826,20927,148329,9624,45772,4466,12786,2668,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
