GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,B10051I_008E,B10051I_008M,B10051I_009E,B10051I_009M,B10051I_010E,B10051I_010M,B10051I_011E,B10051I_011M,NAME,B10051I_001MA,B10051I_001EA,B10051I_002MA,B10051I_002EA,B10051I_003MA,B10051I_003EA,B10051I_004MA,B10051I_004EA,B10051I_005MA,B10051I_005EA,B10051I_006EA,B10051I_006MA,B10051I_007MA,B10051I_007EA,B10051I_008MA,B10051I_008EA,B10051I_009MA,B10051I_009EA,B10051I_010MA,B10051I_010EA,B10051I_011EA,B10051I_011MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,51741,4927,22026,3705,6937,1938,4254,1537,2683,919,15089,3065,13278,3000,1811,982,29715,3323,17735,2924,11980,1971,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3807,1076,2444,1049,645,617,645,617,0,260,1799,849,1482,836,317,224,1363,602,1148,599,215,144,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,433257,16785,120047,8587,22591,3273,13272,2416,9319,1800,97456,7954,72783,6962,24673,3164,313210,12706,179125,10789,134085,6087,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,20119,3148,9384,1851,2947,1266,1839,1084,1108,549,6437,1335,5112,1251,1325,737,10735,2287,6731,1830,4004,1105,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,8409,1827,2802,959,727,483,392,294,335,352,2075,846,1798,778,277,287,5607,1632,2701,986,2906,1117,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,95358,6494,28381,4244,9277,2148,4621,1181,4656,1775,19104,3371,13156,2508,5948,1917,66977,4956,27095,3054,39882,4736,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,13499,3180,3134,1467,1040,909,966,907,74,99,2094,1213,2094,1213,0,297,10365,2492,6278,2081,4087,1519,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3792,977,1762,655,1371,684,1106,661,265,203,391,289,331,265,60,96,2030,726,674,448,1356,561,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3923,1186,1664,939,173,178,0,256,173,178,1491,928,1377,890,114,115,2259,841,1542,660,717,492,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,47926,4380,16164,2523,2086,1031,1492,724,594,485,14078,2425,11933,2292,2145,741,31762,3513,19709,3221,12053,1739,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6364,1395,2350,684,622,468,422,361,200,266,1728,639,1370,564,358,271,4014,1236,1993,858,2021,868,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2068,917,1361,856,150,159,150,159,0,221,1211,839,1103,816,108,144,707,368,298,233,409,229,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,5178,1048,2663,924,297,262,185,223,112,132,2366,891,1970,790,396,437,2515,688,2110,649,405,277,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2350,914,909,515,144,173,35,68,109,133,765,482,303,336,462,381,1441,802,835,700,606,365,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,7365,1753,1696,743,281,311,252,306,29,52,1415,653,1143,624,272,243,5669,1623,3546,1443,2123,802,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
