GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001EA,B08505F_001MA,B08505F_002EA,B08505F_002MA,B08505F_003EA,B08505F_003MA,B08505F_004MA,B08505F_004EA,B08505F_005EA,B08505F_005MA,B08505F_006MA,B08505F_006EA,B08505F_007EA,B08505F_007MA,state
0400000US01,15032,2395,8021,1697,5345,1632,0,268,319,269,797,572,550,387,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,275470,10913,185214,8411,69447,6327,8535,2378,4997,1478,3382,926,3895,912,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,29927,3462,16498,2571,11206,2636,72,124,1329,764,710,411,112,163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2410020,39568,1629610,28897,447981,17133,163128,10581,67274,5906,54453,5551,47574,4501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,136882,8484,96816,6158,26789,3458,5355,1969,4398,1339,1119,462,2405,740,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,70615,5934,46697,4493,12796,2310,4642,1609,3752,2073,1688,719,1040,676,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6900,1555,3858,1039,1815,702,61,110,941,667,188,184,37,61,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28630,3981,7384,1657,6091,2130,13846,2351,514,389,153,255,642,462,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,334464,13976,236542,11935,64931,5895,10455,2753,7104,2172,10340,2573,5092,1231,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
