GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001EA,B19001F_001MA,B19001F_002EA,B19001F_002MA,B19001F_003MA,B19001F_003EA,B19001F_004MA,B19001F_004EA,B19001F_005EA,B19001F_005MA,B19001F_006EA,B19001F_006MA,B19001F_007EA,B19001F_007MA,B19001F_008MA,B19001F_008EA,B19001F_009MA,B19001F_009EA,B19001F_010MA,B19001F_010EA,B19001F_011EA,B19001F_011MA,B19001F_012EA,B19001F_012MA,B19001F_013MA,B19001F_013EA,B19001F_014MA,B19001F_014EA,B19001F_015MA,B19001F_015EA,B19001F_016EA,B19001F_016MA,B19001F_017EA,B19001F_017MA,state
0400000US01,9120,1468,468,240,1145,625,769,485,1085,550,480,309,668,461,738,401,801,466,592,357,910,499,696,533,336,256,248,332,146,228,38,60,0,270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,184829,6213,15545,2189,14020,2533,13806,2124,15375,2416,16006,2587,14699,2473,11166,1850,11074,2072,11361,2160,16955,2234,19811,2339,13467,1814,6421,1225,2764,784,1311,495,1048,532,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15473,2118,954,501,1292,601,1876,805,2258,1061,1197,658,892,450,931,496,1424,685,565,330,841,480,879,402,1005,501,990,908,61,106,205,268,103,202,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1458187,20878,99435,5690,95281,6324,101599,5288,115858,5815,101994,6092,99226,5232,90611,6030,91171,4930,69873,4386,135035,5703,157962,7487,155448,6325,71620,4640,34594,3663,23550,2589,14930,2029,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,97562,4540,9178,1421,5223,1150,7076,1437,8537,1533,6899,1507,8545,2066,7725,1708,4443,1160,4584,1115,10378,1716,8619,1599,9434,1726,4315,1416,1256,454,778,457,572,350,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47709,3286,7590,1534,3874,1258,3458,980,2760,964,2264,825,3500,1205,3065,1112,2081,700,2708,910,3353,1026,5724,1531,3808,1244,1953,737,490,355,263,220,818,647,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3701,909,396,439,51,88,220,189,272,235,277,202,423,347,48,64,184,166,296,230,345,284,331,260,578,363,126,147,0,262,154,265,0,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9950,1233,595,461,543,453,255,245,699,452,1333,710,364,342,732,496,778,577,362,365,1151,620,397,336,1302,795,370,394,613,519,156,180,300,311,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214369,7726,16024,2153,12317,2016,15776,2886,19158,2810,19508,2944,15272,2438,13348,2311,16112,2392,12347,2491,20076,2704,20626,2250,16311,2231,8886,1503,3382,943,3894,1203,1332,601,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
