GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001MA,B25032F_001EA,B25032F_002EA,B25032F_002MA,B25032F_003EA,B25032F_003MA,B25032F_004MA,B25032F_004EA,B25032F_005EA,B25032F_005MA,B25032F_006MA,B25032F_006EA,B25032F_007MA,B25032F_007EA,B25032F_008EA,B25032F_008MA,B25032F_009MA,B25032F_009EA,B25032F_010EA,B25032F_010MA,B25032F_011MA,B25032F_011EA,state
0400000US01,9120,1468,3641,905,393,302,394,287,385,313,275,276,522,367,192,154,572,466,2683,778,63,109,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,184829,6213,107442,4812,7179,1371,4451,1180,8351,1883,9964,1708,10350,2002,6735,1562,7264,1720,22654,2971,439,462,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15473,2118,9107,1814,668,598,1791,974,299,249,638,496,887,461,383,411,145,160,1555,686,0,260,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1458187,20878,784815,14632,96569,6026,38977,4579,106192,7449,118622,8094,93738,5797,94380,7300,71421,4564,51854,4251,1619,1199,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,97562,4540,53007,3598,6010,1314,2757,891,3182,903,6373,1588,7040,1571,7214,1746,5479,1669,6500,1401,0,274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47709,3286,14435,2068,2196,816,7320,1589,9050,1442,5327,1201,3056,1067,2462,791,3509,1108,251,329,103,171,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9950,1233,470,384,1889,660,381,488,278,318,267,256,1280,794,2288,819,3097,905,0,286,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214369,7726,106264,5680,16155,2570,9491,2108,10640,2487,15258,2747,15319,2473,13751,2356,8827,1383,18012,2729,652,750,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,90705,4955,35743,2673,3371,1146,2367,943,9453,2250,10984,2771,10087,2470,3240,1427,1886,855,13574,2022,0,297,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,6161,1426,2730,920,545,314,429,490,544,423,853,623,579,359,73,121,408,267,0,264,0,264,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14058,1503,7805,1255,544,388,634,435,725,521,1295,707,249,308,233,270,0,256,2573,839,0,256,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,239382,6830,93282,5267,8718,1618,54462,4214,41389,4342,18556,2610,7711,1895,7855,2031,3819,967,3590,1029,0,266,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,39866,2986,21630,2351,2037,650,2470,1046,3366,929,3309,1162,2777,1206,841,536,434,294,3002,847,0,264,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13566,1851,7069,1052,351,300,1192,660,784,570,1051,569,1152,591,274,287,265,262,1428,778,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,32396,2382,18617,1767,1948,910,2289,1072,1232,597,1309,695,1466,807,350,261,261,251,4924,1118,0,240,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,7007,1312,3414,951,103,102,296,191,859,555,297,335,717,447,176,214,395,346,750,483,0,270,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13356,1818,6501,1058,251,215,494,429,2252,902,1313,886,598,366,508,435,518,514,921,557,0,278,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,40012,3194,15518,2335,7753,1433,751,466,1457,629,4046,975,8139,2108,297,269,1863,969,188,184,0,282,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,85196,5039,14226,1877,4491,1357,15787,3151,22916,3225,11581,2504,6548,1379,3581,1104,5792,1578,274,283,0,282,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,46208,3108,27735,2554,1753,753,3336,962,1514,757,3022,906,2347,718,2249,1004,653,436,3581,852,18,32,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,23226,2506,10603,1583,935,493,2539,990,662,335,695,420,2358,1238,2522,925,1437,742,1418,580,57,95,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
