GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001EA,B19001D_001MA,B19001D_002EA,B19001D_002MA,B19001D_003MA,B19001D_003EA,B19001D_004MA,B19001D_004EA,B19001D_005MA,B19001D_005EA,B19001D_006EA,B19001D_006MA,B19001D_007EA,B19001D_007MA,B19001D_008MA,B19001D_008EA,B19001D_009MA,B19001D_009EA,B19001D_010MA,B19001D_010EA,B19001D_011MA,B19001D_011EA,B19001D_012EA,B19001D_012MA,B19001D_013EA,B19001D_013MA,B19001D_014MA,B19001D_014EA,B19001D_015MA,B19001D_015EA,B19001D_016MA,B19001D_016EA,B19001D_017EA,B19001D_017MA,state
0400000US01,12942,1249,836,488,1068,633,968,523,665,426,457,300,1083,476,504,316,738,379,203,244,511,269,1229,418,1417,520,1704,537,595,334,568,361,396,238,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8893,1114,145,211,149,127,335,299,795,470,570,296,624,513,916,718,279,240,472,263,771,403,1320,572,1293,489,293,186,47,50,630,459,254,234,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,45400,2344,4554,1323,1569,696,1601,653,2019,762,1576,606,2311,875,2210,643,2554,922,1284,378,4751,1198,5485,1141,5197,837,3563,978,3037,960,2044,1033,1645,569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9164,1171,353,288,1061,610,733,486,483,371,369,263,260,199,515,356,405,281,445,332,834,449,599,415,1714,667,408,334,493,442,299,283,193,199,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1395457,12787,116118,6983,55444,4275,64601,4515,59718,4656,44659,4041,58600,4997,53863,4492,59996,4185,52191,3532,102799,6276,142035,6650,189408,7646,143374,6591,86553,4985,90250,4799,75848,4347,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,38735,2363,4357,998,1709,597,832,410,2674,896,1260,559,1558,613,1292,556,1731,596,1834,813,3939,1220,3871,799,5175,1023,3408,1086,2441,724,1701,621,953,419,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35223,1622,1776,635,831,446,833,417,1102,570,1087,469,1620,498,1554,681,1298,574,1587,654,2607,784,3964,1058,4505,1057,3915,994,2248,722,3026,855,3270,884,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7590,728,199,162,78,137,292,244,315,220,223,195,355,290,98,131,231,163,385,265,379,313,1149,472,1696,484,973,411,442,289,425,329,350,196,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8239,1152,1061,529,48,82,292,262,245,274,185,196,401,350,345,283,831,389,285,425,1112,628,501,483,951,490,550,404,810,508,166,177,456,320,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,123218,4002,8760,1571,4761,1161,6298,1465,8515,1573,7917,1645,6118,1325,6490,1197,6060,1581,5998,1065,9965,1455,14276,1938,14750,2202,8633,1427,4813,1047,5187,1293,4677,957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
