GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,NAME,B21001C_001MA,B21001C_001EA,B21001C_002EA,B21001C_002MA,B21001C_003EA,B21001C_003MA,B21001C_004EA,B21001C_004MA,B21001C_005MA,B21001C_005EA,B21001C_006MA,B21001C_006EA,B21001C_007MA,B21001C_007EA,B21001C_008EA,B21001C_008MA,B21001C_009EA,B21001C_009MA,B21001C_010MA,B21001C_010EA,B21001C_011MA,B21001C_011EA,B21001C_012MA,B21001C_012EA,B21001C_013EA,B21001C_013MA,B21001C_014EA,B21001C_014MA,B21001C_015MA,B21001C_015EA,B21001C_016MA,B21001C_016EA,B21001C_017MA,B21001C_017EA,B21001C_018EA,B21001C_018MA,B21001C_019EA,B21001C_019MA,B21001C_020MA,B21001C_020EA,B21001C_021MA,B21001C_021EA,B21001C_022MA,B21001C_022EA,B21001C_023EA,B21001C_023MA,B21001C_024EA,B21001C_024MA,B21001C_025MA,B21001C_025EA,B21001C_026MA,B21001C_026EA,B21001C_027MA,B21001C_027EA,B21001C_028EA,B21001C_028MA,B21001C_029EA,B21001C_029MA,B21001C_030EA,B21001C_030MA,B21001C_031MA,B21001C_031EA,B21001C_032MA,B21001C_032EA,B21001C_033EA,B21001C_033MA,state
0400000US01,18066,1577,9497,1235,3064,881,156,177,2908,830,4107,878,958,517,3149,671,1393,574,518,299,875,470,616,398,350,319,266,287,317,257,41,78,276,250,8569,1120,2619,789,0,270,2619,789,3800,787,15,30,3785,787,1324,492,0,270,1324,492,514,389,0,270,514,389,312,264,0,270,312,264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,57805,1940,28425,1354,10015,925,403,243,9612,870,12111,863,2004,570,10107,861,3608,451,1663,315,1945,442,2011,356,872,278,1139,267,680,154,288,144,392,64,29380,1235,9887,730,73,100,9814,731,12449,704,164,174,12285,736,3580,496,18,31,3562,502,2163,390,22,36,2141,398,1301,291,0,233,1301,291,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172689,3685,81766,2022,35633,1235,958,511,34675,1251,30544,1520,4792,1076,25752,1681,8311,762,2319,744,5992,930,4288,753,1609,598,2679,610,2990,732,1495,560,1495,597,90923,2351,36736,1622,201,206,36535,1635,34750,1547,995,502,33755,1547,10033,764,161,239,9872,795,5764,861,196,167,5568,849,3640,775,91,146,3549,787,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13825,1421,6105,988,2454,636,189,211,2265,623,1935,634,653,339,1282,544,821,353,319,209,502,285,716,389,324,293,392,257,179,155,120,125,59,98,7720,1268,2254,684,95,165,2159,642,3532,953,0,260,3532,953,1078,523,0,260,1078,523,641,309,0,260,641,309,215,161,0,260,215,161,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,186229,8613,90923,5550,28920,3464,1768,739,27152,3260,39695,3343,8632,1997,31063,2736,12512,1658,5424,1165,7088,1265,7303,1497,2729,709,4574,1241,2493,704,1145,424,1348,557,95306,4907,28888,3021,383,340,28505,3001,41281,2912,1110,437,40171,2910,14201,1783,246,206,13955,1782,6112,1175,104,180,6008,1136,4824,1045,352,429,4472,919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29990,2906,13742,1653,4725,1089,8,11,4717,1091,6937,1127,1794,709,5143,929,1206,420,330,229,876,377,544,257,150,131,394,224,330,239,202,210,128,145,16248,2172,5281,1235,53,91,5228,1235,6992,1399,285,231,6707,1379,2184,988,0,274,2184,988,1212,475,48,84,1164,471,579,427,0,274,579,427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45236,3274,21265,2150,7066,1620,633,372,6433,1632,9929,1418,2556,972,7373,1332,2665,712,1447,496,1218,500,867,436,340,263,527,358,738,494,455,390,283,273,23971,2365,6481,1417,304,331,6177,1366,10911,1450,712,393,10199,1416,4155,1144,0,301,4155,1144,1790,680,0,301,1790,680,634,297,0,301,634,297,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
