GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001EA,B17010I_001MA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004MA,B17010I_004EA,B17010I_005MA,B17010I_005EA,B17010I_006EA,B17010I_006MA,B17010I_007EA,B17010I_007MA,B17010I_008MA,B17010I_008EA,B17010I_009MA,B17010I_009EA,B17010I_010MA,B17010I_010EA,B17010I_011EA,B17010I_011MA,B17010I_012EA,B17010I_012MA,B17010I_013MA,B17010I_013EA,B17010I_014MA,B17010I_014EA,B17010I_015MA,B17010I_015EA,B17010I_016EA,B17010I_016MA,B17010I_017EA,B17010I_017MA,B17010I_018MA,B17010I_018EA,B17010I_019MA,B17010I_019EA,B17010I_020MA,B17010I_020EA,B17010I_021EA,B17010I_021MA,B17010I_022EA,B17010I_022MA,B17010I_023MA,B17010I_023EA,B17010I_024MA,B17010I_024EA,B17010I_025MA,B17010I_025EA,B17010I_026EA,B17010I_026MA,B17010I_027EA,B17010I_027MA,B17010I_028MA,B17010I_028EA,B17010I_029MA,B17010I_029EA,B17010I_030MA,B17010I_030EA,B17010I_031EA,B17010I_031MA,B17010I_032EA,B17010I_032MA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036EA,B17010I_036MA,B17010I_037EA,B17010I_037MA,B17010I_038EA,B17010I_038MA,B17010I_039EA,B17010I_039MA,B17010I_040EA,B17010I_040MA,B17010I_041MA,B17010I_041EA,state
0400000US01,21038,1694,5586,1117,2901,759,2325,631,641,474,1091,479,593,338,576,397,2685,757,674,572,601,540,159,127,197,295,245,334,73,132,2011,528,1891,536,400,326,852,385,639,420,120,123,15452,1774,9899,1498,6412,1289,1204,522,1572,633,3636,1034,3487,970,5553,1121,4029,992,2245,981,1196,676,0,270,1049,708,1784,659,1524,623,1103,518,127,156,308,308,668,332,421,307,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,361831,5416,74852,5151,33330,3757,28640,3547,5144,1193,13024,2394,10472,2068,4690,1032,41522,3642,6829,1536,6283,1479,2169,878,1965,935,2149,864,546,389,34693,3494,32495,3488,6470,1692,11567,2101,14458,2240,2198,792,286979,6538,194828,6800,134449,6251,24900,3160,41234,3633,68315,4654,60379,3691,92151,5645,36433,4028,23509,2897,5657,1332,5552,1463,12300,2345,12924,2196,55718,4286,39158,3256,5838,1490,5548,1587,27772,2757,16560,2817,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26049,1864,5565,1213,3326,1179,3093,1095,930,632,1215,744,948,532,233,270,2239,690,913,478,884,466,279,284,237,244,368,299,29,49,1326,503,1051,382,205,143,292,194,554,332,275,364,20484,1730,14275,1426,10751,1233,2284,842,3057,785,5410,1221,3524,935,6209,1318,3670,987,2423,794,795,458,674,495,954,470,1247,608,2539,1013,2463,1001,149,161,904,665,1410,823,76,105,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2556601,16916,462985,13282,211677,10283,181476,9218,22029,2405,78644,6489,80803,6269,30201,4180,251308,9812,51721,4097,44416,3795,10469,1852,14799,2546,19148,2847,7305,1536,199587,8707,185074,9013,26112,3266,65301,5702,93661,6819,14513,1990,2093616,18294,1453128,18210,1011237,16722,160075,7717,294503,9678,556659,12582,441891,11468,640488,13967,260066,10290,157327,8351,35167,3998,36069,4462,86091,5852,102739,7639,380422,10628,255500,9412,35271,4304,47204,4155,173025,7465,124922,6476,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,199247,4450,39178,3684,16793,2591,13100,2486,2188,1068,7077,1949,3835,1134,3693,983,22385,2807,4646,1827,3828,1764,692,602,912,657,2224,1564,818,569,17739,2353,15704,2276,2660,825,5724,1441,7320,1547,2035,853,160069,4696,111882,4871,72140,3940,13251,2018,20950,2442,37939,3142,39742,2928,48187,3859,20568,2920,10881,2331,3521,1417,2232,1381,5128,1276,9687,1881,27619,3011,19103,2738,3252,1138,3299,1207,12552,2262,8516,1463,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,86015,2800,19277,2321,4598,1448,3452,1399,705,544,1606,1097,1141,543,1146,582,14679,2053,1152,683,993,663,424,492,387,421,182,157,159,253,13527,2102,11076,1827,1410,752,3995,1226,5671,1112,2451,1180,66738,3381,39556,2793,23858,2335,3600,1000,4848,1149,15410,2069,15698,2211,27182,3098,8805,1799,4365,1265,1330,602,1325,693,1710,792,4440,1547,18377,2762,14416,2260,1562,778,4188,1539,8666,1629,3961,1286,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,835598,9591,125506,6965,59915,5599,38707,4338,7327,1810,12749,2400,18631,2970,21208,3093,65591,4909,11344,2405,8524,2152,2300,947,2644,1175,3580,1280,2820,1072,54247,4401,46022,3918,9345,1887,11886,2322,24791,3374,8225,1752,710092,11229,495632,11039,280034,9096,52558,4670,62329,4975,165147,6401,215598,6790,214460,9169,76045,5828,35950,4049,9149,2028,6924,1670,19877,2889,40095,3866,138415,7079,84290,5573,12524,2827,13306,2560,58460,4589,54125,4175,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
