GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001MA,B17020D_001EA,B17020D_002MA,B17020D_002EA,B17020D_003MA,B17020D_003EA,B17020D_004EA,B17020D_004MA,B17020D_005EA,B17020D_005MA,B17020D_006EA,B17020D_006MA,B17020D_007MA,B17020D_007EA,B17020D_008MA,B17020D_008EA,B17020D_009EA,B17020D_009MA,B17020D_010EA,B17020D_010MA,B17020D_011EA,B17020D_011MA,B17020D_012MA,B17020D_012EA,B17020D_013MA,B17020D_013EA,B17020D_014EA,B17020D_014MA,B17020D_015EA,B17020D_015MA,B17020D_016EA,B17020D_016MA,B17020D_017MA,B17020D_017EA,state
0400000US01,38248,2232,4946,2035,258,269,0,270,702,496,610,419,3168,1325,181,167,27,54,33302,2462,1162,391,705,358,3139,825,2314,544,24195,1832,1216,448,571,341,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28838,1908,2824,2052,238,337,0,233,377,362,750,929,1459,888,0,233,0,233,26014,2093,2049,635,195,160,1487,569,2627,889,17339,1266,1551,586,766,329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,128996,2491,14835,3021,351,234,0,291,712,507,1500,758,11028,2238,1151,514,93,113,114161,3944,8233,917,972,467,10366,1362,7437,1143,78958,2740,5732,851,2463,535,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25195,2181,3261,1570,0,260,0,260,131,142,372,366,2286,1087,91,163,381,505,21934,2317,2406,794,119,145,1086,558,1335,468,16411,1664,470,322,107,90,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4359268,15037,491631,26700,28361,3748,6399,1751,37740,4331,52081,5228,312607,17585,28530,3219,25913,4191,3867637,28409,227361,4749,48053,4072,269499,7807,291478,7432,2617899,18892,236828,3658,176519,4462,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,117388,3180,15079,2740,615,361,97,116,648,436,1567,741,10500,1881,823,519,829,354,102309,3504,7435,889,1842,609,7253,1289,7076,1150,71575,2097,4301,973,2827,810,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,108557,2063,9144,2752,740,555,231,195,1152,770,541,317,5879,1818,524,389,77,118,99413,3379,6242,994,1276,518,7552,1214,7590,1272,71535,2069,3371,770,1847,620,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22376,744,1073,622,35,58,110,137,92,118,29,57,723,482,56,98,28,42,21303,940,1651,172,291,206,1459,390,1300,380,15279,797,1010,385,313,191,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,371163,5492,40515,5531,2792,897,585,432,2343,728,3912,1935,26309,3931,2604,785,1970,878,330648,7484,21666,1816,3837,979,25227,2642,25620,2471,231071,5289,16142,1477,7085,1313,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,240580,4446,21034,3985,1841,1138,149,143,1356,615,1098,598,15135,2915,722,436,733,514,219546,5193,16704,1449,3507,1280,18536,1995,14762,1645,155640,3950,7689,1476,2708,945,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,519185,9712,40623,4150,1993,932,579,380,1617,729,2235,876,23791,2788,4278,927,6130,1623,478562,9511,22012,2133,3497,1007,23929,2337,28671,2575,303865,6108,40931,1245,55657,1659,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15117,1390,1475,699,199,339,0,256,49,60,150,151,1015,522,62,108,0,256,13642,1581,673,306,130,162,1118,417,1112,414,9233,1222,696,339,680,417,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,507131,4046,41837,5419,2429,1169,437,410,1724,766,3137,1247,29220,3496,2359,829,2531,766,465294,6963,31882,1765,7025,1204,32030,2665,35018,2509,324933,4313,23297,1288,11109,1087,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,72435,2155,10969,2202,337,268,179,219,312,285,567,460,9016,1878,218,204,340,302,61466,3034,3854,788,790,476,5704,990,3853,863,43817,2295,2293,577,1155,450,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41510,1518,5785,1437,190,157,64,116,347,277,99,114,4719,1130,366,534,0,221,35725,2139,3384,729,873,354,3231,763,2540,522,24054,1447,1280,471,363,228,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,53001,1685,6499,2034,0,240,0,240,360,322,816,501,4614,1319,641,431,68,113,46502,2431,3938,598,889,411,3448,644,2935,738,33330,2041,936,415,1026,494,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35561,1915,3005,847,101,130,25,42,27,58,169,244,2551,767,132,129,0,270,32556,1984,2300,806,456,271,2447,587,2480,629,22327,1503,2014,803,532,389,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,58363,2151,9418,2225,456,352,106,143,684,395,1293,649,5731,1441,504,334,644,530,48945,2946,2897,1067,799,449,3843,933,2930,1104,36112,2240,1639,567,725,459,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
