S2201_C01_011M,S2201_C01_012E,S2201_C01_012M,S2201_C01_013E,S2201_C01_013M,S2201_C01_014E,S2201_C01_014M,S2201_C01_015E,S2201_C01_015M,S2201_C01_016E,S2201_C01_016M,S2201_C01_017E,S2201_C01_017M,S2201_C01_018E,S2201_C01_018M,S2201_C01_019E,S2201_C01_019M,S2201_C01_020E,S2201_C01_020M,S2201_C01_021E,S2201_C01_021M,S2201_C02_001E,S2201_C02_001M,S2201_C02_002E,S2201_C02_002M,S2201_C02_003E,S2201_C02_003M,S2201_C02_004E,S2201_C02_004M,S2201_C02_005E,S2201_C02_005M,S2201_C02_006E,S2201_C02_006M,S2201_C02_007E,S2201_C02_007M,S2201_C02_008E,S2201_C02_008M,S2201_C02_009E,S2201_C02_009M,S2201_C02_010E,S2201_C02_010M,S2201_C02_011E,S2201_C02_011M,S2201_C02_012E,S2201_C02_012M,S2201_C02_013E,S2201_C02_013M,S2201_C02_014E,S2201_C02_014M,S2201_C02_015E,S2201_C02_015M,S2201_C02_016E,S2201_C02_016M,S2201_C02_017E,S2201_C02_017M,S2201_C02_018E,S2201_C02_018M,S2201_C02_019E,S2201_C02_019M,S2201_C02_020E,S2201_C02_020M,S2201_C02_021E,S2201_C02_021M,S2201_C03_001E,S2201_C03_001M,S2201_C03_002E,S2201_C03_002M,S2201_C03_003E,S2201_C03_003M,S2201_C03_004E,S2201_C03_004M,S2201_C03_005E,S2201_C03_005M,S2201_C03_006E,S2201_C03_006M,S2201_C03_007E,S2201_C03_007M,S2201_C03_008E,S2201_C03_008M,S2201_C03_009E,S2201_C03_009M,S2201_C03_010E,S2201_C03_010M,S2201_C03_011E,S2201_C03_011M,S2201_C03_012E,S2201_C03_012M,S2201_C03_013E,S2201_C03_013M,S2201_C03_014E,S2201_C03_014M,S2201_C03_015M,S2201_C03_015E,S2201_C03_016E,S2201_C03_016M,S2201_C03_017M,S2201_C03_018E,S2201_C03_018M,S2201_C03_019E,S2201_C03_019M,S2201_C03_020E,S2201_C03_020M,S2201_C03_021E,S2201_C03_021M,GEO_ID,S2201_C01_001E,S2201_C01_001M,S2201_C01_002E,S2201_C01_002M,S2201_C01_003E,S2201_C01_003M,S2201_C01_004E,S2201_C01_004M,S2201_C01_005E,S2201_C01_005M,S2201_C01_006E,S2201_C01_006M,S2201_C01_007E,S2201_C01_007M,S2201_C01_008E,S2201_C01_008M,S2201_C01_009E,S2201_C01_009M,S2201_C01_010E,S2201_C01_010M,S2201_C01_011E,S2201_C03_017E,S2201_C01_011MA,S2201_C01_012EA,S2201_C01_012MA,S2201_C01_013EA,S2201_C01_013MA,S2201_C01_014EA,S2201_C01_014MA,S2201_C01_015MA,S2201_C01_015EA,S2201_C01_016MA,S2201_C01_016EA,S2201_C01_017EA,S2201_C01_017MA,S2201_C01_018EA,S2201_C01_018MA,S2201_C01_019MA,S2201_C01_019EA,S2201_C01_020MA,S2201_C01_020EA,S2201_C01_021MA,S2201_C01_021EA,S2201_C02_001EA,S2201_C02_001MA,S2201_C02_002MA,S2201_C02_002EA,S2201_C02_003MA,S2201_C02_003EA,S2201_C02_004MA,S2201_C02_004EA,S2201_C02_005EA,S2201_C02_005MA,S2201_C02_006MA,S2201_C02_006EA,S2201_C02_007EA,S2201_C02_007MA,S2201_C02_008EA,S2201_C02_008MA,S2201_C02_009MA,S2201_C02_009EA,S2201_C02_010MA,S2201_C02_010EA,S2201_C02_011EA,S2201_C02_011MA,S2201_C02_012EA,S2201_C02_012MA,S2201_C02_013MA,S2201_C02_013EA,S2201_C02_014EA,S2201_C02_014MA,S2201_C02_015EA,S2201_C02_015MA,S2201_C02_016MA,S2201_C02_016EA,S2201_C02_017MA,S2201_C02_017EA,S2201_C02_018EA,S2201_C02_018MA,S2201_C02_019EA,S2201_C02_019MA,S2201_C02_020EA,S2201_C02_020MA,S2201_C02_021MA,S2201_C02_021EA,S2201_C03_001MA,S2201_C03_001EA,S2201_C03_002EA,S2201_C03_002MA,S2201_C03_003EA,S2201_C03_003MA,S2201_C03_004EA,S2201_C03_004MA,S2201_C03_005EA,S2201_C03_005MA,S2201_C03_006MA,S2201_C03_006EA,S2201_C03_007MA,S2201_C03_007EA,S2201_C03_008EA,S2201_C03_008MA,S2201_C03_009EA,S2201_C03_009MA,S2201_C03_010EA,S2201_C03_010MA,S2201_C03_011MA,S2201_C03_011EA,S2201_C03_012MA,S2201_C03_012EA,S2201_C03_013EA,S2201_C03_013MA,S2201_C03_014MA,S2201_C03_014EA,S2201_C03_015MA,S2201_C03_015EA,S2201_C03_016EA,S2201_C03_016MA,S2201_C03_017MA,S2201_C03_018EA,S2201_C03_018MA,S2201_C03_019MA,S2201_C03_019EA,S2201_C03_020EA,S2201_C03_020MA,S2201_C03_021EA,S2201_C03_021MA,NAME,S2201_C01_001MA,S2201_C01_001EA,S2201_C01_002EA,S2201_C01_002MA,S2201_C01_003EA,S2201_C01_003MA,S2201_C01_004EA,S2201_C01_004MA,S2201_C01_005MA,S2201_C01_005EA,S2201_C01_006EA,S2201_C01_006MA,S2201_C01_007EA,S2201_C01_007MA,S2201_C01_008EA,S2201_C01_008MA,S2201_C01_009MA,S2201_C01_009EA,S2201_C01_010MA,S2201_C01_010EA,S2201_C01_011EA,S2201_C03_017EA,state
0.1,0.6,0.1,1.0,0.1,2.4,0.1,69.7,0.3,41574,477,1233937,11653,19.0,0.4,35.8,0.7,45.2,0.7,1.8,-888888888.0,309540,7820,24.7,1.0,54.0,1.4,57.3,1.3,46.1,1.1,98.5,0.3,47.2,1.2,48.8,1.2,0.8,0.3,0.4,0.2,0.1,0.1,1.2,0.3,1.5,0.3,4.0,0.6,44.7,1.3,15585,585,221099,6440,27.2,1.4,48.8,1.6,24.0,1.4,-888888888,-888888888,1535629,11886,39.1,0.4,26.8,0.5,10.5,0.4,28.2,0.5,99.1,0.1,76.2,0.4,20.7,0.3,0.5,0.1,1.1,0.1,0.0,0.1,0.5,0.1,0.9,0.1,2.1,0.2,0.4,74.7,49300,755,10386,17.2,0.5,32.9,0.8,49.9,0.8,-888888888,-888888888,0400000US01,1845169,11483,36.7,0.3,31.4,0.5,18.4,0.4,31.2,0.5,99.0,0.1,71.3,0.3,25.4,0.3,0.5,0.1,1.0,0.1,0.0,1012838,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0.2,0.8,0.3,5.3,0.7,4.8,0.5,72.0,0.8,67712,1894,166400,3894,8.9,0.8,31.7,1.7,59.4,1.7,1.0,-888888888.0,28724,2316,28.3,3.6,58.0,3.9,33.1,3.5,46.6,3.9,89.9,2.8,44.1,4.1,6.4,3.1,32.4,3.2,4.3,2.0,1.0,0.7,1.6,1.2,10.1,2.8,5.7,1.9,41.3,3.9,25514,2444,19758,2054,12.5,3.5,54.3,5.3,33.2,4.5,-888888888,-888888888,222927,3148,28.0,0.9,32.9,1.4,5.4,0.7,19.6,1.2,95.3,0.7,78.7,1.0,3.4,0.6,8.1,0.6,3.6,0.4,0.7,0.3,0.7,0.3,4.7,0.7,4.7,0.6,0.9,75.9,73108,2018,3796,8.4,0.8,28.7,1.8,62.9,1.7,-888888888,-888888888,0400000US02,251651,2883,28.0,0.9,35.8,1.3,8.5,0.8,22.6,1.1,94.7,0.7,74.8,0.8,3.8,0.5,10.9,0.6,3.7,0.4,0.7,146642,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0.1,4.6,0.2,1.8,0.1,21.8,0.2,67.3,0.3,47826,604,1560687,15808,19.3,0.4,35.7,0.5,45.0,0.5,1.4,-888888888.0,345920,8234,25.2,1.0,58.6,1.4,51.0,1.4,38.0,1.2,97.4,0.4,70.9,1.2,7.6,0.7,8.0,0.5,1.4,0.4,0.1,0.1,9.5,0.8,2.6,0.4,39.9,1.2,42.2,1.3,21088,695,260892,7980,21.1,1.2,49.1,1.4,29.8,1.4,-888888888,-888888888,2046248,12983,39.4,0.3,27.3,0.5,9.8,0.3,21.6,0.5,98.3,0.1,85.6,0.3,3.6,0.2,2.4,0.1,2.8,0.1,0.1,0.1,3.8,0.2,1.7,0.1,18.7,0.3,0.3,71.5,53525,749,14123,18.9,0.4,33.0,0.6,48.1,0.6,-888888888,-888888888,0400000US04,2392168,11611,37.3,0.2,31.8,0.5,15.7,0.3,24.0,0.4,98.2,0.1,83.4,0.3,4.2,0.1,3.2,0.1,2.6,0.1,0.1,1299795,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0.1,1.3,0.2,1.4,0.1,4.4,0.2,77.4,0.4,40112,497,758601,8707,18.3,0.5,34.8,0.8,46.9,0.8,1.1,-888888888.0,176758,5185,22.8,1.2,54.3,1.8,58.4,1.8,47.7,1.7,98.5,0.4,63.5,1.7,31.8,1.7,0.8,0.3,0.4,0.2,0.4,0.3,1.7,0.6,1.5,0.4,5.5,0.9,59.9,1.6,16287,722,123041,4370,25.8,2.2,50.0,2.5,24.2,1.9,-888888888,-888888888,967101,8251,38.9,0.4,27.3,0.6,10.9,0.5,28.7,0.7,98.6,0.2,83.3,0.5,12.1,0.4,0.7,0.1,1.3,0.1,0.0,0.1,1.3,0.2,1.4,0.2,4.2,0.2,0.5,80.6,45685,577,8565,16.8,0.5,31.9,0.8,51.3,0.8,-888888888,-888888888,0400000US05,1143859,7351,36.4,0.3,31.5,0.5,18.2,0.5,31.6,0.6,98.6,0.1,80.2,0.4,15.1,0.3,0.7,0.1,1.2,0.1,0.1,635560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0.1,9.4,0.1,3.0,0.1,27.9,0.1,50.4,0.1,58328,354,8585787,27380,13.7,0.2,34.9,0.3,51.4,0.3,1.0,-888888888.0,1140716,14753,20.8,0.5,72.8,0.6,52.9,0.6,34.3,0.7,95.9,0.3,56.6,0.7,12.0,0.5,1.4,0.2,7.0,0.4,0.5,0.1,18.4,0.5,4.1,0.3,51.4,0.6,26.5,0.6,22776,415,982415,13806,22.4,0.6,45.5,0.7,32.1,0.7,-888888888,-888888888,11411942,21154,36.5,0.1,32.6,0.2,11.2,0.2,21.3,0.2,97.1,0.1,68.5,0.2,6.0,0.1,0.7,0.1,13.2,0.1,0.3,0.1,8.5,0.1,2.9,0.1,25.6,0.1,0.2,52.8,62839,397,27652,12.5,0.2,33.6,0.3,53.9,0.3,-888888888,-888888888,0400000US06,12552658,18433,35.0,0.1,36.3,0.2,15.0,0.1,22.5,0.1,97.0,0.1,67.4,0.2,6.5,0.1,0.7,0.1,12.6,0.1,0.3,7603372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0.1,3.3,0.2,2.1,0.1,15.4,0.2,76.8,0.3,56765,594,1278264,10500,11.7,0.3,32.9,0.6,55.4,0.7,1.1,-888888888.0,186217,7033,21.1,1.2,56.2,1.9,51.6,1.7,41.2,1.9,96.3,0.6,73.2,1.7,10.0,1.2,1.9,0.4,2.1,0.6,0.1,0.1,9.0,1.1,3.7,0.6,35.6,1.7,49.5,1.8,20173,745,128947,6207,18.3,1.7,49.6,2.2,32.1,2.3,-888888888,-888888888,1809871,10444,32.1,0.3,29.6,0.5,8.5,0.3,18.3,0.4,98.0,0.1,89.2,0.3,3.0,0.2,0.7,0.1,2.3,0.1,0.1,0.1,2.8,0.2,2.0,0.1,13.3,0.3,0.3,79.6,61465,519,10664,11.0,0.3,31.0,0.6,58.0,0.7,-888888888,-888888888,0400000US08,1996088,8553,31.0,0.2,32.1,0.5,12.6,0.3,20.4,0.4,97.9,0.1,87.7,0.3,3.6,0.1,0.8,0.1,2.3,0.1,0.1,1149317,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
-999999999.0,3.5,0.2,1.5,0.2,11.1,0.2,75.0,0.3,67276,865,902369,9154,12.4,0.4,31.8,0.8,55.7,0.8,1.2,-888888888.0,163064,5739,30.2,1.4,46.6,1.9,47.1,1.8,43.9,1.8,-999999999.0,-999999999.0,60.4,2.0,23.8,1.5,0.5,0.2,1.0,0.3,-999999999.0,-999999999.0,11.1,1.2,3.2,0.8,33.7,1.8,40.6,1.8,18365,859,105992,5162,24.0,2.1,48.2,2.2,27.7,2.0,-888888888,-888888888,1194748,8138,38.0,0.4,30.1,0.6,5.4,0.3,18.7,0.5,-999999999.0,-999999999.0,84.7,0.4,7.7,0.3,0.2,0.1,3.6,0.2,-999999999.0,-999999999.0,2.5,0.2,1.3,0.2,8.0,0.3,0.4,79.7,75061,906,10099,10.9,0.4,29.6,0.8,59.5,0.8,-888888888,-888888888,0400000US09,1357812,6453,37.1,0.3,32.1,0.5,10.4,0.4,21.7,0.5,-999999999.0,-999999999.0,81.8,0.4,9.6,0.2,0.2,0.1,3.3,0.1,-999999999.0,796377,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Connecticut,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,null,09
-999999999.0,1.8,0.4,1.4,0.3,5.8,0.4,70.5,0.7,58415,1593,225593,4537,15.4,0.8,31.8,1.5,52.8,1.6,0.9,-888888888.0,48378,2973,24.7,2.6,58.5,3.4,38.0,3.7,39.8,3.3,-999999999.0,-999999999.0,52.6,3.0,39.7,3.0,0.3,0.3,1.3,0.7,-999999999.0,-999999999.0,3.0,1.3,3.1,1.3,12.9,2.4,44.4,2.8,25626,1379,35153,2676,19.0,3.0,46.5,4.7,34.6,4.4,-888888888,-888888888,291930,3801,40.2,0.8,27.6,1.2,6.6,0.7,21.6,1.0,-999999999.0,-999999999.0,77.6,0.8,16.5,0.8,0.4,0.1,2.8,0.3,-999999999.0,-999999999.0,1.6,0.4,1.1,0.3,4.6,0.5,0.9,74.8,63932,1303,4826,14.8,0.8,29.1,1.5,56.1,1.5,-888888888,-888888888,0400000US10,340308,3122,38.0,0.7,32.0,1.2,11.0,0.9,24.2,0.9,-999999999.0,-999999999.0,74.0,0.7,19.8,0.6,0.4,0.1,2.6,0.2,-999999999.0,190440,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Delaware,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,null,10
-999999999.0,2.9,0.6,1.9,0.4,7.8,0.7,40.6,0.8,66583,2040,112493,3951,14.5,1.5,34.6,2.1,51.0,2.3,1.5,-888888888.0,40966,2609,31.1,2.9,42.7,3.2,46.6,3.7,46.1,3.2,-999999999.0,-999999999.0,5.6,1.7,88.3,2.4,0.5,0.4,0.8,0.4,-999999999.0,-999999999.0,3.4,1.5,1.4,0.8,7.2,2.2,3.2,1.4,18364,2389,25984,2303,28.0,3.6,46.0,4.6,25.9,4.4,-888888888,-888888888,225696,3474,28.5,0.8,16.2,1.0,9.5,1.2,14.5,1.0,-999999999.0,-999999999.0,51.7,1.3,39.1,1.2,0.4,0.2,3.9,0.5,-999999999.0,-999999999.0,2.8,0.6,2.0,0.4,7.9,0.8,1.1,47.4,79654,2965,3485,10.4,1.3,31.2,2.3,58.5,2.3,-888888888,-888888888,0400000US11,266662,3138,28.9,0.7,20.3,0.9,15.2,1.1,19.4,0.9,-999999999.0,-999999999.0,44.6,1.0,46.7,0.9,0.4,0.1,3.4,0.4,-999999999.0,86509,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),District of Columbia,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,null,11
0.1,1.7,0.1,1.5,0.1,18.5,0.1,64.9,0.2,45040,345,4598222,24279,20.7,0.3,34.8,0.4,44.4,0.4,2.1,-888888888.0,1093250,16970,34.0,0.7,49.0,0.7,47.8,0.7,40.3,0.9,98.0,0.2,65.9,0.7,27.3,0.6,0.4,0.1,1.1,0.1,0.1,0.1,3.1,0.3,2.0,0.2,31.8,0.7,39.2,0.8,20728,374,776263,14820,22.8,1.0,46.7,1.2,30.5,1.0,-888888888,-888888888,6104693,28076,44.0,0.2,24.2,0.3,9.5,0.2,22.0,0.3,98.6,0.1,83.3,0.2,11.2,0.2,0.2,0.1,2.3,0.1,0.1,0.1,1.5,0.1,1.4,0.1,16.1,0.2,0.2,69.4,50778,290,24743,20.3,0.2,32.4,0.4,47.3,0.4,-888888888,-888888888,0400000US12,7197943,25102,42.5,0.2,28.0,0.2,15.4,0.2,24.8,0.3,98.5,0.1,80.7,0.2,13.7,0.1,0.3,0.1,2.1,0.1,0.1,3821959,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
