S2507_C01_018E,S2507_C01_019M,S2507_C01_033M,S2507_C01_034E,S2507_C01_035M,S2507_C01_061E,S2507_C01_061M,S2507_C01_062E,S2507_C01_062M,GEO_ID,S2507_C01_001E,S2507_C01_001M,S2507_C01_002E,S2507_C01_002M,S2507_C01_003E,S2507_C01_003M,S2507_C01_004E,S2507_C01_004M,S2507_C01_005E,S2507_C01_005M,S2507_C01_006E,S2507_C01_006M,S2507_C01_007E,S2507_C01_007M,S2507_C01_008E,S2507_C01_008M,S2507_C01_009E,S2507_C01_010M,S2507_C01_011M,S2507_C01_012E,S2507_C01_013E,S2507_C01_013M,S2507_C01_014E,S2507_C01_015E,S2507_C01_015M,S2507_C01_016E,S2507_C01_016M,S2507_C01_017M,S2507_C01_018M,S2507_C01_019E,S2507_C01_020E,S2507_C01_020M,S2507_C01_021E,S2507_C01_021M,S2507_C01_022E,S2507_C01_022M,S2507_C01_023E,S2507_C01_024E,S2507_C01_024M,S2507_C01_025E,S2507_C01_026E,S2507_C01_027E,S2507_C01_027M,S2507_C01_028E,S2507_C01_028M,S2507_C01_029E,S2507_C01_029M,S2507_C01_030E,S2507_C01_030M,S2507_C01_031E,S2507_C01_032E,S2507_C01_009M,S2507_C01_010E,S2507_C01_011E,S2507_C01_012M,S2507_C01_014M,S2507_C01_017E,S2507_C01_023M,S2507_C01_025M,S2507_C01_026M,S2507_C01_031M,S2507_C01_032M,S2507_C01_033E,S2507_C01_034M,S2507_C01_035E,S2507_C01_036E,S2507_C01_036M,S2507_C01_037E,S2507_C01_037M,S2507_C01_038E,S2507_C01_038M,S2507_C01_039E,S2507_C01_039M,S2507_C01_040E,S2507_C01_040M,S2507_C01_041E,S2507_C01_041M,S2507_C01_042E,S2507_C01_042M,S2507_C01_043E,S2507_C01_043M,S2507_C01_044E,S2507_C01_044M,S2507_C01_045E,S2507_C01_045M,S2507_C01_046E,S2507_C01_046M,S2507_C01_047E,S2507_C01_047M,S2507_C01_048E,S2507_C01_048M,S2507_C01_049E,S2507_C01_049M,S2507_C01_050E,S2507_C01_050M,S2507_C01_051E,S2507_C01_051M,S2507_C01_052E,S2507_C01_052M,S2507_C01_053E,S2507_C01_053M,S2507_C01_054E,S2507_C01_054M,S2507_C01_055E,S2507_C01_055M,S2507_C01_056E,S2507_C01_056M,S2507_C01_057E,S2507_C01_057M,S2507_C01_058E,S2507_C01_058M,S2507_C01_059E,S2507_C01_059M,S2507_C01_060E,S2507_C01_060M,S2507_C01_018MA,S2507_C01_018EA,S2507_C01_019MA,S2507_C01_033MA,S2507_C01_034MA,S2507_C01_034EA,S2507_C01_035MA,S2507_C01_061MA,S2507_C01_061EA,S2507_C01_062MA,S2507_C01_062EA,NAME,S2507_C01_001MA,S2507_C01_001EA,S2507_C01_002MA,S2507_C01_002EA,S2507_C01_003EA,S2507_C01_003MA,S2507_C01_004MA,S2507_C01_004EA,S2507_C01_005EA,S2507_C01_005MA,S2507_C01_006MA,S2507_C01_006EA,S2507_C01_007MA,S2507_C01_007EA,S2507_C01_008EA,S2507_C01_008MA,S2507_C01_009EA,S2507_C01_009MA,S2507_C01_010MA,S2507_C01_011MA,S2507_C01_012MA,S2507_C01_012EA,S2507_C01_013EA,S2507_C01_013MA,S2507_C01_014EA,S2507_C01_014MA,S2507_C01_015MA,S2507_C01_015EA,S2507_C01_016EA,S2507_C01_016MA,S2507_C01_017MA,S2507_C01_019EA,S2507_C01_020MA,S2507_C01_020EA,S2507_C01_021EA,S2507_C01_021MA,S2507_C01_022EA,S2507_C01_022MA,S2507_C01_023MA,S2507_C01_023EA,S2507_C01_024MA,S2507_C01_024EA,S2507_C01_025EA,S2507_C01_025MA,S2507_C01_026MA,S2507_C01_026EA,S2507_C01_027MA,S2507_C01_027EA,S2507_C01_028EA,S2507_C01_028MA,S2507_C01_029MA,S2507_C01_029EA,S2507_C01_030MA,S2507_C01_030EA,S2507_C01_031EA,S2507_C01_031MA,S2507_C01_032MA,S2507_C01_032EA,S2507_C01_010EA,S2507_C01_011EA,S2507_C01_017EA,S2507_C01_033EA,S2507_C01_035EA,S2507_C01_036MA,S2507_C01_036EA,S2507_C01_037EA,S2507_C01_037MA,S2507_C01_038MA,S2507_C01_038EA,S2507_C01_039MA,S2507_C01_039EA,S2507_C01_040MA,S2507_C01_040EA,S2507_C01_041MA,S2507_C01_041EA,S2507_C01_042EA,S2507_C01_042MA,S2507_C01_043EA,S2507_C01_043MA,S2507_C01_044EA,S2507_C01_044MA,S2507_C01_045MA,S2507_C01_045EA,S2507_C01_046EA,S2507_C01_046MA,S2507_C01_047EA,S2507_C01_047MA,S2507_C01_048MA,S2507_C01_048EA,S2507_C01_049MA,S2507_C01_049EA,S2507_C01_050EA,S2507_C01_050MA,S2507_C01_051MA,S2507_C01_051EA,S2507_C01_052EA,S2507_C01_052MA,S2507_C01_053EA,S2507_C01_053MA,S2507_C01_054MA,S2507_C01_054EA,S2507_C01_055EA,S2507_C01_055MA,S2507_C01_056MA,S2507_C01_056EA,S2507_C01_057MA,S2507_C01_057EA,S2507_C01_058EA,S2507_C01_058MA,S2507_C01_059MA,S2507_C01_059EA,S2507_C01_060EA,S2507_C01_060MA,state
36367,1.0,0.4,5.3,3,413,15,33.9,-888888888.0,0400000US01,528624,10012,27.0,0.8,26.1,0.8,15.1,0.7,12.2,0.6,10.9,0.6,5.7,0.5,2.9,0.3,91500,0.6,0.9,13.8,16.0,0.7,15.8,8.5,0.5,7.3,0.5,0.4,686,43.3,16.3,0.7,10.2,0.6,28.4,0.9,1.7,1.4,0.2,4.3,9.0,13.0,0.5,14.6,0.6,14.6,0.7,11.4,0.6,14.3,7.9,2537,9.4,24.8,0.7,0.7,4.3,0.3,0.4,0.5,0.6,0.5,4.1,0.5,326,24.8,0.8,6.8,0.5,6.8,0.5,11.2,0.6,21.6,0.9,17.1,0.8,3.5,0.4,1.0,0.2,16.0,0.7,15.2,0.7,0.7,0.2,0.1,0.1,15.8,0.7,15.6,0.7,0.2,0.1,0.0,0.1,20.2,0.7,20.2,0.7,0.0,0.1,0.0,0.1,1.7,0.3,55.5,0.9,11.6,0.5,6.3,0.5,26.6,0.8,null,null,null,null,null,null,null,null,null,(X),null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
59081,2.4,1.8,29.4,20,2278,199,27.1,-888888888.0,0400000US02,55489,2738,13.2,1.7,13.8,1.6,8.6,1.4,12.6,1.7,24.1,2.4,22.8,2.4,5.0,1.1,206500,0.9,2.1,10.0,11.8,1.6,19.0,11.3,1.7,15.7,2.0,1.8,3543,36.0,12.8,1.7,14.5,2.1,36.5,2.6,0.2,2.7,0.8,2.7,3.3,4.2,1.1,5.0,1.0,4.9,0.9,5.2,1.0,15.0,14.5,9591,4.8,15.8,1.6,2.3,11.6,0.1,0.7,0.8,2.1,2.3,13.1,2.6,549,14.7,1.9,3.7,1.1,1.7,0.5,9.3,1.5,15.7,1.9,7.5,1.4,4.0,1.1,4.1,1.2,11.8,1.6,9.0,1.4,2.3,0.6,0.5,0.5,19.0,2.3,17.5,1.9,0.9,0.5,0.7,0.7,38.6,2.7,38.3,2.7,0.3,0.3,0.0,0.2,0.2,0.1,15.2,2.3,10.6,2.0,46.3,2.7,27.9,2.2,null,null,null,null,null,null,null,null,null,(X),null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
40231,0.9,0.5,8.4,5,1126,27,29.5,-888888888.0,0400000US04,505970,8149,21.7,0.8,19.0,0.8,15.6,0.7,13.2,0.6,14.2,0.7,10.8,0.5,5.6,0.5,125800,0.5,0.8,13.8,16.8,0.8,17.4,8.7,0.6,8.4,0.5,0.5,812,37.9,15.1,0.6,11.0,0.6,34.3,0.9,1.7,3.0,0.3,4.3,6.4,8.9,0.5,11.3,0.7,12.0,0.8,11.1,0.6,16.9,11.8,3685,7.9,21.5,0.8,0.7,5.5,0.3,0.4,0.5,0.7,0.6,6.0,0.6,370,19.6,0.7,5.1,0.4,4.7,0.4,9.8,0.6,21.9,1.0,15.0,0.8,4.7,0.4,2.2,0.3,16.8,0.8,15.4,0.8,1.2,0.2,0.2,0.1,17.4,0.7,17.1,0.7,0.3,0.1,0.0,0.1,22.6,0.9,22.6,0.9,0.0,0.1,0.0,0.1,1.7,0.3,30.9,0.9,26.7,0.9,31.3,1.0,11.0,0.5,null,null,null,null,null,null,null,null,null,(X),null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
35970,1.4,0.5,3.8,5,550,17,30.1,-888888888.0,0400000US05,320900,7019,27.6,0.9,28.2,1.2,16.4,1.0,11.6,0.8,9.1,0.7,4.4,0.5,2.7,0.4,87100,0.7,1.1,14.3,15.9,1.0,17.0,8.1,0.7,6.4,0.5,0.4,843,44.8,16.5,0.8,11.3,0.7,26.1,1.0,1.3,2.3,0.4,4.9,10.1,15.1,0.8,15.4,0.9,13.7,1.0,11.2,0.8,13.5,6.9,1958,7.6,26.9,0.7,1.0,3.8,0.3,0.5,0.7,0.8,0.6,3.3,0.4,309,25.2,1.0,8.9,0.8,6.8,0.6,9.5,0.6,22.4,0.9,18.6,0.8,3.1,0.4,0.7,0.2,15.9,1.0,15.5,1.0,0.4,0.1,0.0,0.1,17.0,1.0,16.8,1.0,0.2,0.1,0.1,0.1,18.3,0.9,18.3,0.9,0.0,0.1,0.0,0.1,1.3,0.3,59.5,1.1,19.0,0.9,11.7,0.7,9.8,0.7,null,null,null,null,null,null,null,null,null,(X),null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
50240,0.4,0.3,25.0,3,1832,22,30.5,-888888888.0,0400000US06,1768223,13924,11.0,0.3,7.7,0.3,6.9,0.3,7.5,0.2,14.4,0.4,23.1,0.4,29.5,0.4,318800,0.3,0.4,11.2,14.3,0.4,17.5,10.6,0.3,11.5,0.4,0.3,601,19.7,10.9,0.3,9.4,0.3,58.6,0.5,1.4,1.6,0.1,2.2,3.9,5.9,0.3,7.7,0.3,8.4,0.3,8.3,0.3,15.4,12.7,3188,5.8,18.4,0.3,0.3,10.6,0.2,0.1,0.2,0.4,0.4,8.9,0.4,478,16.4,0.4,3.2,0.2,3.0,0.2,10.2,0.3,17.7,0.4,9.6,0.3,4.4,0.2,3.7,0.2,14.3,0.4,11.3,0.3,2.2,0.2,0.8,0.1,17.5,0.3,16.1,0.3,1.1,0.1,0.3,0.1,32.7,0.5,32.2,0.5,0.4,0.1,0.1,0.1,1.4,0.2,18.0,0.3,21.9,0.4,53.5,0.5,6.5,0.2,null,null,null,null,null,null,null,null,null,(X),null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
48052,1.1,0.7,10.9,5,1311,25,29.8,-888888888.0,0400000US08,333119,5691,12.1,0.8,7.8,0.6,10.3,0.7,15.3,0.9,24.0,0.9,18.7,0.8,12.0,0.7,216500,0.6,0.9,12.4,15.3,0.8,17.1,10.8,0.8,11.0,0.6,0.7,1238,24.2,15.5,0.8,12.2,0.7,46.9,1.2,1.0,0.9,0.2,2.2,4.1,7.4,0.5,10.7,0.7,12.6,0.8,12.4,0.7,19.7,11.8,3371,6.4,17.7,0.8,0.9,9.3,0.3,0.3,0.4,0.8,0.8,7.5,0.7,400,16.5,0.9,3.1,0.4,4.0,0.4,9.4,0.7,19.0,1.1,12.3,0.9,4.8,0.5,1.9,0.3,15.3,0.8,13.9,0.8,1.3,0.3,0.1,0.1,17.1,0.9,16.7,0.9,0.4,0.1,0.0,0.1,31.1,1.0,31.0,1.0,0.2,0.1,0.0,0.1,1.0,0.3,26.8,1.1,29.7,1.1,41.1,1.1,2.3,0.3,null,null,null,null,null,null,null,null,null,(X),null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
60615,1.0,0.9,65.8,9,4948,57,30.3,-888888888.0,0400000US09,265850,5449,3.6,0.5,4.2,0.5,8.2,0.7,15.9,0.8,28.8,1.1,23.2,1.0,16.1,0.8,260400,0.5,0.8,10.1,13.4,0.9,17.2,11.7,0.8,14.3,1.0,0.8,1909,20.3,16.7,1.0,12.3,0.8,49.7,1.2,1.0,0.2,0.1,0.1,0.4,0.4,0.2,0.8,0.2,1.3,0.3,1.6,0.3,5.3,10.0,4169,4.2,14.2,0.8,1.0,14.9,0.3,0.1,0.2,0.5,0.8,14.0,1.1,806,12.0,0.9,0.3,0.1,0.6,0.2,11.1,0.9,15.5,1.0,1.8,0.3,4.5,0.5,9.2,0.7,13.4,0.9,4.7,0.5,6.3,0.7,2.4,0.4,17.2,1.0,12.7,0.9,3.7,0.5,0.8,0.2,40.9,1.3,39.4,1.4,1.2,0.3,0.2,0.1,1.0,0.3,3.2,0.5,2.7,0.4,92.9,0.7,1.2,0.3,null,null,null,null,null,null,null,null,null,(X),null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
46372,2.4,1.3,13.1,12,789,46,31.6,-888888888.0,0400000US10,72986,2939,14.1,1.6,8.1,1.4,10.3,1.7,15.4,1.6,27.3,2.3,16.7,1.4,8.1,1.2,206800,1.2,1.8,12.3,15.9,1.9,17.2,10.9,1.8,11.1,1.3,1.2,2995,26.8,14.8,1.7,12.1,1.4,45.1,2.5,1.2,0.5,0.4,2.0,3.8,8.4,1.2,8.9,1.3,11.0,1.9,11.7,1.5,19.1,12.6,7630,5.4,19.8,1.5,1.9,7.3,0.5,0.5,0.8,2.1,1.5,8.7,1.4,419,17.0,1.8,3.1,0.7,3.5,0.9,10.4,1.3,19.3,2.0,11.8,1.5,4.9,1.1,2.6,0.7,15.9,1.9,13.6,1.8,1.9,0.7,0.5,0.3,17.2,1.9,16.8,1.9,0.3,0.2,0.1,0.1,29.4,2.2,29.4,2.2,0.1,0.1,0.0,0.2,1.2,0.5,48.3,2.4,23.2,2.1,23.9,1.7,4.6,0.9,null,null,null,null,null,null,null,null,null,(X),null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
68904,2.5,2.0,36.1,29,1855,260,30.5,-888888888.0,0400000US11,23577,2090,1.0,0.8,2.5,1.3,1.8,1.0,6.8,2.1,15.8,3.1,28.1,4.0,43.9,4.0,444600,1.8,2.6,7.9,12.4,2.4,13.6,9.1,2.7,14.3,2.6,3.9,8449,10.6,12.0,2.9,11.5,2.2,64.4,3.7,1.5,1.3,0.8,1.1,2.1,4.7,1.7,3.8,1.5,8.7,2.1,6.7,1.8,16.7,12.1,36464,5.6,13.3,2.4,2.9,23.9,1.2,1.0,1.2,3.0,3.1,6.5,4.1,542,14.2,2.9,2.2,1.2,0.8,0.6,11.3,2.9,11.0,2.5,6.3,1.7,2.7,1.6,2.0,1.0,12.4,2.4,9.1,2.1,1.8,1.4,1.5,0.9,13.6,2.9,12.3,2.7,0.7,0.7,0.6,0.5,47.2,4.2,47.0,4.2,0.2,0.3,0.0,0.7,1.5,1.2,20.2,3.3,23.4,3.3,53.6,3.8,2.8,1.3,null,null,null,null,null,null,null,null,null,(X),null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
40419,0.5,0.3,20.1,3,1361,17,32.3,-888888888.0,0400000US12,1835712,18176,18.3,0.4,22.9,0.4,14.9,0.4,13.2,0.4,14.5,0.4,9.5,0.3,6.7,0.3,124900,0.3,0.5,13.0,15.2,0.4,17.3,8.7,0.3,8.1,0.3,0.3,532,35.3,16.2,0.4,11.6,0.4,34.8,0.5,2.1,1.6,0.1,3.2,5.3,6.8,0.3,8.1,0.3,8.6,0.4,8.8,0.3,16.2,12.4,1660,7.9,22.9,0.4,0.4,7.0,0.2,0.2,0.3,0.4,0.4,8.8,0.4,447,21.1,0.5,4.3,0.2,4.3,0.2,12.5,0.4,20.7,0.5,11.9,0.3,5.5,0.2,3.3,0.2,15.2,0.4,12.5,0.4,1.9,0.1,0.7,0.1,17.3,0.4,16.2,0.4,0.9,0.1,0.3,0.1,23.7,0.5,23.1,0.5,0.5,0.1,0.1,0.1,2.1,0.2,27.4,0.5,22.3,0.5,41.5,0.5,8.9,0.3,null,null,null,null,null,null,null,null,null,(X),null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
