GEO_ID,C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,NAME,C17010F_001EA,C17010F_001MA,C17010F_002EA,C17010F_002MA,C17010F_003MA,C17010F_003EA,C17010F_004MA,C17010F_004EA,C17010F_005MA,C17010F_005EA,C17010F_006EA,C17010F_006MA,C17010F_007EA,C17010F_007MA,C17010F_008EA,C17010F_008MA,C17010F_009EA,C17010F_009MA,C17010F_010EA,C17010F_010MA,C17010F_011MA,C17010F_011EA,C17010F_012EA,C17010F_012MA,C17010F_013EA,C17010F_013MA,C17010F_014EA,C17010F_014MA,C17010F_015MA,C17010F_015EA,C17010F_016EA,C17010F_016MA,C17010F_017MA,C17010F_017EA,state
0400000US01,11689,1882,4529,1081,2951,1034,2628,1003,1578,629,454,319,454,319,1124,540,1124,540,7160,1865,5014,1685,3249,985,2146,799,1457,706,945,598,689,426,540,376,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,88658,5727,17295,2242,7817,1620,6641,1420,9478,1980,2257,986,1186,634,7221,1781,6472,1695,71363,5138,47410,4184,29975,3154,23953,2099,10238,1926,4883,1096,13715,1901,8605,1589,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18652,2025,4972,1249,2362,768,2049,757,2610,989,515,338,477,340,2095,934,1819,818,13680,1809,8425,1731,5425,1461,5255,1411,2219,1004,1453,722,3036,1103,2824,1099,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1177906,16088,189538,7255,77108,4193,62572,3880,112430,6532,24039,2357,18784,2198,88391,5745,76039,5076,988368,15115,660449,12340,409445,10772,327919,8960,131599,5740,74049,4540,196320,7411,116529,5472,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47283,3349,7231,1415,2398,827,1445,715,4833,1039,631,486,631,486,4202,1086,3785,1023,40052,3432,26690,2982,16449,2043,13362,2352,5667,1522,3494,1278,7695,1666,5370,1403,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40634,3749,9861,2035,1999,793,1440,598,7862,1759,1254,700,1117,664,6608,1536,5438,1512,30773,3311,17015,2491,11050,1891,13758,2372,4169,1343,3088,1113,9589,1855,7157,1671,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5468,1024,863,520,131,165,43,73,732,494,77,96,77,96,655,477,520,420,4605,856,2609,728,2106,629,1996,653,1111,493,369,408,885,426,680,391,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,121488,6135,17816,2288,8719,2029,5240,1414,9097,1558,2244,935,1881,873,6853,1298,5994,1230,103672,5976,69064,5129,37574,4524,34608,3758,15343,2411,8134,1910,19265,2833,12087,2296,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
