B20005D_075E,B20005D_075M,B20005D_076E,B20005D_076M,B20005D_077E,B20005D_077M,B20005D_078E,B20005D_078M,B20005D_079E,B20005D_079M,B20005D_080E,B20005D_080M,B20005D_081E,B20005D_081M,B20005D_082E,B20005D_082M,B20005D_083E,B20005D_083M,B20005D_084E,B20005D_084M,B20005D_085E,B20005D_085M,B20005D_086E,B20005D_086M,B20005D_087E,B20005D_087M,B20005D_088E,B20005D_088M,B20005D_089E,B20005D_089M,B20005D_090E,B20005D_090M,B20005D_091E,B20005D_091M,B20005D_092E,B20005D_092M,B20005D_093E,B20005D_093M,B20005D_094E,B20005D_094M,B20005D_095E,B20005D_095M,GEO_ID,B20005D_001E,B20005D_001M,B20005D_002E,B20005D_002M,B20005D_003E,B20005D_003M,B20005D_004E,B20005D_004M,B20005D_005E,B20005D_005M,B20005D_006E,B20005D_006M,B20005D_007E,B20005D_007M,B20005D_008E,B20005D_008M,B20005D_009E,B20005D_009M,B20005D_010E,B20005D_010M,B20005D_011E,B20005D_011M,B20005D_012E,B20005D_012M,B20005D_013E,B20005D_013M,B20005D_014E,B20005D_014M,B20005D_015E,B20005D_015M,B20005D_016E,B20005D_016M,B20005D_017E,B20005D_017M,B20005D_018E,B20005D_018M,B20005D_019E,B20005D_019M,B20005D_020E,B20005D_020M,B20005D_021E,B20005D_021M,B20005D_022E,B20005D_022M,B20005D_023E,B20005D_023M,B20005D_024E,B20005D_024M,B20005D_025E,B20005D_025M,B20005D_026E,B20005D_026M,B20005D_027E,B20005D_027M,B20005D_028E,B20005D_028M,B20005D_029E,B20005D_029M,B20005D_030E,B20005D_030M,B20005D_031E,B20005D_031M,B20005D_032E,B20005D_032M,B20005D_033E,B20005D_033M,B20005D_034E,B20005D_034M,B20005D_035E,B20005D_035M,B20005D_036E,B20005D_036M,B20005D_037E,B20005D_037M,B20005D_038E,B20005D_038M,B20005D_039E,B20005D_039M,B20005D_040E,B20005D_040M,B20005D_041E,B20005D_041M,B20005D_042E,B20005D_042M,B20005D_043E,B20005D_043M,B20005D_044E,B20005D_044M,B20005D_045E,B20005D_045M,B20005D_046E,B20005D_046M,B20005D_047E,B20005D_047M,B20005D_048E,B20005D_048M,B20005D_049E,B20005D_049M,B20005D_050E,B20005D_050M,B20005D_051E,B20005D_051M,B20005D_052E,B20005D_052M,B20005D_053E,B20005D_053M,B20005D_054E,B20005D_054M,B20005D_055E,B20005D_055M,B20005D_056E,B20005D_056M,B20005D_057E,B20005D_057M,B20005D_058E,B20005D_058M,B20005D_059E,B20005D_059M,B20005D_060E,B20005D_060M,B20005D_061E,B20005D_061M,B20005D_062E,B20005D_062M,B20005D_063E,B20005D_063M,B20005D_064E,B20005D_064M,B20005D_065E,B20005D_065M,B20005D_066E,B20005D_066M,B20005D_067E,B20005D_067M,B20005D_068E,B20005D_068M,B20005D_069E,B20005D_069M,B20005D_070E,B20005D_070M,B20005D_071E,B20005D_071M,B20005D_072E,B20005D_072M,B20005D_073E,B20005D_073M,B20005D_074E,B20005D_074M,B20005D_075EA,B20005D_075MA,B20005D_076EA,B20005D_076MA,B20005D_077EA,B20005D_077MA,B20005D_078MA,B20005D_078EA,B20005D_079MA,B20005D_079EA,B20005D_080EA,B20005D_080MA,B20005D_081EA,B20005D_081MA,B20005D_082EA,B20005D_082MA,B20005D_083EA,B20005D_083MA,B20005D_084MA,B20005D_084EA,B20005D_085EA,B20005D_085MA,B20005D_086EA,B20005D_086MA,B20005D_087EA,B20005D_087MA,B20005D_088MA,B20005D_088EA,B20005D_089MA,B20005D_089EA,B20005D_090MA,B20005D_090EA,B20005D_091EA,B20005D_091MA,B20005D_092EA,B20005D_092MA,B20005D_093EA,B20005D_093MA,B20005D_094EA,B20005D_094MA,B20005D_095MA,B20005D_095EA,NAME,B20005D_001MA,B20005D_001EA,B20005D_002MA,B20005D_002EA,B20005D_003EA,B20005D_003MA,B20005D_004MA,B20005D_004EA,B20005D_005EA,B20005D_005MA,B20005D_006EA,B20005D_006MA,B20005D_007MA,B20005D_007EA,B20005D_008MA,B20005D_008EA,B20005D_009MA,B20005D_009EA,B20005D_010EA,B20005D_010MA,B20005D_011EA,B20005D_011MA,B20005D_012MA,B20005D_012EA,B20005D_013MA,B20005D_013EA,B20005D_014EA,B20005D_014MA,B20005D_015EA,B20005D_015MA,B20005D_016EA,B20005D_016MA,B20005D_017EA,B20005D_017MA,B20005D_018MA,B20005D_018EA,B20005D_019MA,B20005D_019EA,B20005D_020EA,B20005D_020MA,B20005D_021EA,B20005D_021MA,B20005D_022EA,B20005D_022MA,B20005D_023MA,B20005D_023EA,B20005D_024MA,B20005D_024EA,B20005D_025EA,B20005D_025MA,B20005D_026EA,B20005D_026MA,B20005D_027EA,B20005D_027MA,B20005D_028EA,B20005D_028MA,B20005D_029MA,B20005D_029EA,B20005D_030EA,B20005D_030MA,B20005D_031EA,B20005D_031MA,B20005D_032EA,B20005D_032MA,B20005D_033MA,B20005D_033EA,B20005D_034MA,B20005D_034EA,B20005D_035MA,B20005D_035EA,B20005D_036EA,B20005D_036MA,B20005D_037EA,B20005D_037MA,B20005D_038MA,B20005D_038EA,B20005D_039EA,B20005D_039MA,B20005D_040MA,B20005D_040EA,B20005D_041EA,B20005D_041MA,B20005D_042EA,B20005D_042MA,B20005D_043EA,B20005D_043MA,B20005D_044EA,B20005D_044MA,B20005D_045MA,B20005D_045EA,B20005D_046MA,B20005D_046EA,B20005D_047EA,B20005D_047MA,B20005D_048EA,B20005D_048MA,B20005D_049EA,B20005D_049MA,B20005D_050EA,B20005D_050MA,B20005D_051MA,B20005D_051EA,B20005D_052MA,B20005D_052EA,B20005D_053EA,B20005D_053MA,B20005D_054EA,B20005D_054MA,B20005D_055MA,B20005D_055EA,B20005D_056MA,B20005D_056EA,B20005D_057MA,B20005D_057EA,B20005D_058EA,B20005D_058MA,B20005D_059EA,B20005D_059MA,B20005D_060MA,B20005D_060EA,B20005D_061EA,B20005D_061MA,B20005D_062MA,B20005D_062EA,B20005D_063EA,B20005D_063MA,B20005D_064EA,B20005D_064MA,B20005D_065EA,B20005D_065MA,B20005D_066MA,B20005D_066EA,B20005D_067MA,B20005D_067EA,B20005D_068MA,B20005D_068EA,B20005D_069EA,B20005D_069MA,B20005D_070MA,B20005D_070EA,B20005D_071MA,B20005D_071EA,B20005D_072EA,B20005D_072MA,B20005D_073MA,B20005D_073EA,B20005D_074EA,B20005D_074MA,state
5823,1000,844,466,313,238,1035,475,374,254,760,328,222,233,321,213,390,346,182,101,69,65,134,177,0,200,242,219,170,182,146,161,458,293,102,173,0,200,61,111,0,200,0400000US01,53089,2384,25318,1390,12996,1618,0,200,12996,1618,0,200,0,200,0,200,26,48,119,147,148,180,502,684,425,399,580,380,199,133,962,523,619,457,860,408,433,276,1097,454,267,251,679,406,1179,448,1272,643,3629,1029,12322,1417,6606,1174,5716,1082,906,450,425,307,569,329,483,458,341,275,136,181,337,321,72,117,83,88,392,377,223,200,186,236,392,410,182,291,0,200,70,111,304,293,40,70,311,281,264,252,27771,1927,9081,1579,0,200,9081,1579,0,200,0,200,92,121,42,77,466,427,506,413,378,298,301,230,503,341,119,135,682,423,315,280,66,92,627,346,931,727,623,514,746,292,882,527,1109,506,693,432,18690,2003,12867,1857,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
5625,1196,325,226,731,576,1039,572,163,169,436,358,153,144,662,589,53,63,331,280,436,523,252,254,330,305,233,180,180,253,0,153,118,157,7,15,0,153,176,261,0,153,0400000US02,38812,1467,17942,1086,8766,1247,0,153,8766,1247,0,153,0,153,91,97,292,405,95,125,0,153,21,46,125,174,264,206,554,460,529,350,981,587,532,407,1018,479,943,419,689,437,487,294,548,439,656,357,941,400,9176,1378,3669,753,5507,1225,497,388,265,203,379,275,372,375,248,137,189,171,164,173,102,115,294,357,481,627,778,465,207,151,253,277,704,537,20,38,28,37,62,97,295,359,128,129,41,54,20870,1054,9193,1132,0,153,9193,1132,0,153,0,153,0,153,75,116,113,115,498,653,403,345,286,293,581,486,547,490,717,483,1210,668,1127,614,426,220,319,238,922,614,418,238,742,431,318,222,491,337,11677,1116,6052,1015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
27082,2264,4162,1087,1798,603,1937,656,2222,763,3321,1116,1474,537,1533,671,998,484,1181,531,859,562,1215,545,1192,449,846,496,487,357,290,261,744,491,606,297,287,274,710,366,1220,489,0400000US04,193323,3313,89463,2169,45737,2091,28,45,45709,2103,0,208,60,80,739,482,181,102,300,263,670,331,876,409,1888,969,847,498,963,490,2701,885,1813,591,1973,751,2496,807,1452,613,2085,755,3222,696,3994,1022,6502,1281,12947,1763,43726,2690,24207,3028,19519,2112,2804,896,2696,1135,1430,477,1965,916,1806,828,767,478,832,353,208,231,711,385,270,258,1054,737,1610,693,581,318,380,361,141,139,118,118,234,208,511,382,350,251,1051,463,103860,2141,34198,2100,0,208,34198,2100,156,154,0,208,690,338,211,126,1041,430,499,372,361,220,731,340,1312,603,429,277,2246,727,2680,997,2356,734,2358,745,970,408,1947,576,2650,859,2714,665,4942,1175,5905,1213,69662,2612,42580,2246,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
615008,12767,75580,4740,49896,3514,56403,3673,42414,3290,64124,3496,22317,2497,37448,2780,18744,2092,34788,2819,14887,2227,24872,2482,26012,2405,19644,2545,17767,2026,10604,1800,14163,1930,15023,1899,13918,1778,24986,2075,31418,2677,0400000US06,4847638,14570,2253415,8234,1130960,11074,362,370,1130598,11050,2244,738,783,385,6244,1037,4845,1182,12635,1948,8447,1764,13777,2150,14189,1882,32636,3208,19958,2638,45272,3769,67791,4517,53628,3759,61130,3935,45867,2982,60172,4465,87560,4835,71117,4513,138380,6186,383923,8823,1122455,12109,650482,9589,471973,10318,55693,3707,37349,2926,39127,3261,30902,3044,47885,3376,18502,2394,26282,2867,16417,2235,25910,2429,11718,1679,18923,1950,21070,2369,13604,1721,11872,1715,8431,1557,12690,2029,10548,1412,11196,1371,17412,1984,36442,3142,2594223,9396,941261,14324,124,121,941137,14304,805,397,1225,498,6136,937,4123,970,15572,1764,6993,1440,15424,2335,18353,2593,37115,3263,21325,2377,46124,3543,62577,4170,52300,4145,64281,4325,46570,3482,55334,3511,81119,4732,67257,4211,124337,5232,214167,6787,1652962,16223,1037954,13665,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
24867,2428,3638,1012,2433,809,1837,611,2305,676,2623,971,957,499,1082,740,512,301,1876,642,318,203,811,445,1342,641,1209,599,794,368,519,318,357,236,789,407,229,226,142,179,1094,521,0400000US08,143242,3224,65827,2021,36059,2356,0,200,36059,2356,58,96,101,129,173,194,83,112,741,445,356,269,680,556,531,443,1734,648,1082,648,1725,618,2248,850,1365,628,1031,586,1675,700,1408,567,2495,733,1658,546,8258,1349,8657,1086,29768,2368,13151,1362,16617,2049,3092,837,1558,758,1750,822,1397,551,1765,739,54,87,708,512,510,313,681,331,116,135,919,516,604,392,659,361,87,143,495,283,262,214,247,224,349,224,796,378,568,356,77415,2270,28237,1975,0,200,28237,1975,0,200,81,136,404,267,265,192,557,413,279,235,1020,463,859,514,1518,674,1223,547,1341,437,1814,626,2400,730,2817,835,1535,560,1715,644,1749,546,1755,533,3374,831,3531,868,49178,2802,24311,2104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
18851,1931,2922,769,1905,711,1899,675,1351,724,2440,894,788,524,935,492,983,553,913,425,522,379,662,358,811,419,217,198,339,197,75,96,333,242,309,258,339,267,591,291,517,290,0400000US09,135540,2146,63297,1635,36725,2597,0,207,36725,2597,0,207,0,207,79,95,180,184,81,102,0,207,944,732,58,99,552,405,411,283,1310,620,2486,1059,1579,632,1520,626,1210,606,2525,794,2881,859,2106,729,6016,1316,12787,1888,26572,2083,12317,1522,14255,1657,2011,578,752,527,1050,504,875,503,1183,695,837,506,417,351,443,378,1335,557,219,240,454,249,595,343,431,340,702,540,383,405,239,254,252,209,237,221,533,338,1307,585,72243,1575,24897,2038,0,207,24897,2038,75,127,0,207,81,105,168,183,714,394,366,311,123,149,454,364,866,528,118,143,1277,621,1482,622,1415,732,1060,591,1318,619,1636,797,2347,832,1254,564,3391,760,6752,1395,47346,2451,28495,2303,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
60456,3909,8625,1466,5544,1331,4710,1055,4659,1231,6929,1413,3695,1140,4339,1125,2826,857,3294,882,829,489,1965,704,2012,848,1579,709,870,362,863,358,992,465,1323,661,1622,637,1663,602,2117,847,0400000US12,491217,6533,221227,4462,110689,4444,0,226,110689,4444,35,52,254,182,1095,620,543,406,1557,714,1222,578,2779,1032,2916,1126,4132,1299,3121,973,8680,2138,5709,1414,6693,1502,5346,1246,4588,944,4836,1164,7623,1523,8697,1905,12885,2018,27978,2966,110538,4818,64739,4162,45799,3509,5971,1465,3198,873,3299,894,3596,1200,4105,1205,2737,913,3290,856,2086,707,3444,1259,894,542,2273,714,2559,855,823,360,1729,717,299,262,850,464,1117,491,697,435,1403,700,1429,538,269990,4144,96527,4133,0,226,96527,4133,133,197,765,608,711,582,669,506,1823,673,1729,741,3731,1382,2556,1100,5929,1212,4117,1109,6708,1570,8669,1644,7591,1572,5570,1310,3393,1026,4903,1163,7540,1518,7782,1989,10529,1742,11679,1792,173463,4744,113007,4969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
