GEO_ID,B22005E_001E,B22005E_001M,B22005E_002E,B22005E_002M,B22005E_003E,B22005E_003M,NAME,B22005E_001EA,B22005E_001MA,B22005E_002MA,B22005E_002EA,B22005E_003MA,B22005E_003EA,state
0400000US01,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,01
0400000US02,1995,554,12,12,1983,558,Alaska,null,null,null,null,null,null,02
0400000US04,3565,920,464,293,3101,892,Arizona,null,null,null,null,null,null,04
0400000US05,2127,545,222,204,1905,548,Arkansas,null,null,null,null,null,null,05
0400000US06,41521,2778,5772,1373,35749,2754,California,null,null,null,null,null,null,06
0400000US08,1527,741,673,734,854,361,Colorado,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
0400000US12,2912,935,544,409,2368,855,Florida,null,null,null,null,null,null,12
0400000US13,1802,763,294,292,1508,688,Georgia,null,null,null,null,null,null,13
0400000US15,38304,2776,11011,1851,27293,2360,Hawaii,null,null,null,null,null,null,15
0400000US16,1383,632,320,297,1063,608,Idaho,null,null,null,null,null,null,16
0400000US17,1344,591,332,342,1012,470,Illinois,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,18
0400000US19,1451,648,750,469,701,401,Iowa,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,20
0400000US21,1457,715,248,344,1209,676,Kentucky,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,25
0400000US26,731,431,83,99,648,390,Michigan,null,null,null,null,null,null,26
0400000US27,1051,608,94,117,957,578,Minnesota,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
0400000US29,2001,735,571,410,1430,665,Missouri,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
0400000US32,6523,1018,1315,674,5208,1083,Nevada,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
0400000US34,694,397,228,235,466,321,New Jersey,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,35
0400000US36,2602,776,572,382,2030,687,New York,null,null,null,null,null,null,36
0400000US37,2068,883,226,219,1842,870,North Carolina,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
0400000US39,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,39
0400000US40,1579,776,737,673,842,405,Oklahoma,null,null,null,null,null,null,40
0400000US41,4565,994,1035,504,3530,946,Oregon,null,null,null,null,null,null,41
0400000US42,1391,695,242,258,1149,596,Pennsylvania,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
0400000US45,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
0400000US47,1477,803,60,79,1417,779,Tennessee,null,null,null,null,null,null,47
0400000US48,6887,1502,725,442,6162,1483,Texas,null,null,null,null,null,null,48
0400000US49,5209,925,1238,586,3971,919,Utah,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
0400000US51,null,null,null,null,null,null,Virginia,null,null,null,null,null,null,51
0400000US53,13257,1665,2729,938,10528,1818,Washington,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
0400000US55,957,598,515,477,442,344,Wisconsin,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
