GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001MA,B19001D_001EA,B19001D_002EA,B19001D_002MA,B19001D_003MA,B19001D_003EA,B19001D_004MA,B19001D_004EA,B19001D_005MA,B19001D_005EA,B19001D_006EA,B19001D_006MA,B19001D_007EA,B19001D_007MA,B19001D_008EA,B19001D_008MA,B19001D_009MA,B19001D_009EA,B19001D_010MA,B19001D_010EA,B19001D_011EA,B19001D_011MA,B19001D_012MA,B19001D_012EA,B19001D_013EA,B19001D_013MA,B19001D_014MA,B19001D_014EA,B19001D_015MA,B19001D_015EA,B19001D_016EA,B19001D_016MA,B19001D_017EA,B19001D_017MA,state
0400000US01,20968,1578,2619,951,598,321,920,602,757,552,726,501,124,134,705,412,566,392,904,500,1059,594,1767,641,2761,875,2538,730,2047,594,1368,539,1509,732,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11826,1151,709,383,73,90,576,372,216,245,550,522,759,507,306,243,287,197,136,120,1352,600,1581,801,1386,648,1238,536,1134,452,806,333,717,505,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,76277,3171,6250,1285,2538,852,1759,617,3055,942,2652,1015,3059,845,2026,806,2187,813,2108,816,5081,1190,6938,1481,10180,1745,9734,1480,4353,939,5764,1139,8593,1315,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15308,1353,1299,623,431,380,616,431,290,241,415,332,1348,668,369,348,504,330,307,295,1472,666,1914,621,2316,753,1753,605,185,173,1173,500,916,456,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1808321,12479,100600,5250,66319,3975,58336,3573,61817,3785,44030,3861,53741,3735,48414,2972,50334,3983,45646,3123,94487,4434,137759,6266,205461,7981,191234,7419,140769,5385,204688,6553,304686,7071,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55713,2851,3101,775,1213,528,1521,628,1896,638,1447,650,1176,429,2013,855,1956,647,3191,915,3482,918,4776,1210,8068,1325,7144,1293,3563,854,5469,1133,5697,993,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54315,2463,2573,855,1376,735,1319,625,1095,605,1073,559,2288,784,1744,723,1534,714,2256,845,3751,1314,4021,1089,8284,1196,6152,1329,3693,826,4671,1021,8485,1403,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12713,858,1020,496,76,100,218,214,98,91,407,241,154,170,242,226,540,331,295,202,735,366,826,453,1961,608,1233,523,904,431,2083,727,1921,578,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11194,971,978,382,205,238,195,273,43,77,132,135,103,127,0,208,375,278,164,175,557,347,1238,549,1904,717,1514,588,841,329,1195,495,1750,499,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,179863,4406,11602,1845,5452,1065,7118,1555,6886,1348,6792,1514,7117,1547,8821,1548,7226,1436,5574,1264,11488,1500,19764,2571,20223,2242,17875,2107,11463,1668,13507,1805,18955,2192,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,125307,3839,6749,1388,2252,798,3232,910,3647,1022,4099,1145,3735,1064,5106,1445,3809,1165,3758,1125,10456,1952,13802,2137,17354,2476,12658,2114,7811,1444,10077,1631,16762,1867,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,178442,3559,9992,1631,5641,1002,5142,1051,4230,989,5446,1034,4000,891,6536,1183,5971,1070,6209,1413,10844,1411,15789,1728,25260,2462,20124,1953,15748,1815,18768,1944,18742,1720,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
