GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,NAME,B17020F_001MA,B17020F_001EA,B17020F_002MA,B17020F_002EA,B17020F_003EA,B17020F_003MA,B17020F_004EA,B17020F_004MA,B17020F_005EA,B17020F_005MA,B17020F_006MA,B17020F_006EA,B17020F_007MA,B17020F_007EA,B17020F_008MA,B17020F_008EA,B17020F_009MA,B17020F_009EA,B17020F_010EA,B17020F_010MA,B17020F_011EA,B17020F_011MA,B17020F_012EA,B17020F_012MA,B17020F_013MA,B17020F_013EA,B17020F_014MA,B17020F_014EA,B17020F_015EA,B17020F_015MA,B17020F_016EA,B17020F_016MA,B17020F_017EA,B17020F_017MA,state
0400000US01,65607,6694,24542,4853,3592,1219,4881,1264,3751,1213,11591,2751,561,541,143,167,23,40,41065,6345,4747,1880,5483,1603,4170,1128,23495,3218,2739,1350,143,162,288,467,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,416063,21031,87669,10683,10409,2679,13173,2451,11200,2637,45735,5987,5661,1664,850,500,641,639,328394,18278,24014,3648,30792,3560,31829,4111,209955,11409,25480,2606,4507,1173,1817,771,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,91224,7759,25141,4897,4215,1276,5337,1471,4053,1223,10984,2450,435,246,61,100,56,89,66083,7524,6231,1778,7753,1750,7478,1961,40534,4425,3643,1264,444,446,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5814825,64836,1045168,34111,136743,9191,148856,8520,135204,7416,536523,17589,64773,5116,16896,2017,6173,1357,4769657,59986,371473,12004,414996,12831,444235,12310,3055869,35778,376105,11942,77999,5088,28980,2741,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,216674,11637,35759,5857,4428,1567,4688,1623,5829,1618,16975,3052,3547,1140,229,171,63,67,180915,11249,12523,2471,18151,2425,16328,2131,115667,7455,13989,2007,3004,893,1253,701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,186811,12654,49803,7986,5909,1840,7226,2321,5157,1552,27788,4521,2926,850,465,348,332,520,137008,11713,10600,2065,12625,2295,12866,2490,90091,8003,8633,2174,1686,815,507,564,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18034,3424,5973,2696,1873,1285,1133,906,334,355,2107,994,278,300,78,126,170,267,12061,2995,721,531,1183,755,1510,616,7513,1936,1127,741,7,12,0,198,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39093,4981,6487,3397,1418,1347,958,953,337,290,2989,1548,692,440,93,153,0,208,32606,3887,3156,1490,4215,989,2360,745,20411,2608,2254,752,0,208,210,302,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,595456,29679,100665,11791,11393,2726,15283,4382,10173,3100,53066,5472,6906,1897,3238,1498,606,484,494791,27500,35395,3791,40143,5106,41577,5681,322648,17762,41110,4599,10666,2157,3252,1235,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
