GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001MA,C15010B_001EA,C15010B_002MA,C15010B_002EA,C15010B_003EA,C15010B_003MA,C15010B_004MA,C15010B_004EA,C15010B_005MA,C15010B_005EA,C15010B_006MA,C15010B_006EA,state
0400000US01,140364,5625,37021,3090,13881,2589,33831,3373,27265,2359,28366,2845,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2501,988,800,507,520,461,364,415,19,26,798,441,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46974,4202,15456,2143,6471,1785,10494,2008,5006,1311,9547,1706,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,43888,3872,13132,2788,4203,1166,9033,1818,7957,1871,9563,1952,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,396939,10968,135822,5966,31601,2947,83797,5174,30967,2898,114752,5566,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41187,3439,13900,2237,3651,1082,10589,2035,2350,688,10697,1896,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,48871,4251,15620,2167,6160,1679,9719,2090,4479,1299,12893,2294,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30830,2802,8580,2216,2603,926,9069,1782,3924,1009,6654,1484,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58167,4287,24061,2627,4633,1076,12551,2299,5024,1220,11898,1939,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,402237,14036,112907,6229,57075,5078,97382,6801,51484,5335,83389,6170,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,485165,11975,151385,8027,45614,4441,126736,7508,57370,4853,104060,6531,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5458,1204,1947,837,343,300,1971,849,366,278,831,473,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,246067,8824,71182,4850,24337,2658,56302,4558,31572,2940,62674,5259,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,73706,4959,18025,2802,9969,2115,20659,2939,8213,1659,16840,2582,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11258,1889,3745,1292,456,370,3001,1134,1425,665,2631,938,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20245,2106,5519,1101,1844,815,5476,1125,2307,815,5099,1055,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,42622,3753,12313,1874,3418,1010,8817,1499,5418,1513,12656,2065,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,136452,8097,32921,3072,15134,3048,29146,3417,27295,3140,31956,3313,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2111,706,785,377,475,342,302,320,116,163,433,222,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,358259,9553,126049,5835,37685,3386,78983,5169,37207,3809,78335,4660,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,87437,5015,32601,3226,10810,1798,17097,2499,7081,1641,19848,2853,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,152526,6979,40315,3711,16612,2499,37649,3275,19019,2424,38931,2998,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,43151,3357,17126,2314,4870,1230,9874,1961,2614,954,8667,1891,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,105737,5793,25625,2809,11550,2120,20951,2383,24310,2695,23301,2598,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,74614,5192,18864,2682,8079,1654,19753,2457,9949,1502,17969,2340,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,9629,1570,2283,821,1271,561,2978,873,628,325,2469,949,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,32469,3512,7805,1822,2848,1012,8518,1843,3864,1585,9434,1455,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3523,1068,1836,708,749,500,170,166,395,406,373,268,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,198178,8091,68270,4724,20350,3350,46617,3893,17930,2750,45011,4035,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,6255,1417,1978,895,683,465,1470,573,1026,560,1098,540,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,501805,12309,160269,7853,53605,4084,107488,5306,51400,3870,129043,7558,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,304658,9134,95127,5965,26212,2750,72343,4805,37959,3696,73017,5406,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3414,1392,1404,1052,728,689,751,474,94,131,437,355,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,153023,7488,46356,4004,15125,2363,36601,3340,18361,2644,36580,3930,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,34775,3469,9383,1506,3704,1076,7805,1550,5373,1682,8510,1471,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,14272,2403,6248,1408,1469,638,2703,1441,1303,677,2549,1077,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,174529,7380,50339,3998,19216,2912,40539,3777,18607,2707,45828,3684,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,8266,1491,2468,817,600,385,2419,1039,580,454,2199,830,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,128683,6140,32901,3593,10651,1899,30404,3725,24638,2593,30089,3775,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,142633,6441,38812,4243,13554,1920,34964,3413,21855,2488,33448,4664,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,522444,16760,164340,9347,60454,5778,137164,8421,54416,4505,106070,7362,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,6086,1238,1922,577,389,312,1459,653,772,633,1544,800,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,266317,9299,89343,4855,22295,2802,66316,3779,30373,2905,57990,4756,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,45833,3284,19297,2523,4241,1019,9242,1734,1796,464,11257,1765,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,7092,1366,1546,651,968,577,1764,821,1021,425,1793,724,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,30506,3032,9719,2034,3478,901,5312,1157,3597,920,8400,1687,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,60506,5312,12678,2312,8357,1695,18291,2710,12473,2100,8707,1845,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
