GEO_ID,B16005E_001E,B16005E_001M,B16005E_002E,B16005E_002M,B16005E_003E,B16005E_003M,B16005E_004E,B16005E_004M,B16005E_005E,B16005E_005M,B16005E_006E,B16005E_006M,B16005E_007E,B16005E_007M,B16005E_008E,B16005E_008M,B16005E_009E,B16005E_009M,B16005E_010E,B16005E_010M,B16005E_011E,B16005E_011M,NAME,B16005E_001MA,B16005E_001EA,B16005E_002EA,B16005E_002MA,B16005E_003EA,B16005E_003MA,B16005E_004MA,B16005E_004EA,B16005E_005MA,B16005E_005EA,B16005E_006MA,B16005E_006EA,B16005E_007MA,B16005E_007EA,B16005E_008EA,B16005E_008MA,B16005E_009MA,B16005E_009EA,B16005E_010MA,B16005E_010EA,B16005E_011MA,B16005E_011EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8004,599,6079,1584,2844,1157,3235,1615,2143,1432,1092,952,1925,1641,1292,1722,633,375,288,247,345,330,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,14575,1704,10244,1583,7576,1902,2668,975,2406,905,262,267,4331,1512,1312,600,3019,1531,1673,888,1346,1159,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7574,1708,2088,973,1056,577,1032,755,700,681,332,476,5486,1411,238,273,5248,1386,688,412,4560,1265,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,146236,5164,107875,6209,74747,6116,33128,3891,29465,3972,3663,1200,38361,3606,5714,1597,32647,3349,20418,2840,12229,1782,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7765,1745,6394,1710,5955,1817,439,294,319,213,120,193,1371,536,564,308,807,490,517,434,290,207,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13260,3371,10976,3289,8130,2895,2846,1319,2807,1319,39,70,2284,1046,823,624,1461,730,456,480,1005,501,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
