GEO_ID,B17010F_001E,B17010F_001M,B17010F_002E,B17010F_002M,B17010F_003E,B17010F_003M,B17010F_004E,B17010F_004M,B17010F_005E,B17010F_005M,B17010F_006E,B17010F_006M,B17010F_007E,B17010F_007M,B17010F_008E,B17010F_008M,B17010F_009E,B17010F_009M,B17010F_010E,B17010F_010M,B17010F_011E,B17010F_011M,B17010F_012E,B17010F_012M,B17010F_013E,B17010F_013M,B17010F_014E,B17010F_014M,B17010F_015E,B17010F_015M,B17010F_016E,B17010F_016M,B17010F_017E,B17010F_017M,B17010F_018E,B17010F_018M,B17010F_019E,B17010F_019M,B17010F_020E,B17010F_020M,B17010F_021E,B17010F_021M,B17010F_022E,B17010F_022M,B17010F_023E,B17010F_023M,B17010F_024E,B17010F_024M,B17010F_025E,B17010F_025M,B17010F_026E,B17010F_026M,B17010F_027E,B17010F_027M,B17010F_028E,B17010F_028M,B17010F_029E,B17010F_029M,B17010F_030E,B17010F_030M,B17010F_031E,B17010F_031M,B17010F_032E,B17010F_032M,B17010F_033E,B17010F_033M,B17010F_034E,B17010F_034M,B17010F_035E,B17010F_035M,B17010F_036E,B17010F_036M,B17010F_037E,B17010F_037M,B17010F_038E,B17010F_038M,B17010F_039E,B17010F_039M,B17010F_040E,B17010F_040M,B17010F_041E,B17010F_041M,NAME,B17010F_001MA,B17010F_001EA,B17010F_002MA,B17010F_002EA,B17010F_003MA,B17010F_003EA,B17010F_004MA,B17010F_004EA,B17010F_005MA,B17010F_005EA,B17010F_006EA,B17010F_006MA,B17010F_007MA,B17010F_007EA,B17010F_008MA,B17010F_008EA,B17010F_009MA,B17010F_009EA,B17010F_010MA,B17010F_010EA,B17010F_011EA,B17010F_011MA,B17010F_012MA,B17010F_012EA,B17010F_013MA,B17010F_013EA,B17010F_014MA,B17010F_014EA,B17010F_015MA,B17010F_015EA,B17010F_016EA,B17010F_016MA,B17010F_017EA,B17010F_017MA,B17010F_018MA,B17010F_018EA,B17010F_019MA,B17010F_019EA,B17010F_020MA,B17010F_020EA,B17010F_021EA,B17010F_021MA,B17010F_022EA,B17010F_022MA,B17010F_023EA,B17010F_023MA,B17010F_024MA,B17010F_024EA,B17010F_025MA,B17010F_025EA,B17010F_026EA,B17010F_026MA,B17010F_027EA,B17010F_027MA,B17010F_028EA,B17010F_028MA,B17010F_029MA,B17010F_029EA,B17010F_030MA,B17010F_030EA,B17010F_031MA,B17010F_031EA,B17010F_032EA,B17010F_032MA,B17010F_033EA,B17010F_033MA,B17010F_034MA,B17010F_034EA,B17010F_035MA,B17010F_035EA,B17010F_036MA,B17010F_036EA,B17010F_037EA,B17010F_037MA,B17010F_038EA,B17010F_038MA,B17010F_039EA,B17010F_039MA,B17010F_040MA,B17010F_040EA,B17010F_041MA,B17010F_041EA,state
0400000US01,11689,1882,4529,1081,2951,1034,2628,1003,179,266,1425,761,1024,698,323,307,1578,629,454,319,454,319,0,200,342,318,112,128,0,200,1124,540,1124,540,315,264,448,384,361,343,0,200,7160,1865,5014,1685,3249,985,315,250,1254,786,1680,577,1765,1186,2146,799,1457,706,945,598,165,159,264,305,516,495,512,328,689,426,540,376,6,14,211,225,323,339,149,184,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,88658,5727,17295,2242,7817,1620,6641,1420,474,392,2884,1077,3283,897,1176,558,9478,1980,2257,986,1186,634,198,203,320,338,668,398,1071,719,7221,1781,6472,1695,545,405,2856,1234,3071,1030,749,421,71363,5138,47410,4184,29975,3154,3590,1003,7482,1900,18903,2544,17435,2683,23953,2099,10238,1926,4883,1096,1143,531,740,461,3000,882,5355,1351,13715,1901,8605,1589,1285,566,1589,611,5731,1379,5110,1076,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18652,2025,4972,1249,2362,768,2049,757,118,119,979,546,952,580,313,224,2610,989,515,338,477,340,199,252,145,188,133,154,38,63,2095,934,1819,818,235,241,697,579,887,547,276,429,13680,1809,8425,1731,5425,1461,522,543,1235,672,3668,1084,3000,941,5255,1411,2219,1004,1453,722,317,358,341,333,795,551,766,594,3036,1103,2824,1099,95,105,249,203,2480,1103,212,235,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1177906,16088,189538,7255,77108,4193,62572,3880,5006,1130,23446,2383,34120,2598,14536,1853,112430,6532,24039,2357,18784,2198,2620,1034,6956,1441,9208,1679,5255,1053,88391,5745,76039,5076,9423,1720,24968,2747,41648,3519,12352,2066,988368,15115,660449,12340,409445,10772,50187,3712,100415,5501,258843,8723,251004,7882,327919,8960,131599,5740,74049,4540,11979,1923,18374,2479,43696,3861,57550,4203,196320,7411,116529,5472,14165,1943,21994,2527,80370,4557,79791,4910,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47283,3349,7231,1415,2398,827,1445,715,87,146,884,541,474,348,953,471,4833,1039,631,486,631,486,296,339,212,256,123,192,0,200,4202,1086,3785,1023,373,404,1405,710,2007,842,417,374,40052,3432,26690,2982,16449,2043,2719,1097,3101,912,10629,1677,10241,1837,13362,2352,5667,1522,3494,1278,731,715,125,163,2638,931,2173,943,7695,1666,5370,1403,820,608,929,496,3621,1142,2325,834,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40634,3749,9861,2035,1999,793,1440,598,83,140,520,365,837,434,559,405,7862,1759,1254,700,1117,664,202,252,437,411,478,365,137,222,6608,1536,5438,1512,471,323,1911,828,3056,1233,1170,528,30773,3311,17015,2491,11050,1891,1019,629,2696,1048,7335,1481,5965,1335,13758,2372,4169,1343,3088,1113,1078,832,78,125,1932,858,1081,567,9589,1855,7157,1671,986,606,1119,540,5052,1427,2432,868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,121488,6135,17816,2288,8719,2029,5240,1414,550,467,2530,1117,2160,816,3479,1214,9097,1558,2244,935,1881,873,373,413,309,353,1199,647,363,240,6853,1298,5994,1230,634,461,1414,722,3946,1022,859,534,103672,5976,69064,5129,37574,4524,5454,1378,7330,1849,24790,3591,31490,3084,34608,3758,15343,2411,8134,1910,1999,935,923,680,5212,1658,7209,1611,19265,2833,12087,2296,1705,745,2034,909,8348,1964,7178,1540,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
