GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001EA,C21001B_001MA,C21001B_002EA,C21001B_002MA,C21001B_003MA,C21001B_003EA,C21001B_004MA,C21001B_004EA,C21001B_005EA,C21001B_005MA,C21001B_006EA,C21001B_006MA,C21001B_007EA,C21001B_007MA,C21001B_008MA,C21001B_008EA,C21001B_009MA,C21001B_009EA,C21001B_010EA,C21001B_010MA,C21001B_011EA,C21001B_011MA,C21001B_012EA,C21001B_012MA,C21001B_013EA,C21001B_013MA,C21001B_014EA,C21001B_014MA,C21001B_015EA,C21001B_015MA,state
0400000US01,979941,4461,442807,2565,379786,2534,43313,3277,336473,3507,63021,1376,21492,2000,41529,1857,537134,2922,444310,2808,10128,1623,434182,3286,92824,1468,1355,674,91469,1499,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15496,1404,8932,990,7693,1034,1903,723,5790,968,1239,375,814,338,425,355,6564,777,6094,820,673,399,5421,823,470,285,85,137,385,261,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,225222,4095,118281,2595,105414,2587,12499,2154,92915,3433,12867,960,5974,934,6893,1084,106941,2871,92060,2726,1994,833,90066,2908,14881,846,313,263,14568,862,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,332727,3257,154844,2123,133765,2093,12706,1786,121059,2335,21079,1264,6287,1079,14792,1536,177883,2201,149835,2051,2459,882,147376,2190,28048,1226,167,156,27881,1241,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1777005,11226,863979,7901,743762,7994,81948,4962,661814,8620,120217,1599,54822,2539,65395,2699,913026,5766,746747,5603,12367,2227,734380,5805,166279,2054,2895,801,163384,2138,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,169688,4140,89640,3009,80282,2951,12797,1994,67485,3449,9358,832,4595,950,4763,1148,80048,2381,68989,2413,2486,1005,66503,2389,11059,577,315,266,10744,668,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,287990,5166,134512,3135,118179,3259,5068,1339,113111,3403,16333,670,3644,770,12689,923,153478,3342,128997,3357,773,439,128224,3366,24481,700,45,78,24436,707,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159468,2339,72369,1835,61959,1780,9011,1707,52948,2386,10410,264,4833,941,5577,909,87099,1108,72446,1101,2367,993,70079,1396,14653,233,289,335,14364,427,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250187,1661,109153,929,91347,824,6538,1555,84809,1728,17806,378,7001,942,10805,938,141034,1221,110924,963,1677,698,109247,1121,30110,633,189,174,29921,675,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2511035,13551,1180727,8183,1027120,8045,89196,6030,937924,8989,153607,2592,35794,3046,117813,3528,1330308,8499,1116502,8284,21902,2596,1094600,8821,213806,3165,2720,676,211086,3187,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2433455,9097,1104054,5550,977548,5370,108557,5437,868991,7296,126506,1866,45356,2823,81150,2991,1329401,5478,1131635,5420,36434,3893,1095201,6422,197766,2379,2745,645,195021,2477,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14615,1591,8570,1274,8013,1230,3725,1111,4288,1231,557,173,306,171,251,169,6045,956,5165,934,2281,832,2884,770,880,304,0,187,880,304,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1369496,6918,626291,4503,537950,4461,37798,2711,500152,5046,88341,1156,27049,1980,61292,2097,743205,4578,604677,4280,6049,1457,598628,4300,138528,1327,1698,670,136830,1503,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,449655,4515,208947,3702,182703,3582,16873,2131,165830,3785,26244,997,11972,1277,14272,1223,240708,2941,201597,2979,3901,1095,197696,3192,39111,1443,699,375,38412,1433,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,74027,2198,39829,1673,36570,1653,2263,779,34307,1890,3259,765,1292,439,1967,714,34198,1667,31434,1717,538,389,30896,1655,2764,396,108,158,2656,421,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,120767,3199,62229,2224,55550,2225,7171,1200,48379,2383,6679,517,3176,577,3503,638,58538,1992,50154,1871,1046,586,49108,1922,8384,687,47,62,8337,691,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,266002,4490,127387,3750,112641,3647,12890,1874,99751,3595,14746,981,6130,948,8616,1126,138615,2675,116036,2603,3123,991,112913,2453,22579,1485,227,165,22352,1487,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1105411,5355,508473,3516,439088,3665,31131,3294,407957,4839,69385,1493,19447,1999,49938,2384,596938,3363,496010,3345,7426,1794,488584,3803,100928,1295,837,459,100091,1326,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
