GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001EA,B25032F_001MA,B25032F_002EA,B25032F_002MA,B25032F_003MA,B25032F_003EA,B25032F_004EA,B25032F_004MA,B25032F_005EA,B25032F_005MA,B25032F_006EA,B25032F_006MA,B25032F_007MA,B25032F_007EA,B25032F_008MA,B25032F_008EA,B25032F_009MA,B25032F_009EA,B25032F_010EA,B25032F_010MA,B25032F_011EA,B25032F_011MA,state
0400000US01,16916,2232,7175,1337,378,454,317,308,1402,702,815,543,354,410,924,817,0,200,5523,1321,28,41,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,113157,6114,71906,4504,4710,1181,1861,877,5177,1416,4592,1268,4912,1373,3552,1182,5061,1199,11237,2482,149,214,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,23264,2486,15852,2083,479,430,411,416,656,483,413,531,2233,1100,30,67,35,68,3155,874,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1435380,15156,754531,11352,94667,5111,46051,3802,106537,6303,107918,5582,90917,5625,89291,4637,86455,4771,57556,4018,1457,736,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64563,3794,33866,2720,3395,1010,1863,769,3548,1098,4010,1223,6214,1592,3248,1028,4049,1372,4370,1052,0,200,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,58004,3780,13581,2315,2893,973,9985,2011,15885,2371,6109,1394,3034,1054,2857,885,3660,1091,0,207,0,207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9882,1561,673,451,1261,483,244,214,508,381,912,390,1633,828,1738,793,2913,1093,0,208,0,208,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,166072,7728,80830,4842,10473,2004,7077,1442,10296,1660,10782,1983,13660,2186,9266,2091,12048,1731,11568,2171,72,122,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,68924,4080,39374,3474,1507,738,2400,837,2772,904,4122,1487,4021,1447,1501,672,3515,1175,9593,1950,119,222,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17696,2350,11034,2098,596,475,969,692,488,488,440,405,215,317,227,308,97,170,3618,1195,12,28,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,207915,7620,97995,5526,8131,1719,32054,2955,27271,3161,19160,2848,9611,2059,5143,1329,4920,1331,3559,1053,71,115,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,35893,2517,23094,2307,1961,1042,2328,964,2708,964,1904,645,1480,639,309,257,671,424,1438,699,0,197,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11363,1485,7723,1287,94,79,127,120,465,304,925,497,584,431,97,158,81,136,1267,738,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,18632,1894,12523,1651,1046,468,328,299,1267,714,954,586,993,543,320,229,110,175,1059,449,32,54,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,10835,1788,5668,1496,385,279,803,458,367,289,887,517,1023,669,291,305,92,119,1319,803,0,195,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22211,2178,10066,1620,1317,540,1757,682,1686,764,665,386,1044,597,876,576,400,351,4400,1148,0,214,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,69831,3602,27112,2739,12661,2056,1257,642,846,462,8480,1696,13789,1872,1555,728,3000,1108,1131,576,0,203,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,80965,5386,13477,1925,6840,1493,14135,2215,17606,2582,10980,2127,6853,1714,3970,1112,6716,1547,388,446,0,210,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
