GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,NAME,B15002B_001EA,B15002B_001MA,B15002B_002EA,B15002B_002MA,B15002B_003EA,B15002B_003MA,B15002B_004MA,B15002B_004EA,B15002B_005MA,B15002B_005EA,B15002B_006EA,B15002B_006MA,B15002B_007EA,B15002B_007MA,B15002B_008EA,B15002B_008MA,B15002B_009MA,B15002B_009EA,B15002B_010MA,B15002B_010EA,B15002B_011EA,B15002B_011MA,B15002B_012EA,B15002B_012MA,B15002B_013EA,B15002B_013MA,B15002B_014EA,B15002B_014MA,B15002B_015MA,B15002B_015EA,B15002B_016MA,B15002B_016EA,B15002B_017EA,B15002B_017MA,B15002B_018EA,B15002B_018MA,B15002B_019EA,B15002B_019MA,state
0400000US01,833006,5562,371055,3349,19230,2381,51818,3969,127685,5213,20808,2446,78505,5421,25542,2873,32832,2833,14635,2008,461951,4046,16371,1995,53040,4822,124931,5205,16033,2141,113716,5286,44963,4033,58262,3705,34635,3238,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13931,1192,8421,1107,385,312,348,311,2425,895,578,484,2351,905,1105,783,834,482,395,303,5510,635,372,294,91,116,1326,839,267,298,1328,722,854,515,1008,690,264,218,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,192907,3336,100818,2021,2940,1030,6560,1110,23941,2978,4385,1082,31217,2836,7896,1617,15194,2330,8685,1542,92089,2377,3039,1027,5476,1385,19730,2338,2873,949,27459,2961,10417,2213,13405,2296,9690,1895,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,278042,3752,128251,2340,5613,1167,17441,2244,45530,2679,10030,1576,26067,2832,6215,1380,11212,1795,6143,1953,149791,2517,6232,1180,17151,2205,40435,3239,5109,1283,40532,2930,13799,1793,15740,1980,10793,1828,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1553323,9368,749693,6932,20408,2636,63112,3565,171611,7018,27080,2669,221256,7572,70982,4794,119907,6000,55337,4399,803630,5060,21676,2782,56330,3609,161731,6462,15441,2183,243368,8298,83389,5631,135082,6407,86613,4313,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,146066,3214,78153,2465,2543,1065,5134,1439,20056,2818,5005,1446,18149,2271,6171,1308,14060,1803,7035,1357,67913,1945,1790,743,3728,945,15091,2109,2513,1286,16197,1743,8502,1780,13048,2082,7044,1451,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,245862,3912,113314,2362,6414,1661,11823,1856,41055,3193,5169,1200,20876,2292,9206,1753,12067,1830,6704,1306,132548,2605,5448,1475,9062,1629,40835,3401,4489,1423,31688,3467,10926,1951,17171,2295,12929,1987,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,137339,2258,61340,1656,1812,682,4731,1078,24322,2405,2748,1032,13072,2179,3026,970,7867,1577,3762,1051,75999,1081,1621,644,4505,942,24717,2371,1942,778,16729,2119,7284,1495,10508,1858,8693,1729,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217915,1591,94751,813,4314,1079,9538,1681,26872,2749,5642,1578,18920,2484,4310,1500,14811,2311,10344,1790,123164,1153,4141,1025,11355,1880,35544,3113,4454,1068,27756,2758,6902,1493,17664,2765,15348,1817,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2137020,10359,991133,7186,57672,4179,117116,7762,309437,10542,55770,4441,202349,8186,88059,6096,109873,7275,50857,3967,1145887,6637,62646,5035,111877,6797,308208,9634,40596,3645,242098,9317,138955,6135,149697,7754,91810,6145,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
