B17001B_019M,B17001B_020E,B17001B_020M,B17001B_021E,B17001B_021M,B17001B_022E,B17001B_022M,B17001B_023E,B17001B_023M,B17001B_024E,B17001B_024M,B17001B_025E,B17001B_025M,B17001B_026E,B17001B_026M,B17001B_027E,B17001B_027M,B17001B_028E,B17001B_028M,B17001B_029E,B17001B_029M,B17001B_030E,B17001B_030M,B17001B_031E,B17001B_031M,B17001B_032E,B17001B_032M,B17001B_033E,B17001B_033M,B17001B_034E,B17001B_034M,B17001B_035E,B17001B_035M,B17001B_036E,B17001B_036M,B17001B_037E,B17001B_037M,B17001B_038E,B17001B_038M,B17001B_039E,B17001B_039M,B17001B_040E,B17001B_040M,B17001B_041E,B17001B_041M,B17001B_042E,B17001B_042M,B17001B_043E,B17001B_043M,B17001B_044E,B17001B_044M,B17001B_045E,B17001B_045M,B17001B_046E,B17001B_046M,B17001B_047E,B17001B_047M,B17001B_048E,B17001B_048M,B17001B_049E,B17001B_049M,B17001B_050E,B17001B_050M,B17001B_051E,B17001B_051M,B17001B_052E,B17001B_052M,B17001B_053E,B17001B_053M,B17001B_054E,B17001B_054M,B17001B_055E,B17001B_055M,B17001B_056E,B17001B_056M,B17001B_057E,B17001B_057M,B17001B_058E,B17001B_058M,B17001B_059E,B17001B_059M,GEO_ID,B17001B_001E,B17001B_001M,B17001B_002E,B17001B_002M,B17001B_003E,B17001B_003M,B17001B_004E,B17001B_004M,B17001B_005E,B17001B_005M,B17001B_006E,B17001B_006M,B17001B_007E,B17001B_007M,B17001B_008E,B17001B_008M,B17001B_009E,B17001B_009M,B17001B_010E,B17001B_010M,B17001B_011E,B17001B_011M,B17001B_012E,B17001B_012M,B17001B_013E,B17001B_013M,B17001B_014E,B17001B_014M,B17001B_015E,B17001B_015M,B17001B_016E,B17001B_016M,B17001B_017E,B17001B_017M,B17001B_018E,B17001B_018M,B17001B_019E,B17001B_019MA,B17001B_020MA,B17001B_020EA,B17001B_021MA,B17001B_021EA,B17001B_022EA,B17001B_022MA,B17001B_023EA,B17001B_023MA,B17001B_024EA,B17001B_024MA,B17001B_025EA,B17001B_025MA,B17001B_026MA,B17001B_026EA,B17001B_027EA,B17001B_027MA,B17001B_028EA,B17001B_028MA,B17001B_029EA,B17001B_029MA,B17001B_030EA,B17001B_030MA,B17001B_031MA,B17001B_031EA,B17001B_032MA,B17001B_032EA,B17001B_033MA,B17001B_033EA,B17001B_034EA,B17001B_034MA,B17001B_035EA,B17001B_035MA,B17001B_036MA,B17001B_036EA,B17001B_037MA,B17001B_037EA,B17001B_038MA,B17001B_038EA,B17001B_039EA,B17001B_039MA,B17001B_040EA,B17001B_040MA,B17001B_041MA,B17001B_041EA,B17001B_042MA,B17001B_042EA,B17001B_043MA,B17001B_043EA,B17001B_044EA,B17001B_044MA,B17001B_045EA,B17001B_045MA,B17001B_046MA,B17001B_046EA,B17001B_047MA,B17001B_047EA,B17001B_048MA,B17001B_048EA,B17001B_049EA,B17001B_049MA,B17001B_050EA,B17001B_050MA,B17001B_051MA,B17001B_051EA,B17001B_052MA,B17001B_052EA,B17001B_053MA,B17001B_053EA,B17001B_054MA,B17001B_054EA,B17001B_055EA,B17001B_055MA,B17001B_056MA,B17001B_056EA,B17001B_057MA,B17001B_057EA,B17001B_058MA,B17001B_058EA,B17001B_059MA,B17001B_059EA,NAME,B17001B_001MA,B17001B_001EA,B17001B_002MA,B17001B_002EA,B17001B_003MA,B17001B_003EA,B17001B_004MA,B17001B_004EA,B17001B_005EA,B17001B_005MA,B17001B_006EA,B17001B_006MA,B17001B_007MA,B17001B_007EA,B17001B_008MA,B17001B_008EA,B17001B_009MA,B17001B_009EA,B17001B_010MA,B17001B_010EA,B17001B_011EA,B17001B_011MA,B17001B_012EA,B17001B_012MA,B17001B_013EA,B17001B_013MA,B17001B_014EA,B17001B_014MA,B17001B_015MA,B17001B_015EA,B17001B_016EA,B17001B_016MA,B17001B_017EA,B17001B_017MA,B17001B_018EA,B17001B_018MA,B17001B_019EA,state
1346,21601,2595,8527,1527,2371,870,4359,1202,24181,3322,31186,2905,23466,3085,16797,1954,20104,1965,9781,1286,8813,1375,914281,14847,432754,7644,23543,2553,4584,1410,31995,3084,18706,2599,5189,1128,12421,1850,47316,3559,65827,3619,59118,2414,55749,2663,57176,1869,35823,1732,15307,1348,481527,9409,19227,2358,2681,940,32891,3008,14991,2322,7239,1669,14190,2441,42854,3435,69301,3528,67593,3407,69012,2642,69965,2120,46013,1911,25570,1791,0400000US01,1257686,7317,343405,15195,147116,7371,19993,2151,4566,1514,24089,2753,9833,1979,4205,1400,6409,1445,18649,2909,13854,2542,10740,1911,12366,2101,13439,1451,6306,1044,2667,737,196289,9584,20371,2195,4732,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
450,4081,1689,1132,604,375,366,422,308,3836,1227,6455,1477,3976,1139,3699,1154,2866,830,1366,614,769,456,227554,8560,119682,4905,8241,1618,1219,802,8628,1817,5887,1431,955,625,3990,1058,12453,1603,23471,1600,16737,1767,13269,1663,13777,1082,7468,850,3587,698,107872,4646,6531,1209,1316,815,9255,1442,3339,1189,1794,799,3738,1026,9796,1693,17023,1845,15541,1374,14362,1425,12639,1053,7616,744,4922,926,0400000US04,290451,6866,62897,8246,28675,3900,3105,1208,411,319,3132,1204,1638,852,595,471,1035,517,3930,1341,3739,1477,3707,1226,3903,1440,1971,673,898,400,611,333,34222,5317,4873,1208,372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1016,6952,1484,3245,847,1610,813,1388,595,8317,1354,8553,1504,8500,1445,6527,1371,6794,1174,3431,724,3865,851,315955,9096,151477,5236,10051,1616,2976,1068,12902,1933,6954,1618,2729,867,5312,1202,16037,2136,20858,2475,19120,1712,20442,1382,18237,1553,11327,1491,4532,671,164478,5574,7608,1722,1408,647,15191,2137,5478,1452,2685,978,4861,1362,16733,1894,21233,2379,22982,1713,23154,1666,23356,1382,12973,1060,6816,922,0400000US05,436253,5277,120298,8817,52175,4744,6525,1477,1061,609,7453,1645,2974,1087,1408,683,2181,672,7033,1626,6424,1744,3607,813,4301,1256,5260,1128,3281,988,667,323,68123,5518,6903,1587,2038,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
966,22044,2779,8531,1961,3847,1003,7966,1742,29454,3297,38843,3728,29327,3808,28973,2648,29789,2957,15001,2111,11302,1803,1721638,20932,848678,13078,44024,3028,9087,1642,58526,4248,33270,3728,9189,1553,21030,2437,82371,4207,147727,4444,112527,4261,121266,3757,108548,3330,63117,1890,37996,1316,872960,12746,39975,3289,8097,1556,55042,3376,28891,3220,8048,1573,20426,2246,75390,3863,140231,4280,114353,3904,126831,2972,122339,2995,77620,2371,55717,1958,0400000US06,2175485,19672,453847,19929,204454,10797,20522,2292,3670,1116,22082,3538,8990,1900,3705,964,8453,1765,27017,3462,27289,3252,18132,2389,22385,2457,27950,2796,9530,1427,4729,1033,249393,13045,21512,3413,2804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
200,1555,827,929,660,125,139,483,477,2287,943,3512,959,2398,788,1168,470,2446,764,671,420,303,218,185415,7485,97156,4426,6654,1072,1685,877,7719,1489,4156,1132,1500,667,2260,798,9323,1499,18414,1927,14265,1571,13107,1315,10578,939,4560,756,2935,457,88259,4351,7075,1511,1054,669,7211,1721,3582,1133,1540,699,2141,450,8959,1182,13844,1425,13146,1235,10549,1185,9170,905,5926,647,4062,574,0400000US08,218979,6236,33564,5138,16863,3375,1449,824,269,407,2122,930,706,468,0,200,864,505,2522,977,2132,1178,1732,715,2079,831,1574,599,1211,643,203,172,16701,2787,707,469,117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
165,4280,1427,1032,620,422,477,746,489,3657,1335,4404,1350,3672,1233,2943,856,2580,910,1991,571,1306,535,306321,8948,143228,4826,9659,1390,1040,659,13058,1799,6721,1599,2126,764,3819,936,15480,1745,23792,1543,19003,1508,19715,1573,15115,1295,9201,631,4499,488,163093,5989,8906,1442,2645,1079,12249,2063,5717,1344,1530,780,5056,1022,12904,1477,26283,1725,21817,1662,24657,1305,21072,1192,11379,709,8878,761,0400000US09,363242,7238,56921,8189,26944,3838,2785,1004,477,375,3330,1395,596,382,392,428,1474,743,2508,911,3664,1092,2511,897,3637,1175,3971,1025,1023,454,576,318,29977,5235,2760,1091,184,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
132,3380,1406,678,513,401,318,308,284,2260,1016,3013,1134,2738,1024,2770,892,3612,926,1791,664,1345,632,158049,6812,74693,3066,3732,910,970,483,6687,1254,3588,1330,599,344,2152,741,8170,1040,10217,1586,8844,1244,10500,851,10052,925,6058,511,3124,498,83356,4719,3421,1188,478,428,4970,1290,4561,1278,903,556,2850,910,6540,1265,12862,1454,11676,1126,13557,1005,10844,900,7140,652,3554,631,0400000US10,199431,3646,41382,5859,16564,2863,2117,903,108,141,1808,858,854,549,248,238,1126,608,1297,661,2974,1198,2192,873,1752,762,1292,606,540,329,256,249,24818,4017,2444,898,78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
656,3526,1049,2632,1041,478,452,1252,645,3859,1307,7407,1189,5145,1152,4482,1068,5554,1374,3222,889,2272,664,226682,7183,104909,3238,6229,1289,1347,534,7610,1504,2936,782,1199,434,1879,564,9322,1119,20811,1055,13502,949,12972,958,14241,1084,7882,832,4979,646,121773,5381,4807,1432,856,508,6751,1458,3127,1129,755,571,2472,766,9171,1348,20792,1203,15298,1198,16415,1082,17477,1413,12570,862,11282,761,0400000US11,305419,3559,78737,6627,32165,2993,4031,1260,440,310,4806,1319,1312,588,992,416,978,464,3169,850,2204,864,3083,816,3618,1003,3962,1077,2067,776,1503,587,46572,5101,5763,1557,980,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
1716,49763,4459,20639,2790,5960,1467,11682,1950,43313,4690,61865,5261,43960,4173,34666,3477,40256,3745,21195,2634,16525,1911,2556138,35557,1213545,18790,73566,5401,15064,2423,99265,5472,51919,5028,17211,2464,34566,2973,135383,5361,197401,7026,171993,5387,158838,4383,137415,4057,78229,2946,42695,2579,1342593,20890,74478,4584,16215,2735,97411,6295,49414,4525,17915,2454,39822,3076,132212,5269,205332,6650,189056,4774,187212,4534,163693,4756,107894,3395,61939,2160,0400000US12,3272357,19352,716219,30311,320259,15906,42573,4620,5301,1742,48993,5183,21596,3305,5636,1444,13585,2650,42245,4674,31503,4306,26036,3176,25177,3154,30044,3365,17391,2628,10179,1897,395960,17500,39128,3940,7008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
