GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002MA,B17020D_002EA,B17020D_003MA,B17020D_003EA,B17020D_004MA,B17020D_004EA,B17020D_005EA,B17020D_005MA,B17020D_006EA,B17020D_006MA,B17020D_007MA,B17020D_007EA,B17020D_008MA,B17020D_008EA,B17020D_009MA,B17020D_009EA,B17020D_010EA,B17020D_010MA,B17020D_011EA,B17020D_011MA,B17020D_012EA,B17020D_012MA,B17020D_013MA,B17020D_013EA,B17020D_014MA,B17020D_014EA,B17020D_015MA,B17020D_015EA,B17020D_016EA,B17020D_016MA,B17020D_017EA,B17020D_017MA,state
0400000US01,65580,3068,10131,2992,262,249,496,414,921,691,6687,1843,1680,906,14,19,71,127,55449,3844,4046,967,4751,1141,5467,1090,34000,2922,5799,888,1308,590,78,109,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,48527,2204,7718,4797,1174,1305,1539,1278,1237,712,3191,1769,145,151,210,286,222,301,40809,4559,2411,1174,2633,1057,2879,1151,26091,2337,5540,764,1014,460,241,203,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,228244,4873,26026,3591,1020,729,334,215,583,298,19689,3121,3239,895,1122,538,39,71,202218,5188,13573,1401,14354,1908,13859,1670,127465,3625,24785,1693,5506,836,2676,828,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,46993,3229,6338,2135,1039,784,257,300,356,475,3969,1397,712,398,5,9,0,201,40655,3345,3032,832,3758,954,4089,1383,24664,2135,4483,877,557,397,72,107,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5685508,20635,583716,18764,32062,3509,32412,3161,39198,3564,339720,13020,83794,4872,38360,3959,18170,2249,5101792,23086,301509,6652,309754,6940,320271,6854,3099303,17759,766441,9807,218794,5614,85720,4349,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,175701,4115,16113,3005,628,368,833,527,1231,611,10331,1733,2100,1057,932,506,58,99,159588,4431,9433,1383,14738,1447,13562,1795,98751,3362,17492,1423,3637,873,1975,764,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,160349,3160,15472,3274,776,399,861,519,1488,671,11629,2471,407,308,266,171,45,78,144877,4289,8291,1009,10110,1423,10620,1357,96606,2991,15542,1201,2931,692,777,382,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38151,1678,4531,1201,40,72,292,262,20,33,3828,1093,351,291,0,198,0,198,33620,2049,2748,515,2525,558,2300,717,21114,1563,3452,687,1120,423,361,277,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27119,1754,4070,1040,81,136,0,208,63,115,3348,868,375,333,203,231,0,208,23049,1798,1413,512,694,434,423,237,18107,1292,1759,480,518,412,135,139,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,582172,7779,73005,7330,4944,1455,3649,1128,5593,1484,45607,4756,8441,1841,3280,1046,1491,707,509167,9360,26431,2655,32429,3186,36971,2794,313638,6723,76492,3169,18670,1972,4536,1141,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,401740,7341,37641,4898,2026,840,3312,1335,2677,1118,24931,3303,3320,1112,1176,612,199,198,364099,8792,26307,2383,26363,2099,26661,2732,232233,5572,41178,2829,9499,1107,1858,642,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,537205,8714,32201,3665,505,320,783,437,1430,623,14059,2277,8528,1684,4137,991,2759,689,505004,9690,22366,2289,22281,2488,27467,2235,271028,6877,102435,3055,37501,2067,21926,1741,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22821,3375,4919,2075,171,218,342,435,407,293,3649,1530,285,277,65,105,0,201,17902,3333,1409,742,1940,905,1161,459,10770,2060,2164,718,416,358,42,79,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,682707,6515,74813,6251,2979,1163,3578,984,4985,978,51160,4412,8511,1968,2403,703,1197,715,607894,9284,40802,2451,42544,2302,40757,2548,374095,5954,82690,3623,22147,1892,4859,1148,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,140070,4344,21303,4056,618,478,1705,1753,831,378,16355,2385,1382,790,264,252,148,188,118767,5970,9793,1757,10021,1962,10887,1523,77059,3942,8859,1434,1387,590,761,407,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,79572,2848,11667,2463,733,565,424,334,379,309,9675,1881,396,304,60,105,0,163,67905,3396,6930,1302,6050,1116,4796,1216,42682,2285,5949,1163,1207,452,291,340,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,84300,3152,11718,3021,449,310,772,762,1160,588,8154,1974,783,486,400,385,0,177,72582,4133,5262,1100,5577,1158,5057,969,47216,2808,7847,1329,1530,664,93,110,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,63791,2771,10743,2994,1251,580,1009,435,1183,578,6501,1685,663,386,136,161,0,195,53048,3717,4263,923,4651,1027,5320,1096,33471,2874,4137,1062,1105,503,101,92,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,83060,2216,13193,2493,886,374,1260,813,737,432,7588,1550,1819,758,531,537,372,272,69867,3150,5352,1047,5539,1501,4113,881,45064,2246,7906,1404,1257,556,636,468,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13970,1230,1770,817,0,175,209,300,151,135,712,402,462,367,232,268,4,11,12200,1333,999,523,711,364,1192,467,7608,1048,1537,544,141,171,12,22,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,385753,4371,26819,4397,1162,511,1642,999,1277,647,15574,3057,3985,1090,2306,794,873,536,358934,5464,23164,1886,25506,1717,26354,2161,220378,4219,48041,2024,12018,1335,3473,987,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
