GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001MA,B11002F_001EA,B11002F_002MA,B11002F_002EA,B11002F_003EA,B11002F_003MA,B11002F_004EA,B11002F_004MA,B11002F_005MA,B11002F_005EA,B11002F_006MA,B11002F_006EA,B11002F_007MA,B11002F_007EA,B11002F_008MA,B11002F_008EA,B11002F_009EA,B11002F_009MA,B11002F_010EA,B11002F_010MA,B11002F_011MA,B11002F_011EA,B11002F_012MA,B11002F_012EA,state
0400000US01,62399,6777,55122,6705,36515,7622,35541,7528,974,1021,9292,3216,7986,2803,1306,648,9315,2994,8161,2665,1154,730,7277,2064,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10391,2797,9283,2883,5921,2623,5921,2623,0,153,1662,1327,1523,1193,139,172,1700,1571,1418,1301,282,358,1108,500,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,405137,23539,370513,23848,233784,18462,231624,18305,2160,1044,50094,9790,42910,8749,7184,2094,86635,11849,80591,11198,6044,1421,34624,4534,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,88805,8003,82121,7804,44585,7490,44503,7473,82,140,13407,5033,12171,4788,1236,760,24129,6570,22896,6352,1233,662,6684,2102,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5792149,67147,5379395,69260,3448888,62616,3389115,62222,59773,7158,663431,27860,574630,24488,88801,6502,1267076,42389,1156101,37604,110975,8099,412754,18916,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,205634,12722,182630,12560,110799,11386,109637,11188,1162,902,23281,6634,20379,5767,2902,1408,48550,8534,45333,7957,3217,1432,23004,3225,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,182079,13558,158045,13864,77934,11027,77181,10925,753,568,20679,5109,17302,4082,3377,1214,59432,9217,55646,8594,3786,1204,24034,4282,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36615,5414,29414,4897,14661,3819,13914,3424,747,976,5401,2735,4899,2435,502,482,9352,4516,9071,4301,281,341,7201,2493,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,557875,30006,494950,28612,304177,23515,300057,23213,4120,1882,73613,10540,63758,9297,9855,2347,117160,15421,108494,14372,8666,2352,62925,5999,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
