C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,GEO_ID,C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008EA,C21001F_008MA,C21001F_009EA,C21001F_009MA,C21001F_010EA,C21001F_010MA,C21001F_011EA,C21001F_011MA,C21001F_012EA,C21001F_012MA,C21001F_013EA,C21001F_013MA,C21001F_014EA,C21001F_014MA,C21001F_015MA,C21001F_015EA,NAME,C21001F_001EA,C21001F_001MA,C21001F_002EA,C21001F_002MA,C21001F_003EA,C21001F_003MA,C21001F_004EA,C21001F_004MA,C21001F_005MA,C21001F_005EA,C21001F_006MA,C21001F_006EA,C21001F_007MA,C21001F_007EA,state
595,490,19008,2675,17261,2132,174,295,17087,2100,1747,1067,0,200,1747,1067,0400000US01,39809,4396,20801,2797,19558,2580,455,312,19103,2575,1243,850,648,656,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
464,457,3733,1080,3070,1025,63,118,3007,1031,663,458,78,127,585,469,0400000US02,8283,1624,4550,999,4071,992,530,384,3541,938,479,455,15,26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8441,1498,149868,7870,137728,7542,593,358,137135,7464,12140,1721,109,133,12031,1716,0400000US04,307106,13673,157238,8025,146069,7723,6032,1354,140037,7681,11169,1538,2728,822,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1366,866,26773,2483,25589,2454,185,183,25404,2448,1184,486,0,201,1184,486,0400000US05,56689,4826,29916,3002,28232,2856,1177,1073,27055,2701,1684,919,318,262,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
139025,5396,2076393,23855,1869178,22156,4383,1063,1864795,22121,207215,6373,206,182,207009,6398,0400000US06,4220756,43877,2144363,26053,1985216,25388,43592,4388,1941624,25078,159147,5805,20122,2260,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3884,1129,75095,4639,67924,4421,799,493,67125,4391,7171,1201,91,94,7080,1181,0400000US08,155299,8464,80204,5039,73782,4799,4302,1155,69480,4590,6422,1283,2538,738,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4603,1185,67644,5337,62641,5083,401,521,62240,5154,5003,1417,0,207,5003,1417,0400000US09,136564,9477,68920,5906,64020,5701,1110,713,62910,5557,4900,1254,297,239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
18394,2553,216281,11841,190788,10482,1814,970,188974,10423,25493,2984,233,311,25260,2874,0400000US12,445021,20838,228740,12335,207887,11682,10534,2236,197353,11248,20853,2604,2459,816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
