GEO_ID,B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,NAME,B28009E_001MA,B28009E_001EA,B28009E_002MA,B28009E_002EA,B28009E_003EA,B28009E_003MA,B28009E_004EA,B28009E_004MA,B28009E_005MA,B28009E_005EA,B28009E_006EA,B28009E_006MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,15420,1932,14751,2081,0,208,11619,2393,3132,2707,669,730,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8251,2007,6544,1889,0,201,4262,2071,2282,1758,1707,1049,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,149558,5554,142603,5273,1849,2070,131564,5278,9190,3542,6955,2738,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7932,1790,7578,1871,0,200,6387,1765,1191,1200,354,348,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,139743,6934,130108,7291,79,109,111253,7219,18776,5531,9635,3130,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
