GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001MA,B19101D_001EA,B19101D_002EA,B19101D_002MA,B19101D_003EA,B19101D_003MA,B19101D_004EA,B19101D_004MA,B19101D_005MA,B19101D_005EA,B19101D_006MA,B19101D_006EA,B19101D_007EA,B19101D_007MA,B19101D_008MA,B19101D_008EA,B19101D_009EA,B19101D_009MA,B19101D_010EA,B19101D_010MA,B19101D_011MA,B19101D_011EA,B19101D_012MA,B19101D_012EA,B19101D_013EA,B19101D_013MA,B19101D_014EA,B19101D_014MA,B19101D_015EA,B19101D_015MA,B19101D_016MA,B19101D_016EA,B19101D_017MA,B19101D_017EA,state
0400000US01,13776,1087,1144,729,131,141,316,231,206,222,471,455,89,123,376,275,287,251,756,427,612,377,1297,541,2316,740,1836,600,1541,520,1118,493,1280,658,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8849,1138,358,405,13,25,264,206,285,307,408,504,456,425,165,186,143,157,136,117,1525,618,986,678,1187,573,857,368,706,381,777,324,583,443,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53380,2347,1393,546,1217,753,889,423,1455,641,1655,682,2111,677,1271,611,1030,429,1719,692,3225,808,5026,1229,8026,1432,7880,1260,3849,892,5096,1090,7538,1191,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10675,1282,254,261,67,104,434,329,179,216,329,321,1085,637,57,72,462,312,307,295,1302,648,972,543,1948,675,1436,538,185,173,1022,484,636,345,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1341631,11643,39632,3437,24822,2202,38789,3119,40150,3447,30887,2849,37957,3085,35480,2329,36158,3168,33191,2745,67067,3922,101323,5546,157042,5927,149648,6084,115780,5103,171246,6016,262459,7168,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,39107,2240,978,440,266,235,672,370,474,294,969,483,908,418,1425,710,772,326,2098,755,3276,896,3634,991,5617,1093,5998,1133,3249,790,4386,885,4385,817,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40021,1993,836,493,832,482,713,382,793,501,591,355,1680,781,1683,708,1149,555,1539,749,1953,820,3104,964,6229,1072,4856,1094,2708,641,3499,869,7856,1364,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9663,939,313,304,20,35,46,57,65,75,377,236,154,170,166,186,326,254,227,177,354,264,312,331,1456,536,1075,476,904,431,1970,690,1898,572,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,132998,3429,4087,1157,2536,688,4370,1061,4564,1174,3493,798,4594,1097,5929,1233,4396,1101,4530,1122,8578,1263,16637,2131,16269,2231,13831,1838,10221,1590,11835,1809,17128,2079,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
