GEO_ID,B21001D_001E,B21001D_001M,B21001D_002E,B21001D_002M,B21001D_003E,B21001D_003M,B21001D_004E,B21001D_004M,B21001D_005E,B21001D_005M,B21001D_006E,B21001D_006M,B21001D_007E,B21001D_007M,B21001D_008E,B21001D_008M,B21001D_009E,B21001D_009M,B21001D_010E,B21001D_010M,B21001D_011E,B21001D_011M,B21001D_012E,B21001D_012M,B21001D_013E,B21001D_013M,B21001D_014E,B21001D_014M,B21001D_015E,B21001D_015M,B21001D_016E,B21001D_016M,B21001D_017E,B21001D_017M,B21001D_018E,B21001D_018M,B21001D_019E,B21001D_019M,B21001D_020E,B21001D_020M,B21001D_021E,B21001D_021M,B21001D_022E,B21001D_022M,B21001D_023E,B21001D_023M,B21001D_024E,B21001D_024M,B21001D_025E,B21001D_025M,B21001D_026E,B21001D_026M,B21001D_027E,B21001D_027M,B21001D_028E,B21001D_028M,B21001D_029E,B21001D_029M,B21001D_030E,B21001D_030M,B21001D_031E,B21001D_031M,B21001D_032E,B21001D_032M,B21001D_033E,B21001D_033M,NAME,B21001D_001EA,B21001D_001MA,B21001D_002MA,B21001D_002EA,B21001D_003MA,B21001D_003EA,B21001D_004EA,B21001D_004MA,B21001D_005EA,B21001D_005MA,B21001D_006EA,B21001D_006MA,B21001D_007EA,B21001D_007MA,B21001D_008MA,B21001D_008EA,B21001D_009MA,B21001D_009EA,B21001D_010MA,B21001D_010EA,B21001D_011EA,B21001D_011MA,B21001D_012EA,B21001D_012MA,B21001D_013MA,B21001D_013EA,B21001D_014MA,B21001D_014EA,B21001D_015MA,B21001D_015EA,B21001D_016MA,B21001D_016EA,B21001D_017EA,B21001D_017MA,B21001D_018EA,B21001D_018MA,B21001D_019MA,B21001D_019EA,B21001D_020EA,B21001D_020MA,B21001D_021MA,B21001D_021EA,B21001D_022EA,B21001D_022MA,B21001D_023EA,B21001D_023MA,B21001D_024MA,B21001D_024EA,B21001D_025MA,B21001D_025EA,B21001D_026MA,B21001D_026EA,B21001D_027MA,B21001D_027EA,B21001D_028EA,B21001D_028MA,B21001D_029EA,B21001D_029MA,B21001D_030MA,B21001D_030EA,B21001D_031EA,B21001D_031MA,B21001D_032MA,B21001D_032EA,B21001D_033EA,B21001D_033MA,state
0400000US01,50679,2270,24054,1226,9444,1042,317,302,9127,1003,9467,1066,504,385,8963,1118,3197,710,38,68,3159,718,1418,438,0,200,1418,438,528,302,125,138,403,272,26625,1832,7238,1296,92,148,7146,1289,11977,1271,94,130,11883,1279,3831,759,0,200,3831,759,2636,742,61,99,2575,747,943,458,0,200,943,458,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37149,1490,16981,975,6061,717,229,297,5832,796,6099,706,114,141,5985,717,2774,394,11,21,2763,392,1435,413,332,241,1103,345,612,267,0,153,612,267,20168,1041,6077,846,0,153,6077,846,7833,874,82,114,7751,885,2999,374,20,47,2979,379,2070,397,29,47,2041,400,1189,274,0,153,1189,274,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,187815,3218,86389,2143,32921,1496,852,492,32069,1463,32716,1355,1770,700,30946,1367,10771,694,808,383,9963,755,5811,513,667,321,5144,500,4170,403,1158,683,3012,626,101426,2120,32769,1752,198,235,32571,1739,39671,1227,152,158,39519,1214,13241,770,238,186,13003,786,10353,590,0,208,10353,590,5392,449,0,208,5392,449,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4711940,13631,2179453,7675,705352,6101,11286,1735,694066,5966,779019,4460,25130,2498,753889,4626,325224,2342,14749,1795,310475,2829,220077,2377,21327,2250,198750,2970,149781,1340,23088,2198,126693,2336,2532487,8868,718894,5797,3231,1021,715663,5881,917005,4060,3712,986,913293,4096,399511,2586,1811,647,397700,2598,279361,1874,1044,487,278317,2014,217716,1762,475,276,217241,1784,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,137460,3042,62599,1903,24542,1306,147,128,24395,1332,24430,1232,858,446,23572,1226,6627,1105,373,283,6254,1076,4645,971,764,574,3881,763,2355,659,644,367,1711,658,74861,1944,24777,1553,150,199,24627,1545,29011,1085,353,306,28658,1153,9916,643,179,158,9737,674,6801,787,0,200,6801,787,4356,829,0,200,4356,829,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,131094,2010,61187,1526,23436,1149,282,302,23154,1118,24529,1072,113,197,24416,1054,7138,501,44,74,7094,507,4425,526,242,185,4183,539,1659,482,137,174,1522,477,69907,1408,25421,1073,0,207,25421,1073,28520,922,0,207,28520,922,8218,588,196,314,8022,619,5327,785,0,207,5327,785,2421,496,0,207,2421,496,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30687,1163,14224,667,5510,363,89,175,5421,305,5213,448,61,83,5152,460,1978,237,49,84,1929,249,759,360,0,198,759,360,764,385,0,198,764,385,16463,794,6327,752,0,198,6327,752,5671,623,0,198,5671,623,2163,252,0,198,2163,252,1585,389,0,198,1585,389,717,318,0,198,717,318,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,475551,5759,213010,3949,69250,3017,1332,579,67918,3021,80786,2821,3260,1187,77526,2933,30194,1377,1610,609,28584,1451,21140,1468,1861,670,19279,1492,11640,1334,1616,541,10024,1349,262541,4029,74629,3127,346,295,74283,3174,101579,2348,1807,881,99772,2445,38819,1390,375,273,38444,1378,30875,1522,110,93,30765,1506,16639,1582,194,211,16445,1594,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
