GEO_ID,B17010G_001E,B17010G_001M,B17010G_002E,B17010G_002M,B17010G_003E,B17010G_003M,B17010G_004E,B17010G_004M,B17010G_005E,B17010G_005M,B17010G_006E,B17010G_006M,B17010G_007E,B17010G_007M,B17010G_008E,B17010G_008M,B17010G_009E,B17010G_009M,B17010G_010E,B17010G_010M,B17010G_011E,B17010G_011M,B17010G_012E,B17010G_012M,B17010G_013E,B17010G_013M,B17010G_014E,B17010G_014M,B17010G_015E,B17010G_015M,B17010G_016E,B17010G_016M,B17010G_017E,B17010G_017M,B17010G_018E,B17010G_018M,B17010G_019E,B17010G_019M,B17010G_020E,B17010G_020M,B17010G_021E,B17010G_021M,B17010G_022E,B17010G_022M,B17010G_023E,B17010G_023M,B17010G_024E,B17010G_024M,B17010G_025E,B17010G_025M,B17010G_026E,B17010G_026M,B17010G_027E,B17010G_027M,B17010G_028E,B17010G_028M,B17010G_029E,B17010G_029M,B17010G_030E,B17010G_030M,B17010G_031E,B17010G_031M,B17010G_032E,B17010G_032M,B17010G_033E,B17010G_033M,B17010G_034E,B17010G_034M,B17010G_035E,B17010G_035M,B17010G_036E,B17010G_036M,B17010G_037E,B17010G_037M,B17010G_038E,B17010G_038M,B17010G_039E,B17010G_039M,B17010G_040E,B17010G_040M,B17010G_041E,B17010G_041M,NAME,B17010G_001MA,B17010G_001EA,B17010G_002EA,B17010G_002MA,B17010G_003EA,B17010G_003MA,B17010G_004MA,B17010G_004EA,B17010G_005MA,B17010G_005EA,B17010G_006MA,B17010G_006EA,B17010G_007EA,B17010G_007MA,B17010G_008EA,B17010G_008MA,B17010G_009EA,B17010G_009MA,B17010G_010MA,B17010G_010EA,B17010G_011MA,B17010G_011EA,B17010G_012MA,B17010G_012EA,B17010G_013MA,B17010G_013EA,B17010G_014MA,B17010G_014EA,B17010G_015MA,B17010G_015EA,B17010G_016MA,B17010G_016EA,B17010G_017MA,B17010G_017EA,B17010G_018MA,B17010G_018EA,B17010G_019MA,B17010G_019EA,B17010G_020EA,B17010G_020MA,B17010G_021MA,B17010G_021EA,B17010G_022MA,B17010G_022EA,B17010G_023MA,B17010G_023EA,B17010G_024MA,B17010G_024EA,B17010G_025EA,B17010G_025MA,B17010G_026MA,B17010G_026EA,B17010G_027MA,B17010G_027EA,B17010G_028MA,B17010G_028EA,B17010G_029MA,B17010G_029EA,B17010G_030EA,B17010G_030MA,B17010G_031EA,B17010G_031MA,B17010G_032EA,B17010G_032MA,B17010G_033MA,B17010G_033EA,B17010G_034MA,B17010G_034EA,B17010G_035EA,B17010G_035MA,B17010G_036EA,B17010G_036MA,B17010G_037EA,B17010G_037MA,B17010G_038MA,B17010G_038EA,B17010G_039MA,B17010G_039EA,B17010G_040EA,B17010G_040MA,B17010G_041EA,B17010G_041MA,state
0400000US01,14824,1930,3481,988,1326,555,634,379,222,299,153,159,259,222,692,424,2155,814,209,242,106,192,0,200,106,192,0,200,103,126,1946,795,1778,796,336,255,785,645,657,403,168,139,11343,1789,8243,1477,4795,1169,998,619,1483,803,2314,757,3448,860,3100,889,797,420,383,283,108,197,11,20,264,202,414,343,2303,752,1548,607,88,132,194,231,1266,528,755,355,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,39737,3491,4962,947,1714,672,1249,595,123,166,362,358,764,407,465,310,3248,803,1162,573,905,527,217,254,315,273,373,295,257,229,2086,535,1988,522,281,189,746,442,961,393,98,113,34775,3303,21892,2359,11441,1832,2733,1062,3283,1036,5425,1014,10451,1672,12883,2316,4808,1409,2977,1113,976,544,580,489,1421,736,1831,740,8075,1601,5879,1389,1501,697,631,432,3747,1238,2196,792,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15681,1785,1885,666,571,355,490,320,26,47,262,196,202,226,81,114,1314,588,74,119,74,119,0,201,0,201,74,119,0,201,1240,570,945,528,547,445,218,185,180,181,295,243,13796,1625,9716,1337,3858,936,808,496,881,483,2169,687,5858,1188,4080,1209,2098,772,1430,647,402,399,192,242,836,465,668,454,1982,791,788,493,58,101,238,385,492,308,1194,533,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,285312,9252,30775,3321,11837,1890,7740,1535,1720,701,2334,823,3686,1056,4097,1092,18938,2476,3882,1353,3043,1217,608,600,1251,839,1184,497,839,457,15056,1989,12153,1771,2316,743,3721,991,6116,1274,2903,934,254537,8583,179257,6423,93588,5564,18821,2274,19706,2163,55061,4102,85669,3886,75280,5084,25284,2983,11310,1987,2874,963,1616,671,6820,1539,13974,1602,49996,3722,29237,2970,3974,1221,3497,901,21766,2761,20759,2372,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31593,2989,3581,998,1274,516,791,425,0,200,253,211,538,381,483,318,2307,785,314,224,314,224,0,200,33,60,281,219,0,200,1993,735,1907,751,455,319,214,167,1238,750,86,134,28012,2698,20878,2424,9829,1781,2554,872,2130,732,5145,1190,11049,1602,7134,1419,2928,1029,2455,1001,47,75,569,673,1839,955,473,304,4206,1067,2951,884,175,183,98,175,2678,776,1255,495,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,84557,5432,12035,2086,4925,1301,2625,918,31,93,925,593,1669,700,2300,856,7110,1810,852,454,387,267,43,75,87,109,257,234,465,366,6258,1698,5280,1592,335,257,1685,761,3260,1291,978,464,72522,5083,50176,4378,24071,2894,3912,982,5801,1577,14358,2233,26105,3019,22346,2486,6515,1298,3702,1086,1215,717,670,658,1817,707,2813,859,15831,2049,8998,1344,1129,607,574,304,7295,1310,6833,1674,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
