GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002MA,B19101B_002EA,B19101B_003EA,B19101B_003MA,B19101B_004EA,B19101B_004MA,B19101B_005MA,B19101B_005EA,B19101B_006MA,B19101B_006EA,B19101B_007MA,B19101B_007EA,B19101B_008EA,B19101B_008MA,B19101B_009EA,B19101B_009MA,B19101B_010EA,B19101B_010MA,B19101B_011EA,B19101B_011MA,B19101B_012MA,B19101B_012EA,B19101B_013MA,B19101B_013EA,B19101B_014MA,B19101B_014EA,B19101B_015EA,B19101B_015MA,B19101B_016EA,B19101B_016MA,B19101B_017MA,B19101B_017EA,state
0400000US01,294137,7045,31651,3642,21219,2583,19469,2221,21391,2354,17695,2494,18059,2237,16680,2321,16200,2302,13183,2001,24005,3002,30052,3090,28159,2642,17228,2314,8946,1904,6418,1373,3782,897,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,60537,2614,5103,1397,3912,1095,2696,971,2286,790,2717,1114,2762,770,2082,796,2315,882,2847,1024,7369,1740,6316,1338,8008,1490,3563,908,2640,805,3183,1053,2738,874,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,102061,4186,11007,1907,7030,1290,6150,1154,7065,1934,7538,1424,7463,1662,4805,1162,5511,1427,6339,1733,7252,1346,10644,1687,10286,1834,4245,1177,2705,1133,2884,931,1137,593,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,473402,7492,28198,2976,24086,2777,18555,2554,24853,3087,19520,2341,20713,2308,20904,2530,20900,2401,19846,2663,32125,3376,45797,3781,63948,4530,39895,3389,29901,2819,32737,2423,31424,3456,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,48777,2841,3288,1013,1817,735,860,529,1185,662,1767,966,1459,652,1940,738,3225,1097,3697,1200,4749,1560,4907,1234,7142,1483,4289,1306,3547,1182,3088,830,1817,724,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,79411,3437,3485,1102,3152,1067,3186,1074,5380,1433,3654,1233,5909,1755,2401,888,4171,1382,4282,1179,6529,1453,7071,1375,11227,1579,6369,1569,4085,1073,5564,1484,2946,928,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45262,2489,4464,1261,1156,579,1938,764,3673,1405,1763,653,3150,1376,1307,645,1848,760,1898,779,4017,1064,4008,1190,5891,1413,2945,743,2029,754,2379,834,2796,953,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58265,2619,6566,1383,4278,1404,3504,996,3367,930,2188,734,2443,976,1024,522,1495,638,2103,745,3284,837,4416,949,7219,1274,5394,1165,3854,1019,3923,1020,3207,750,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,684101,9057,54001,4587,29694,2991,35713,3689,45745,3447,42735,3664,39871,3790,42442,4110,41330,3462,33578,3357,61671,4776,76205,4918,82870,5388,44442,4534,22998,2532,18146,2343,12660,2272,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,729438,11484,56068,4494,30611,3191,38161,3950,47754,4729,36856,4022,43099,3843,36061,3949,35440,4522,31265,3093,58331,4877,79275,5386,93977,5505,58279,4498,35705,4048,27952,3071,20604,2604,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
