GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001EA,B10051F_001MA,B10051F_002EA,B10051F_002MA,B10051F_003EA,B10051F_003MA,B10051F_004MA,B10051F_004EA,B10051F_005MA,B10051F_005EA,B10051F_006EA,B10051F_006MA,B10051F_007EA,B10051F_007MA,state
0400000US01,1248,842,241,203,209,192,32,54,1007,857,83,66,924,848,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,15306,2868,4454,1322,3178,1172,1276,556,10852,2285,5346,1495,5506,1644,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,250255,11663,44674,4494,29689,3923,14985,2348,205581,10535,105736,6715,99845,6935,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7282,1687,2047,871,951,548,1096,678,5235,1392,2973,1074,2262,924,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,6306,1863,1613,746,1063,610,550,430,4693,1660,3570,1603,1123,545,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18183,3302,4074,1531,3094,1434,980,495,14109,2866,6775,1847,7334,2042,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9160,2414,1729,926,1387,833,342,333,7431,1999,3492,1372,3939,1308,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,35064,4271,4555,1361,2655,935,1900,781,30509,3966,16858,2957,13651,2472,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2699,1217,723,482,669,486,54,77,1976,1057,1030,618,946,669,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1268,667,435,403,435,403,0,163,833,461,509,403,324,249,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1866,855,946,616,435,357,511,494,920,502,304,303,616,363,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,11885,2872,4122,1783,2010,1039,2112,1525,7763,2186,5136,1941,2627,1113,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6279,1579,2151,925,1547,779,604,381,4128,1298,1807,786,2321,1054,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3166,878,665,484,665,484,0,170,2501,742,1332,583,1169,487,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3418,1224,577,393,577,393,0,153,2841,1193,1445,818,1396,626,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
