GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001MA,B08105F_001EA,B08105F_002EA,B08105F_002MA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005MA,B08105F_005EA,B08105F_006EA,B08105F_006MA,B08105F_007MA,B08105F_007EA,state
0400000US01,26088,2969,19876,2629,5285,1431,0,200,330,360,297,287,300,243,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6692,1321,4827,1236,839,642,358,394,493,287,126,180,49,88,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,200984,10433,146380,8516,37770,4414,4505,1259,3315,1036,4565,1179,4449,1853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40095,4491,30598,3716,7454,1773,136,177,651,338,248,257,1008,982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2728362,30874,1987906,27738,362943,13682,156305,7802,65465,4305,76387,6330,79356,6090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,105748,6306,75997,5537,14617,2199,7265,2004,2142,903,1415,558,4312,1707,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,86074,8012,61365,6458,12566,3223,6498,1311,1933,1128,1764,807,1948,819,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19389,2428,5222,1338,1363,923,8869,2278,2073,958,1493,838,369,404,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,300142,15640,220367,12795,43778,5698,7528,1642,6441,1981,11416,2950,10612,2290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,124348,9252,81605,7134,30171,4894,2097,1109,2229,886,5025,1879,3221,1183,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12408,2294,9157,1959,1866,1123,383,343,646,351,216,259,140,154,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29371,4145,21440,3259,5289,1596,36,66,657,518,814,561,1135,659,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,381154,13833,261021,10958,60326,5799,37404,3928,9752,1828,5534,1473,7117,1796,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,53002,4076,40275,3745,8725,1667,317,287,976,441,1772,954,937,739,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,22589,3349,16776,2704,4704,1424,73,85,644,563,125,124,267,213,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,34144,3855,24640,3729,6837,1599,303,251,587,299,629,378,1148,631,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20328,3592,11688,2556,5942,1785,238,234,487,294,1220,544,753,595,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,32462,3283,22095,3041,7528,1744,592,411,634,437,319,289,1294,827,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,150789,7269,95967,6545,30001,3684,15988,2335,2396,888,2726,1259,3711,1324,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,126052,10151,74546,6921,16873,3821,18827,2922,6431,1401,6300,1773,3075,959,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53160,4491,38095,3741,9803,1824,726,453,1101,469,2638,1011,797,338,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,53996,3635,33810,3053,10727,1992,3533,1082,1548,698,2678,1288,1700,884,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,36579,4161,29028,3985,4732,1470,310,258,1138,653,361,274,1010,678,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,19046,2457,14066,2048,3239,1207,390,527,167,154,483,442,701,582,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,162878,9147,126749,7948,17322,2642,8581,2134,2581,942,4793,1410,2852,1319,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,260242,11639,148496,8231,39770,4320,37774,3624,14968,2697,13857,3418,5377,1221,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,68692,6345,55557,6033,7880,1815,235,193,1086,514,1877,903,2057,767,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,789722,21237,246270,11322,57147,5879,380451,13806,67084,6739,18237,2331,20533,2657,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,137585,8471,93313,6209,24825,4073,1508,815,2625,1020,4576,1598,10738,3049,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,51289,4687,36337,4171,9496,2175,1727,757,1370,816,595,328,1764,715,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,50484,3806,37433,3665,9227,1773,380,342,1508,565,1066,404,870,512,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,61506,6304,39926,4235,10778,2438,3022,1129,2867,1015,2467,1123,2446,1147,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,102354,7709,63434,5187,19053,3647,9847,2377,3209,978,3382,1671,3429,1436,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,21473,3664,13724,2577,5203,1807,724,496,359,257,134,155,1329,982,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,37830,4607,24225,3583,11064,2683,0,211,704,598,1734,960,103,136,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,39948,4638,27239,4259,9836,2093,398,375,713,482,442,371,1320,448,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,795563,25092,606192,21367,119479,9630,13033,2430,15696,2952,16453,2923,24710,3449,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,84106,4948,60428,4327,13648,2518,3638,1673,2100,774,1104,552,3188,1416,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,113324,8037,77897,7105,18991,3090,6983,1907,3283,1151,2526,1028,3644,1158,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,161317,8036,107669,6387,30351,3997,10188,2637,6097,1734,2000,777,5012,1788,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,59209,4526,44465,3801,8230,1753,2373,921,1379,626,1416,582,1346,631,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,149360,10088,123365,9163,9537,2336,3178,1022,6453,1839,3006,1464,3821,1677,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
