GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001MA,C17010D_001EA,C17010D_002MA,C17010D_002EA,C17010D_003MA,C17010D_003EA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007MA,C17010D_007EA,C17010D_008MA,C17010D_008EA,C17010D_009EA,C17010D_009MA,C17010D_010EA,C17010D_010MA,C17010D_011EA,C17010D_011MA,C17010D_012MA,C17010D_012EA,C17010D_013MA,C17010D_013EA,C17010D_014EA,C17010D_014MA,C17010D_015EA,C17010D_015MA,C17010D_016EA,C17010D_016MA,C17010D_017MA,C17010D_017EA,state
0400000US01,13776,1087,1765,810,1144,589,841,567,621,535,473,516,128,209,148,177,70,94,12011,1315,10668,1155,5504,980,1343,579,268,242,42,73,1075,514,483,332,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8849,1138,1015,645,694,582,694,582,321,388,0,153,0,153,321,388,321,388,7834,1110,5244,883,2467,684,2590,847,890,514,634,468,1700,728,1107,652,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53380,2347,3316,980,1612,556,480,262,1704,788,211,207,128,175,1493,793,1260,766,50064,2178,43587,2108,23718,1827,6477,1112,2111,885,1321,774,4366,861,2718,737,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10675,1282,800,495,596,400,493,355,204,232,137,207,0,201,67,104,0,201,9875,1244,8670,1161,5282,864,1205,580,506,380,314,334,699,475,207,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1341631,11643,93890,4698,54630,3317,29307,2536,39260,3482,9503,1590,4452,1044,29757,3119,19447,2475,1247741,11336,1007944,11588,494257,8057,239797,7534,78345,5136,24004,2267,161452,5929,60746,3775,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,39107,2240,2123,668,1338,497,770,343,785,400,142,179,81,137,643,369,509,324,36984,2238,29885,2084,17613,1652,7099,1264,2518,775,1538,685,4581,970,2070,727,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40021,1993,2349,863,1280,564,1116,530,1069,632,186,261,32,53,883,517,657,510,37672,2084,33247,2142,20477,2059,4425,1063,1338,589,458,332,3087,853,1536,614,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9663,939,444,315,315,312,119,113,129,122,37,45,17,30,92,117,0,198,9219,944,8619,1048,4485,800,600,334,299,236,97,157,301,232,114,129,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,132998,3429,11253,1827,6786,1412,3939,1136,4467,971,1104,554,530,321,3363,935,2825,860,121745,3456,101959,3488,51978,3250,19786,2234,7379,1446,3343,984,12407,1877,5696,1519,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
