GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001EA,B17020B_001MA,B17020B_002EA,B17020B_002MA,B17020B_003MA,B17020B_003EA,B17020B_004MA,B17020B_004EA,B17020B_005MA,B17020B_005EA,B17020B_006EA,B17020B_006MA,B17020B_007EA,B17020B_007MA,B17020B_008MA,B17020B_008EA,B17020B_009MA,B17020B_009EA,B17020B_010MA,B17020B_010EA,B17020B_011MA,B17020B_011EA,B17020B_012MA,B17020B_012EA,B17020B_013EA,B17020B_013MA,B17020B_014MA,B17020B_014EA,B17020B_015MA,B17020B_015EA,B17020B_016EA,B17020B_016MA,B17020B_017EA,B17020B_017MA,state
0400000US01,1257686,7317,343405,15195,49662,3956,45690,4018,35704,3705,167936,9764,32933,2835,8466,1360,3014,856,914281,14847,50035,3923,64886,4561,72736,4776,539256,10144,146491,4807,29712,2360,11165,1587,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20488,1931,2493,1221,71,123,124,193,302,341,1953,927,43,75,0,153,0,153,17995,2081,1441,797,1305,752,394,300,11678,1369,2792,706,385,260,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,290451,6866,62897,8246,8761,1977,7213,2272,5197,1581,35545,4548,4801,1198,1105,611,275,245,227554,8560,17307,2715,17883,2527,19703,2501,137634,5533,26518,1955,6502,1292,2007,700,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,436253,5277,120298,8817,16527,3036,14405,2478,12806,1856,59496,4240,12532,1915,2872,824,1660,569,315955,9096,22043,2663,28093,2939,28019,2903,183174,5559,43278,2946,8058,1221,3290,681,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2175485,19672,453847,19929,48508,4488,44126,5006,41492,4812,248142,11179,55548,4440,12771,1987,3260,862,1721638,20932,101183,4944,113568,5768,120854,6630,1045380,13011,246940,6449,70161,2683,23552,2077,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,218979,6236,33564,5138,2542,1276,3677,1599,3107,1520,20410,2917,3322,903,427,295,79,129,185415,7485,16468,2304,14930,2438,15179,2088,112279,4379,19562,2056,5489,895,1508,540,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,363242,7238,56921,8189,6206,1849,7610,2444,4662,1446,29997,4083,6564,1343,1528,663,354,195,306321,8948,22250,2689,25307,2747,24969,2658,181037,5471,39381,2045,10381,1079,2996,829,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,199431,3646,41382,5859,4747,1565,5188,1835,3615,1309,21230,3407,5001,1307,1131,577,470,456,158049,6812,8601,1920,11657,2215,14653,2366,92895,4323,23565,1751,5229,900,1449,486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,305419,3559,78737,6627,11214,2315,8332,1855,7644,1817,37531,3606,10241,1719,2670,713,1105,605,226682,7183,13239,2482,14361,2399,12368,1692,135162,4458,35291,2011,10799,1219,5462,1182,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3272357,19352,716219,30311,94010,7711,98756,7726,79098,6951,347230,17045,70421,4992,19930,2179,6774,1538,2556138,35557,179323,9022,196676,8997,210847,9090,1538186,21256,326472,8659,79796,3622,24838,3010,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3173691,15293,681291,29410,90207,7841,93975,7850,73721,6496,338541,14743,64354,4465,14608,2110,5885,1329,2492400,28359,164882,7239,196627,9435,215381,8996,1516245,17474,314680,6560,64906,3577,19679,2395,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10526,2641,5269,2567,419,463,1037,850,896,840,2238,1333,667,548,12,25,0,201,5257,1728,493,462,47,95,352,320,3497,1184,431,364,437,388,0,201,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1738515,11071,454712,18698,60408,5314,59040,4952,45296,4001,226729,10195,47268,3986,11176,1572,4795,1038,1283803,20479,78473,5545,90422,5391,105876,5019,759538,12031,181652,5230,53036,1950,14806,1732,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,595841,7385,160597,10069,25806,3056,21634,2919,20198,2713,78166,5484,12209,1666,1817,741,767,401,435244,10983,28550,3161,35080,3824,37868,3547,255077,7261,59191,2608,13774,1371,5704,1239,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,99289,4597,32107,4522,6364,1658,4103,1211,3239,1178,16078,2216,2230,669,93,97,0,163,67182,5395,4402,1194,6764,1845,6402,1665,43291,3238,4308,984,1508,520,507,311,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,155960,5372,40654,4926,6824,1477,6777,1788,3653,1018,19990,2762,2940,749,126,116,344,235,115306,6270,7427,1631,9542,1915,8939,1659,68561,3713,16760,1622,3035,658,1042,304,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
