GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001EA,B01001B_001MA,B01001B_002EA,B01001B_002MA,B01001B_003EA,B01001B_003MA,B01001B_004EA,B01001B_004MA,B01001B_005EA,B01001B_005MA,B01001B_006MA,B01001B_006EA,B01001B_007MA,B01001B_007EA,B01001B_008EA,B01001B_008MA,B01001B_009EA,B01001B_009MA,B01001B_010EA,B01001B_010MA,B01001B_011MA,B01001B_011EA,B01001B_012MA,B01001B_012EA,B01001B_013MA,B01001B_013EA,B01001B_014EA,B01001B_014MA,B01001B_015EA,B01001B_015MA,B01001B_016EA,B01001B_016MA,B01001B_017MA,B01001B_017EA,B01001B_018MA,B01001B_018EA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021EA,B01001B_021MA,B01001B_022MA,B01001B_022EA,B01001B_023MA,B01001B_023EA,B01001B_024MA,B01001B_024EA,B01001B_025EA,B01001B_025MA,B01001B_026EA,B01001B_026MA,B01001B_027MA,B01001B_027EA,B01001B_028MA,B01001B_028EA,B01001B_029MA,B01001B_029EA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1307467,6809,613458,4720,44547,2277,45959,3587,49275,3561,28831,2119,21665,2041,52126,3217,47796,2724,39258,2265,76044,2668,71998,2344,72938,1482,43827,1728,14434,1278,4760,966,694009,4765,40635,1771,44822,3400,42483,3102,28488,2225,22355,2212,53275,2746,51494,2241,49694,2590,91439,2586,85940,2150,90560,1419,56452,1716,25867,1896,10505,1350,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22107,1923,12394,1022,439,369,556,349,284,236,168,232,301,284,2225,991,2196,809,957,398,1913,731,956,475,1160,442,1043,358,196,210,0,153,9713,1438,878,642,660,569,707,539,201,229,181,279,1576,703,1190,630,287,273,1052,777,1096,655,1415,343,281,213,189,169,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,307655,6923,161446,4075,12018,1441,9976,1712,11966,1850,6815,908,5325,930,14528,1563,16658,915,13489,920,22567,1273,18484,1366,16753,925,8629,913,3665,681,573,261,146209,4348,11783,1182,11539,1807,9227,1665,6422,878,4283,909,10866,1306,13176,1278,10726,1112,19517,1253,18122,1172,15667,743,9000,790,4113,901,1768,653,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,458367,5104,219023,2814,17042,1699,19053,2256,15860,2104,11780,1464,7440,1160,19597,1949,16636,1788,13843,1705,25558,1800,26762,1541,24373,1231,15368,1140,4197,734,1514,558,239344,3835,15342,1496,17043,2373,17940,2130,10617,1599,8629,1448,19982,1818,15258,1608,14719,1563,31840,1598,29758,1484,30168,1215,16702,1044,7507,1041,3839,759,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2271917,19745,1124290,11348,65934,3159,65091,4372,73866,4572,44801,2404,33004,2147,91901,3549,105357,3091,85799,2661,142249,3986,152717,2951,143354,1679,75586,1325,34963,1697,9668,1453,1147627,11392,62414,2886,64180,4372,63810,4085,41084,2662,30659,1939,81850,3279,99362,2786,81606,2083,145458,2526,156921,2063,154004,1997,94665,1505,51043,1808,20571,1749,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,229436,6270,121949,3888,8219,784,7896,1348,9163,1550,4832,617,3413,967,10273,1621,12281,1647,9911,708,17569,1653,16202,1227,12832,706,6158,901,2143,621,1057,459,107487,3704,8271,1238,7322,1453,7191,1555,4289,669,3554,732,8947,1214,9240,888,8397,855,15669,1055,11796,1218,11752,609,6597,619,3835,583,627,352,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,380578,7306,180862,4183,12444,1187,12121,1787,13137,1763,8154,753,5643,912,16049,1129,15595,1204,13775,935,23378,1149,24753,1331,19480,1234,10453,547,5038,448,842,359,199716,4674,11666,1071,14960,2085,11663,1621,7902,880,6055,903,14922,1585,14512,915,16319,1384,25648,1341,27600,1123,23988,896,13819,468,7526,833,3136,835,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,210356,3797,97964,2438,6281,636,7110,1272,7424,1443,4361,714,3576,614,7872,725,7902,1209,6728,1031,11774,1122,12727,526,11799,637,6730,431,3207,514,473,328,112392,2199,5865,1195,7217,1194,7404,1058,4759,735,2737,610,8411,831,9073,781,6965,715,14444,781,16362,398,14502,263,9099,131,3706,568,1848,561,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,318220,3042,143414,1366,10260,707,10853,1185,7657,1144,5070,157,4037,163,10786,310,13221,461,10671,288,17186,262,17138,363,18729,307,10819,248,4773,551,2214,553,174806,2226,10570,792,9157,1505,8961,1392,5051,214,4873,275,13030,268,15276,174,13031,360,20497,658,21036,441,23214,293,15980,284,8962,1058,5168,1008,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3394508,19514,1625083,11032,118438,3939,116777,5405,128627,5885,74778,2723,56162,3699,139168,4480,135167,4087,118071,2907,214356,4687,196059,3577,173873,2621,98835,2474,43478,2417,11294,1612,1769425,12727,116150,4052,123794,5979,120412,6165,76451,3507,51444,3024,135287,4606,143525,3077,125785,3026,234402,4282,223280,3635,205089,3153,130290,2680,59529,2999,23987,2974,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
