GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001EA,B19001B_001MA,B19001B_002MA,B19001B_002EA,B19001B_003EA,B19001B_003MA,B19001B_004MA,B19001B_004EA,B19001B_005MA,B19001B_005EA,B19001B_006EA,B19001B_006MA,B19001B_007EA,B19001B_007MA,B19001B_008EA,B19001B_008MA,B19001B_009EA,B19001B_009MA,B19001B_010MA,B19001B_010EA,B19001B_011MA,B19001B_011EA,B19001B_012EA,B19001B_012MA,B19001B_013EA,B19001B_013MA,B19001B_014EA,B19001B_014MA,B19001B_015MA,B19001B_015EA,B19001B_016MA,B19001B_016EA,B19001B_017MA,B19001B_017EA,state
0400000US01,487336,7317,71673,4799,48869,3433,44141,3513,38413,3646,30929,3217,29876,3009,27803,2999,24563,3013,17610,2002,34371,3695,40005,3131,36062,2884,21255,2585,9898,1938,7436,1436,4432,934,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7086,1039,746,666,291,327,40,62,175,170,497,596,327,289,307,322,114,120,344,262,490,392,724,422,1393,656,763,500,790,617,85,137,0,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,104848,4216,12050,2274,6950,1511,4733,1339,5904,1358,4197,1188,7611,1594,5378,1383,5868,1489,5442,1520,10840,2278,10885,1725,10392,1725,4568,1157,3317,913,3462,1121,3251,929,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,174312,3975,27875,2681,17388,2139,13198,1890,14618,2273,12857,2139,11192,1879,8198,1497,9421,1600,7536,1461,10943,1679,15808,2285,12520,2071,5063,1256,2901,1130,3566,1069,1228,614,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,811762,10103,75160,4743,72358,3940,42017,4175,46507,4083,33450,3311,39888,3204,35773,3382,37190,3302,31857,3476,54518,4535,69826,5112,96801,5994,56961,4469,39463,3433,41453,3240,38540,3776,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,78741,2783,6953,1496,4023,946,2462,827,2940,1093,3334,1243,2762,778,4213,1070,5339,1330,5629,1272,7733,1714,7412,1564,10202,1451,6417,1646,3977,1190,3190,785,2155,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,130883,3779,11487,1870,7569,1592,6045,1392,8254,1712,7529,1451,9252,1942,6149,1394,6625,1555,6891,1401,10260,1862,12087,1809,15255,2001,8397,1542,4702,1039,6522,1653,3859,1028,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,73449,2963,9499,1817,4445,1297,2744,1002,5474,1685,3513,1188,5519,1594,2945,1342,2595,922,3242,1053,5461,1235,5681,1364,8345,1663,4040,994,2975,909,3573,1001,3398,1065,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,123860,2991,19557,2583,9828,1614,7760,1448,7689,1358,5922,1302,4722,1344,4220,1088,4270,1111,4512,1150,7586,1281,10352,1612,12618,1657,8503,1588,5257,1244,5875,1291,5189,998,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1054149,12232,122940,6969,66915,4574,65362,5011,76513,5031,66212,4449,65699,5306,61778,4340,62556,4311,50063,4322,86903,5736,105248,6155,103376,6278,54665,4890,27458,3055,23051,2750,15410,2394,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
