GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,NAME,B05003G_001MA,B05003G_001EA,B05003G_002MA,B05003G_002EA,B05003G_003EA,B05003G_003MA,B05003G_004EA,B05003G_004MA,B05003G_005MA,B05003G_005EA,B05003G_006MA,B05003G_006EA,B05003G_007MA,B05003G_007EA,B05003G_008MA,B05003G_008EA,B05003G_009EA,B05003G_009MA,B05003G_010MA,B05003G_010EA,B05003G_011MA,B05003G_011EA,B05003G_012MA,B05003G_012EA,B05003G_013MA,B05003G_013EA,B05003G_014EA,B05003G_014MA,B05003G_015EA,B05003G_015MA,B05003G_016MA,B05003G_016EA,B05003G_017MA,B05003G_017EA,B05003G_018MA,B05003G_018EA,B05003G_019MA,B05003G_019EA,B05003G_020EA,B05003G_020MA,B05003G_021MA,B05003G_021EA,B05003G_022MA,B05003G_022EA,B05003G_023MA,B05003G_023EA,state
0400000US01,93584,6810,45443,3518,23180,2334,23066,2340,114,142,103,137,11,18,22263,2697,21043,2611,1220,576,525,338,695,406,48141,4386,19836,2911,19795,2909,41,57,30,55,11,18,28305,2992,26777,2963,1528,734,798,451,730,425,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,266401,12035,133248,7225,62671,5120,61880,5021,791,500,482,393,309,317,70577,5038,60089,4721,10488,2128,4810,1279,5678,1571,133153,6656,60971,4296,59389,4169,1582,840,330,294,1252,823,72182,4729,62743,4455,9439,1936,4638,1031,4801,1510,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85169,5704,42980,3557,18320,2523,18320,2523,0,201,0,201,0,201,24660,2540,24065,2519,595,337,99,106,496,300,42189,3962,20692,2892,20375,2848,317,399,0,201,317,399,21497,2050,20428,1950,1069,536,610,378,459,390,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1938077,38582,974830,23384,417379,13871,409586,13676,7793,1760,2055,810,5738,1596,557451,14858,455416,13481,102035,5768,59851,4180,42184,3833,963247,21140,408567,12912,402941,12856,5626,1372,1515,585,4111,1244,554680,13122,454443,11751,100237,6263,60876,4466,39361,3560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,193591,10824,97700,6650,42075,3996,41636,3999,439,342,0,200,439,342,55625,4580,50811,4225,4814,1354,1874,610,2940,1219,95891,6472,39555,4050,39184,3977,371,225,238,197,133,125,56336,4147,51179,3901,5157,1118,2843,698,2314,814,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,117503,7644,59557,4490,29172,2667,29012,2623,160,208,117,190,43,71,30385,3359,25674,3096,4711,1388,3334,1131,1377,841,57946,5261,26113,2991,25461,2951,652,552,0,207,652,552,31833,3546,25990,3095,5843,1544,3847,1430,1996,719,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29224,3620,15714,2493,7702,1357,7665,1357,37,70,0,198,37,70,8012,1898,7041,1725,971,562,501,354,470,439,13510,2085,6954,1682,6945,1682,9,17,0,198,9,17,6556,1433,5502,1222,1054,580,903,558,151,153,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20609,3240,9813,1754,3250,953,3250,953,0,208,0,208,0,208,6563,1605,5044,1224,1519,925,1144,839,375,446,10796,2176,3467,1116,3271,1105,196,237,98,172,98,162,7329,1734,5755,1461,1574,765,585,344,989,697,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,553886,21776,276600,13731,121077,8102,118228,7848,2849,1065,908,490,1941,915,155523,9566,113085,7358,42438,4913,22812,3082,19626,3613,277286,12985,119016,6825,115267,6948,3749,1459,605,345,3144,1428,158270,9374,110395,6817,47875,5414,29820,4072,18055,3015,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
