GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,NAME,B10051I_001EA,B10051I_001MA,B10051I_002MA,B10051I_002EA,B10051I_003EA,B10051I_003MA,B10051I_004EA,B10051I_004MA,B10051I_005MA,B10051I_005EA,B10051I_006MA,B10051I_006EA,B10051I_007MA,B10051I_007EA,state
0400000US01,2986,1089,672,385,219,194,453,365,2314,1017,818,651,1496,817,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,78343,5611,26067,3337,16525,2824,9542,1947,52276,4784,26284,3493,25992,3195,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,5437,1981,1041,553,657,470,384,306,4396,1821,3341,1770,1055,534,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,604660,15133,117348,8253,73239,6462,44109,4165,487312,12314,245115,9956,242197,8284,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34583,3716,10929,2360,6078,1852,4851,1181,23654,2706,11611,1976,12043,2216,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,15031,2707,4218,1300,2808,956,1410,749,10813,2486,5622,1786,5191,1934,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,172791,9147,36536,4944,21134,3792,15402,3074,136255,8204,54455,5475,81800,6663,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27707,3248,6893,1711,5050,1469,1843,720,20814,2828,10592,2655,10222,2044,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,4094,1031,1100,600,770,505,330,371,2994,891,1795,722,1199,582,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4357,1555,2327,1364,1564,996,763,575,2030,833,1094,523,936,530,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
