GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001EA,B14007F_001MA,B14007F_002MA,B14007F_002EA,B14007F_003MA,B14007F_003EA,B14007F_004EA,B14007F_004MA,B14007F_005EA,B14007F_005MA,B14007F_006EA,B14007F_006MA,B14007F_007EA,B14007F_007MA,B14007F_008MA,B14007F_008EA,B14007F_009MA,B14007F_009EA,B14007F_010EA,B14007F_010MA,B14007F_011EA,B14007F_011MA,B14007F_012EA,B14007F_012MA,B14007F_013MA,B14007F_013EA,B14007F_014MA,B14007F_014EA,B14007F_015EA,B14007F_015MA,B14007F_016EA,B14007F_016MA,B14007F_017EA,B14007F_017MA,B14007F_018EA,B14007F_018MA,B14007F_019MA,B14007F_019EA,state
0400000US01,63744,6399,24307,3034,264,247,1388,683,1162,611,2424,1000,1633,826,2112,887,1730,768,2415,1102,1797,941,1396,733,1897,700,530,382,1703,657,267,249,3314,1098,275,249,39437,4693,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,415048,19971,133168,9910,5197,1573,5917,1628,5838,1150,6664,1833,6036,1343,8264,1734,7774,1321,9104,1596,6444,1414,7885,1618,8171,1531,7783,1518,7261,1587,10915,1647,26579,3737,3336,978,281880,13200,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85614,7312,34091,4217,1946,778,2452,870,1554,657,2124,976,2566,1049,2474,874,2556,900,1900,759,1816,985,1910,799,1468,670,2672,766,1618,625,1491,731,5013,1643,531,392,51523,4319,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5659792,62868,1816181,26249,86058,5280,98700,6227,78185,4869,86860,5629,91183,4727,98193,4932,98835,5703,101119,4990,95242,5350,101090,5092,97653,5634,96242,5614,100760,6044,118466,5399,430018,11156,37577,4058,3843611,42570,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,211164,11139,64441,5249,3255,1008,2352,892,3901,1220,3088,927,3498,1002,5100,1235,4516,1004,3613,1287,3401,972,3502,824,4743,1160,3562,929,4048,1141,4374,1473,9531,1813,1957,780,146723,8070,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,184119,12212,57113,4862,2537,1143,3768,1239,4700,1492,2308,950,3731,1249,3116,1198,3436,1399,2874,869,2830,855,2910,1157,2785,1002,4357,1663,2960,1011,3000,1020,10582,2002,1219,552,127006,8949,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16664,3054,6017,1633,57,97,627,542,561,405,264,265,472,319,321,262,210,192,580,325,166,198,252,202,324,310,322,321,589,367,295,267,762,502,215,222,10647,2119,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,37855,4495,11531,2155,494,459,1384,928,732,491,1007,702,982,723,1381,762,494,485,405,367,471,407,204,234,856,557,678,584,169,184,518,439,1551,651,205,256,26324,3306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,578265,28957,168807,13450,8643,1884,9135,2061,8393,2053,8469,1935,8659,2079,11389,2344,7920,1688,11024,2248,6356,1744,11028,2127,7556,1845,9836,2476,8606,2089,10182,2519,35000,4314,6611,1632,409458,19489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
